Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count
1,2026-09-07,823415,2026-09-07T17:05:00Z,Scheduled,Citizens Bank Park,Atlanta Braves @ Philadelphia Phillies,Home,656941,Kyle Schwarber,Philadelphia Phillies,Atlanta Braves,DH,L,No,,137,614,511,123,17,1,42,85,86,90,6,199,0.241,0.357,0.524,0.881,11,50,42,9,3,0.214,0.06,25,117,97,22,9,0.227,0.0769,692,135,10.8,31.6,63.3,19.2,17.3,15.4,27.5,58.9,29.5,10.0,6.6,10.0,55.0,85.9,18.4,0.795,74.5,98.3,114.2,69.2,15.4,17.1,65.4,58.0,Average,3.5,Pull Power,A,Excellent HR swing plane,58.0,Average,1.022,Good,11.9,60.5,97.8,0.762,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,65.28,23.28,Strong positive regression,Average Pull Power profile. 10.8% barrel rate; 85.9 mph average exit velocity; 27.5% air-ball rate; 58.9% pull-air rate; 10.0% HR-launch rate.,0.0684,0.0625,4.09,0,0,12.2,0.0,0.0,Very recent HR,656550.0,Grant Holmes,R,LHB vs RHP,27,26,131.2,3.62,1.31,19,1.3,7.11,3.76,688.0,5.5,28.5,15.1,45.5,28.1,85.0,96.9,114.8,0.542,19.0,75.2,99.9,0.836,10.3,Slider,L,LHB vs RHP,63.8,386,0.221,0.338,0.514,0.852,28,57,136,0.0725,11.7,0.832,337,0.0356,6.6,0.572,1,1,0,0/1,0.0,0.0,0.0,0.0,0,0,1,64.5,Slight Hitter Advantage,Above average,47.5,5,Pitch-level Statcast · last 5 MLB games,346,Slider,41.040462427745666,142.0,4-Seam Fastball,23.98843930635838,83.0,Changeup,10.404624277456648,36.0,Sinker,9.53757225433526,33.0,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.05,0.98,69.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,63.8,41.3,75.2,71.5,64.4,45.0,61.9,9.8,1.033,1.032,1.025,1.03,1.022,1.053,0.98,23.18,18.15,85.0,44.4,C-,Lineup unconfirmed,Curveball,7.803468208092486,27.0,Cutter,7.22543352601156,25.0,,,
2,2026-09-07,824062,2026-09-07T18:10:00Z,Scheduled,Kauffman Stadium,Arizona Diamondbacks @ Kansas City Royals,Home,695506,Jac Caglianone,Kansas City Royals,Arizona Diamondbacks,RF,L,No,,131,510,474,134,27,2,23,66,70,30,5,131,0.283,0.331,0.494,0.825,10,41,40,14,1,0.35,0.0244,22,88,84,31,3,0.369,0.0341,650,117,7.1,34.8,58.0,20.9,21.1,12.9,27.4,53.2,28.5,4.9,2.9,4.9,45.7,86.3,9.9,0.665,74.8,100.0,115.5,65.9,13.1,20.4,42.1,50.7,Average,3.0,Pull Power,C,Low line-drive plane,50.7,Average,1.002,Good,5.1,60.6,99.8,0.604,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,41.58,18.58,Strong positive regression,Average Pull Power profile. 7.1% barrel rate; 86.3 mph average exit velocity; 27.4% air-ball rate; 53.2% pull-air rate; 4.9% HR-launch rate.,0.0451,0.0426,4.09,30,8,20.6,1.46,145.6,Above normal drought,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,62.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,60.5,50.0,45.0,55.6,7.01,0.87,1.0,1.0,1.0,1.002,1.002,1.035,16.31,10.52,74.0,33.0,D,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
3,2026-09-07,823820,2026-09-07T17:10:00Z,Scheduled,loanDepot park,New York Mets @ Miami Marlins,Away,665742,Juan Soto,New York Mets,Miami Marlins,LF,L,No,,92,390,321,88,8,2,23,51,56,66,0,51,0.274,0.396,0.526,0.922,8,31,28,5,2,0.179,0.0645,8,31,28,5,2,0.179,0.0645,450,29,10.6,33.3,50.0,25.7,23.8,23.2,35.6,47.1,28.1,12.4,6.2,12.4,54.9,86.2,18.4,0.65,71.0,98.8,113.4,30.9,19.3,9.5,65.8,52.1,Average,3.0,Pull Power,A,Excellent HR swing plane,52.1,Average,1.006,Good,13.8,41.7,98.9,0.57,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,42.06,19.06,Strong positive regression,Average Pull Power profile. 10.6% barrel rate; 86.2 mph average exit velocity; 35.6% air-ball rate; 47.1% pull-air rate; 12.4% HR-launch rate.,0.059,0.0526,4.31,11,3,14.0,0.79,78.8,Recently homered,691587.0,Eury Pérez,R,LHB vs RHP,25,25,135.1,3.72,1.18,17,1.13,9.64,3.92,758.0,5.1,20.7,13.3,45.1,27.7,82.8,93.7,113.4,0.553,17.0,67.9,99.8,0.755,10.7,4-Seam Fastball,L,LHB vs RHP,56.2,259,0.282,0.421,0.587,1.008,19,51,33,0.0734,10.4,0.785,314,0.0191,5.2,0.522,4,4,1,1/4,0.25,0.25,1.0,1.25,1,0,1,61.0,Slight Hitter Advantage,Above average,60.0,5,Pitch-level Statcast · last 5 MLB games,476,4-Seam Fastball,32.142857142857146,153.0,Sinker,24.159663865546218,115.0,Slider,20.3781512605042,97.0,Sweeper,9.453781512605042,45.0,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.036,0.976,62.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,56.2,36.2,67.9,68.4,39.2,45.0,54.7,6.71,1.09,1.005,1.025,1.03,1.006,1.036,1.0,20.79,13.94,79.5,37.7,D+,Lineup unconfirmed,Changeup,7.563025210084033,36.0,Curveball,6.302521008403361,30.0,,,
4,2026-09-07,823902,2026-09-08T01:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Cincinnati Reds @ Los Angeles Dodgers,Home,571970,Max Muncy,Los Angeles Dodgers,Cincinnati Reds,3B,L,No,,131,490,425,106,21,1,26,71,68,60,4,123,0.249,0.347,0.487,0.834,10,37,30,5,0,0.167,0.0,24,85,71,18,4,0.254,0.0471,595,104,9.2,28.3,59.7,22.4,17.9,17.0,28.3,57.2,29.6,10.9,6.1,10.9,45.9,83.7,18.7,0.658,69.5,96.5,110.7,13.0,15.9,3.8,47.0,42.9,Below Average,2.5,Pull Power,A,Excellent HR swing plane,42.9,Below Average,0.98,Good,9.6,54.8,96.7,0.657,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,48.23,22.23,Strong positive regression,Below Average Pull Power profile. 9.2% barrel rate; 83.7 mph average exit velocity; 28.3% air-ball rate; 57.2% pull-air rate; 10.9% HR-launch rate.,0.0531,0.0489,4.09,36,12,16.3,2.2,220.2,Very long drought,695505.0,Chase Burns,R,LHB vs RHP,26,26,145.1,2.79,1.16,15,0.93,10.59,3.1,741.0,4.6,22.9,14.3,44.3,32.9,84.0,94.6,113.1,0.517,15.0,71.6,100.0,0.81,9.8,4-Seam Fastball,L,LHB vs RHP,50.3,375,0.248,0.349,0.486,0.835,20,49,92,0.0533,9.4,0.681,378,0.0344,5.2,0.548,0,0,0,0/0,,,,,0,0,0,57.7,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,457,4-Seam Fastball,52.078774617067836,238.0,Slider,41.35667396061269,189.0,Changeup,4.595185995623632,21.0,Sinker,1.9693654266958425,9.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.043,0.971,59.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.3,33.3,71.6,64.4,50.0,45.0,53.9,6.47,0.85,0.973,1.025,1.0,0.98,0.98,1.06,18.55,11.07,83.8,38.8,D+,Lineup unconfirmed,,,,,,,,,
5,2026-09-07,823902,2026-09-08T01:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Cincinnati Reds @ Los Angeles Dodgers,Away,670770,TJ Friedl,Cincinnati Reds,Los Angeles Dodgers,CF,L,No,,84,263,231,38,6,1,4,20,12,21,5,60,0.165,0.248,0.251,0.499,10,13,12,3,1,0.25,0.0769,18,27,25,4,1,0.16,0.037,283,28,6.8,27.8,47.8,31.3,18.0,14.1,28.4,57.1,29.3,7.2,3.3,7.2,41.2,80.9,18.4,0.44,66.2,95.8,107.6,11.8,14.2,2.4,60.3,32.8,Weak,2.5,Pull Power,A,Excellent HR swing plane,32.8,Weak,0.952,Good,14.3,75.0,100.2,0.583,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,16.95,12.95,Strong positive regression,Weak Pull Power profile. 6.8% barrel rate; 80.9 mph average exit velocity; 28.4% air-ball rate; 57.1% pull-air rate; 7.2% HR-launch rate.,0.0152,0.0205,3.87,8,7,57.8,0.14,13.9,Very recent HR,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,52.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,81.7,50.0,45.0,53.4,6.34,1.35,1.0,1.0,0.94,0.952,0.895,0.98,7.69,7.56,62.9,20.9,F,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
6,2026-09-07,824229,2026-09-07T19:10:00Z,Scheduled,Comerica Park,Minnesota Twins @ Detroit Tigers,Home,682985,Riley Greene,Detroit Tigers,Minnesota Twins,LF,L,No,,122,515,444,122,29,1,18,69,62,62,4,140,0.275,0.365,0.466,0.831,5,23,22,7,2,0.318,0.087,7,28,26,7,2,0.269,0.0714,641,24,9.4,25.9,46.6,20.4,33.0,19.0,31.3,41.9,35.6,9.0,5.1,9.0,44.2,82.9,20.7,0.855,74.1,96.1,111.4,52.3,14.6,11.3,36.3,46.4,Below Average,3.0,Contact-First Profile,A-,Elevated power plane,46.4,Below Average,0.99,Good,12.5,44.4,95.8,1.169,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,48.6,30.6,Strong positive regression,Below Average Contact-First Profile profile. 9.4% barrel rate; 82.9 mph average exit velocity; 31.3% air-ball rate; 41.9% pull-air rate; 9.0% HR-launch rate.,0.035,0.0344,4.09,4,1,24.7,0.16,16.2,Very recent HR,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,56.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,61.8,50.0,45.0,53.2,6.28,1.35,1.0,1.0,1.0,0.99,0.99,0.98,13.34,11.19,69.2,30.3,D,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
7,2026-09-07,823902,2026-09-08T01:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Cincinnati Reds @ Los Angeles Dodgers,Away,668709,JJ Bleday,Cincinnati Reds,Los Angeles Dodgers,LF,L,No,,115,480,407,89,15,2,22,54,55,66,3,103,0.219,0.33,0.428,0.758,11,47,39,8,1,0.205,0.0213,27,111,96,19,2,0.198,0.018,591,137,6.0,26.1,54.2,22.8,22.6,16.5,31.4,59.4,32.4,7.0,4.6,7.0,47.6,83.1,23.1,0.555,71.4,95.7,113.1,28.3,14.3,9.0,50.5,40.1,Below Average,2.5,Pull Power,A-,Elevated power plane,40.1,Below Average,0.972,Good,5.1,61.9,95.6,0.498,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,33.75,11.75,Strong positive regression,Below Average Pull Power profile. 6.0% barrel rate; 83.1 mph average exit velocity; 31.4% air-ball rate; 59.4% pull-air rate; 7.0% HR-launch rate.,0.0458,0.0431,4.05,11,3,18.5,0.59,59.5,Recently homered,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,57.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,52.2,50.0,45.0,52.8,6.18,0.79,1.0,1.0,1.0,0.972,0.972,1.0,16.33,9.13,75.0,26.7,F,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
8,2026-09-07,823820,2026-09-07T17:10:00Z,Scheduled,loanDepot park,New York Mets @ Miami Marlins,Home,665052,Griffin Conine,Miami Marlins,New York Mets,RF,L,No,,76,256,219,56,6,0,15,36,35,32,5,76,0.256,0.363,0.489,0.852,11,44,35,8,1,0.229,0.0227,25,95,76,19,5,0.25,0.0526,268,90,8.1,29.8,57.1,25.0,17.9,13.9,28.0,60.3,32.1,9.3,5.3,9.3,69.3,84.8,20.7,0.772,72.4,97.9,115.0,40.2,13.2,9.1,51.1,50.2,Average,3.0,Pull Power,A-,Elevated power plane,50.2,Average,1.001,Good,7.8,66.7,98.0,0.784,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,20.08,5.08,Strong positive regression,Average Pull Power profile. 8.1% barrel rate; 84.8 mph average exit velocity; 28.0% air-ball rate; 60.3% pull-air rate; 9.3% HR-launch rate.,0.0586,0.0501,4.09,4,1,14.6,0.27,27.4,Very recent HR,804636.0,Jonah Tong,R,LHB vs RHP,3,0,10.0,3.6,1.5,1,0.9,6.3,6.3,68.0,2.9,19.1,19.1,41.2,35.3,81.6,93.3,104.6,0.45,1.0,70.2,100.0,0.831,8.1,4-Seam Fastball,L,LHB vs RHP,58.6,199,0.265,0.387,0.554,0.941,14,30,61,0.0704,9.8,0.821,26,0.0,0.0,0.254,0,0,0,0/0,,,,,0,0,0,60.9,Slight Hitter Advantage,Above average,50.0,3,Pitch-level Statcast · last 5 MLB games,187,4-Seam Fastball,45.45454545454545,85.0,Changeup,27.807486631016044,52.0,Cutter,20.32085561497326,38.0,Curveball,6.4171122994652405,12.0,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.04,0.954,65.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,58.6,25.3,70.2,62.8,39.2,45.0,52.8,6.17,0.889,0.995,1.025,1.0,1.001,1.001,0.98,18.96,10.57,77.9,30.8,D,Lineup unconfirmed,,,,,,,,,
9,2026-09-07,824793,2026-09-07T17:35:00Z,Scheduled,Oriole Park at Camden Yards,Cleveland Guardians @ Baltimore Orioles,Home,691723,Coby Mayo,Baltimore Orioles,Cleveland Guardians,3B,R,No,,115,380,347,77,14,3,19,54,55,27,5,120,0.222,0.287,0.444,0.731,11,40,36,11,2,0.306,0.05,24,87,79,22,4,0.278,0.046,468,115,8.3,28.7,46.6,25.8,27.5,16.0,27.7,46.5,30.8,8.2,5.5,8.2,46.4,83.1,22.4,0.693,74.2,97.4,115.7,55.1,14.3,13.5,45.4,47.6,Below Average,3.0,Pull Power,A-,Elevated power plane,47.6,Below Average,0.993,Good,7.8,36.4,95.2,0.723,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,32.49,13.49,Strong positive regression,Below Average Pull Power profile. 8.3% barrel rate; 83.1 mph average exit velocity; 27.7% air-ball rate; 46.5% pull-air rate; 8.2% HR-launch rate.,0.05,0.0457,3.93,16,6,18.3,0.88,87.6,Near normal interval,676282.0,Joey Cantillo,L,RHB vs LHP,29,29,141.2,3.81,1.48,16,1.02,9.59,4.57,714.0,4.5,24.8,14.4,44.9,25.9,81.6,94.9,113.4,0.509,16.0,66.4,99.8,0.767,9.4,4-Seam Fastball,R,RHB vs LHP,61.9,140,0.323,0.386,0.74,1.126,15,11,37,0.1071,12.1,0.963,466,0.0279,4.6,0.494,2,2,0,0/2,0.0,0.0,0.0,0.0,0,0,0,60.1,Slight Hitter Advantage,Above average,45.0,5,Pitch-level Statcast · last 5 MLB games,401,Curveball,36.15960099750623,145.0,4-Seam Fastball,27.43142144638404,110.0,Changeup,21.44638403990025,86.0,Cutter,14.962593516209477,60.0,Unknown,,Unknown,,No,99.0,0.99,1.0,48.2,1.033,0.97,63.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,61.9,33.4,66.4,42.8,48.2,45.0,52.7,6.14,1.022,0.987,1.025,1.0,0.993,0.993,1.0,16.79,11.06,84.0,31.2,D,Lineup unconfirmed,,,,,,,,,
10,2026-09-07,824062,2026-09-07T18:10:00Z,Scheduled,Kauffman Stadium,Arizona Diamondbacks @ Kansas City Royals,Home,686469,Vinnie Pasquantino,Kansas City Royals,Arizona Diamondbacks,1B,L,No,,97,414,360,86,16,2,11,44,46,47,3,64,0.239,0.329,0.386,0.715,11,49,41,8,3,0.195,0.0612,18,78,67,18,5,0.269,0.0641,596,99,7.1,30.0,51.7,21.7,26.4,17.4,29.5,49.6,29.1,9.8,6.0,9.8,33.6,85.2,21.8,0.514,69.1,96.9,109.3,10.1,15.6,4.6,58.1,38.8,Below Average,2.5,Pull Power,A-,Elevated power plane,38.8,Below Average,0.969,Good,9.1,50.0,98.2,0.543,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,40.2,29.2,Strong positive regression,Below Average Pull Power profile. 7.1% barrel rate; 85.2 mph average exit velocity; 29.5% air-ball rate; 49.6% pull-air rate; 9.8% HR-launch rate.,0.0266,0.0278,3.99,0,0,32.7,0.0,0.0,Very recent HR,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,54.2,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,64.2,50.0,45.0,52.6,6.12,1.35,1.0,1.0,1.0,0.969,0.969,0.98,10.64,9.43,73.2,26.3,F,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
11,2026-09-07,823254,2026-09-07T21:10:00Z,Scheduled,Petco Park,Washington Nationals @ San Diego Padres,Away,695578,James Wood,Washington Nationals,San Diego Padres,RF,L,No,,118,554,452,121,28,1,30,101,74,94,4,157,0.268,0.395,0.533,0.928,4,19,15,5,0,0.333,0.0,4,19,15,5,0,0.333,0.0,556,14,12.0,36.9,42.1,20.9,36.8,13.3,28.9,37.2,32.5,7.7,3.3,7.7,38.7,88.2,12.6,0.843,73.3,100.9,115.1,60.4,15.9,19.5,40.9,55.6,Average,3.0,Balanced Power,A,Excellent HR swing plane,55.6,Average,1.016,Good,14.3,75.0,102.5,0.611,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,54.58,24.58,Strong positive regression,Average Balanced Power profile. 12.0% barrel rate; 88.2 mph average exit velocity; 28.9% air-ball rate; 37.2% pull-air rate; 7.7% HR-launch rate.,0.0542,0.0502,4.31,43,12,15.1,2.85,285.4,Very long drought,601713.0,Nick Pivetta,R,LHB vs RHP,4,4,16.0,4.5,1.13,0,0.0,13.5,3.38,95.0,1.1,13.7,12.6,33.3,24.2,81.2,89.7,105.9,0.38,0.0,79.9,100.0,0.902,11.9,4-Seam Fastball,L,LHB vs RHP,59.0,365,0.268,0.414,0.551,0.964,21,71,96,0.0575,12.5,0.944,35,0.0,2.2,0.55,6,6,1,1/6,0.167,0.167,0.167,0.334,0,0,4,61.5,Slight Hitter Advantage,Above average,35.0,4,Pitch-level Statcast · last 5 MLB games,283,4-Seam Fastball,57.59717314487632,163.0,Curveball,17.6678445229682,50.0,Sweeper,12.36749116607774,35.0,Cutter,10.247349823321555,29.0,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.06,0.936,63.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,59.0,13.5,79.9,86.4,39.2,45.0,52.2,6.02,0.857,1.0,1.025,1.03,1.016,1.046,1.06,19.91,11.51,78.5,41.6,D+,Lineup unconfirmed; Limited recent games,Sinker,1.4134275618374559,4.0,Slider,0.7067137809187279,2.0,,,
12,2026-09-07,823254,2026-09-07T21:10:00Z,Scheduled,Petco Park,Washington Nationals @ San Diego Padres,Home,665487,Fernando Tatis Jr.,San Diego Padres,Washington Nationals,RF,R,No,,141,621,554,155,29,2,20,81,71,55,5,114,0.28,0.347,0.448,0.795,11,47,46,9,3,0.196,0.0638,25,108,99,27,10,0.273,0.0926,698,126,10.0,39.0,34.5,35.6,29.9,13.2,30.2,34.4,31.7,8.3,4.1,8.3,40.3,86.5,10.2,0.682,73.7,101.1,116.9,59.6,18.3,20.2,53.4,53.5,Average,3.0,Balanced Power,A,Excellent HR swing plane,53.5,Average,1.01,Good,12.7,43.9,102.1,0.807,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,57.58,37.58,Strong positive regression,Average Balanced Power profile. 10.0% barrel rate; 86.5 mph average exit velocity; 30.2% air-ball rate; 34.4% pull-air rate; 8.3% HR-launch rate.,0.0322,0.0322,3.99,0,0,27.7,0.0,0.0,Very recent HR,663623.0,Jake Irvin,R,RHB vs RHP,18,18,85.2,5.57,1.4,15,1.58,9.14,4.2,517.0,6.4,27.1,13.5,41.4,30.2,82.5,95.2,114.9,0.611,15.0,56.6,100.0,0.676,9.0,4-Seam Fastball,R,RHB vs RHP,40.3,470,0.276,0.337,0.406,0.743,11,37,87,0.0234,8.5,0.604,141,0.0426,4.4,0.566,2,1,0,0/1,0.0,0.5,0.0,0.5,0,1,0,47.1,Neutral Matchup,Average,45.5,5,Pitch-level Statcast · last 5 MLB games,470,4-Seam Fastball,35.744680851063826,168.0,Curveball,18.51063829787234,87.0,Changeup,14.893617021276595,70.0,Sweeper,12.127659574468085,57.0,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.013,0.989,55.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,40.3,42.2,56.6,74.3,39.2,45.0,52.1,5.99,1.35,1.077,0.985,1.0,1.01,1.01,0.98,12.23,10.52,85.0,30.9,D,Lineup unconfirmed,Sinker,10.0,47.0,Cutter,8.72340425531915,41.0,,,
