Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-08-07,823836,2026-08-07T23:10:00Z,Scheduled,loanDepot park,Los Angeles Angels @ Miami Marlins,Home,665052,Griffin Conine,Miami Marlins,Los Angeles Angels,RF,L,No,,49,153,135,35,5,0,10,21,22,16,2,47,0.259,0.346,0.519,0.865,12,40,35,8,3,0.229,0.075,23,73,67,19,7,0.284,0.0959,170,86,9.4,31.7,51.1,30.5,18.4,14.1,26.2,52.4,35.2,9.8,6.3,9.8,70.6,85.1,15.2,0.786,72.0,97.9,114.0,42.9,12.5,11.5,42.6,53.5,Average,3.0,Pull Power,A,Excellent HR swing plane,53.5,Average,1.01,Good,10.5,48.0,98.2,0.8,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,13.99,3.99,Positive regression,Average Pull Power profile. 9.4% barrel rate; 85.1 mph average exit velocity; 26.2% air-ball rate; 52.4% pull-air rate; 9.8% HR-launch rate.,0.0654,0.0507,4.09,13,4,13.5,0.96,96.3,Near normal interval,691946.0,George Klassen,R,LHB vs RHP,2,2,4.2,11.57,3.64,1,1.93,11.57,19.29,29.0,17.2,31.0,10.3,42.9,44.8,84.6,97.0,111.3,0.781,1.0,70.3,100.0,0.8,9.7,4-Seam Fastball,L,LHB vs RHP,66.5,127,0.27,0.362,0.586,0.948,10,15,40,0.0787,10.0,0.827,17,0.0,16.7,0.754,0,0,0,0/0,,,,,0,0,0,64.5,Slight Hitter Advantage,Above average,50.0,2,Pitch-level Statcast · last 5 MLB games,145,4-Seam Fastball,38.62068965517241,56.0,Changeup,24.82758620689655,36.0,Slider,14.482758620689655,21.0,Sinker,11.03448275862069,16.0,Curveball,11.03448275862069,16.0,,,,,,,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.041,1.097,68.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,66.5,75.6,70.3,65.5,39.2,45.0,67.8,13.84,1.258,1.008,1.025,1.0,1.01,1.01,1.0,19.17,19.38,68.8,44.8,C-,Lineup unconfirmed
2,2026-08-07,825051,2026-08-08T01:40:00Z,Scheduled,Chase Field,Los Angeles Dodgers @ Arizona Diamondbacks,Away,660271,Shohei Ohtani,Los Angeles Dodgers,Arizona Diamondbacks,TWP,L,No,,109,483,404,120,22,2,26,73,70,67,5,110,0.297,0.399,0.554,0.953,10,45,40,16,4,0.4,0.0889,20,88,80,26,6,0.325,0.0682,533,94,10.8,33.9,52.9,18.6,26.6,18.9,34.1,44.5,37.2,10.2,5.2,10.2,49.8,86.1,17.5,0.83,72.7,99.2,116.0,42.4,17.3,13.1,47.3,56.3,Average,3.5,Pull Power,A,Excellent HR swing plane,56.3,Average,1.018,Good,11.7,40.5,100.2,0.884,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,48.74,22.74,Strong positive regression,Average Pull Power profile. 10.8% barrel rate; 86.1 mph average exit velocity; 34.1% air-ball rate; 44.5% pull-air rate; 10.2% HR-launch rate.,0.0538,0.0495,4.31,0,0,15.5,0.0,0.0,Very recent HR,518876.0,Merrill Kelly,R,LHB vs RHP,20,20,114.1,5.04,1.49,23,1.81,5.98,3.62,663.0,8.4,30.3,14.9,46.8,32.3,83.8,97.3,114.6,0.674,23.0,73.1,99.6,0.821,10.0,Changeup,L,LHB vs RHP,64.0,328,0.292,0.413,0.532,0.945,15,55,73,0.0457,10.6,0.801,298,0.0503,8.8,0.693,3,3,1,1/3,0.333,0.333,0.667,1.0,0,0,0,64.7,Slight Hitter Advantage,Above average,51.3,5,Pitch-level Statcast · last 5 MLB games,457,Changeup,32.822757111597376,150.0,4-Seam Fastball,24.50765864332604,112.0,Cutter,12.25382932166302,56.0,Curveball,12.035010940919037,55.0,Sinker,9.846827133479213,45.0,Slider,8.533916849015318,39.0,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.046,1.009,67.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,64.0,58.3,73.1,65.1,50.0,45.0,64.1,11.09,1.243,1.114,1.025,1.055,1.018,1.074,0.98,19.65,19.39,84.0,47.3,C-,Lineup unconfirmed
3,2026-08-07,823836,2026-08-07T23:10:00Z,Scheduled,loanDepot park,Los Angeles Angels @ Miami Marlins,Home,669065,Kyle Stowers,Miami Marlins,Los Angeles Angels,1B,L,No,,91,385,339,78,20,3,16,42,48,36,7,123,0.23,0.315,0.448,0.763,12,49,42,10,4,0.238,0.0816,23,95,85,16,4,0.188,0.0421,453,110,7.1,30.1,54.7,17.4,27.9,17.2,27.9,52.4,30.6,6.5,4.6,6.5,50.0,83.9,20.5,0.656,73.5,97.4,114.2,54.2,12.3,14.2,52.9,47.5,Below Average,3.0,Pull Power,A-,Elevated power plane,47.5,Below Average,0.993,Good,7.3,51.5,97.1,0.619,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,28.54,12.54,Strong positive regression,Below Average Pull Power profile. 7.1% barrel rate; 83.9 mph average exit velocity; 27.9% air-ball rate; 52.4% pull-air rate; 6.5% HR-launch rate.,0.0416,0.0393,3.99,18,5,21.2,0.85,85.0,Near normal interval,691946.0,George Klassen,R,LHB vs RHP,2,2,4.2,11.57,3.64,1,1.93,11.57,19.29,29.0,17.2,31.0,10.3,42.9,44.8,84.6,97.0,111.3,0.781,1.0,56.1,100.0,0.719,6.6,4-Seam Fastball,L,LHB vs RHP,55.7,299,0.252,0.339,0.504,0.843,15,29,96,0.0502,8.5,0.747,17,0.0,16.7,0.754,0,0,0,0/0,,,,,0,0,0,54.7,Neutral Matchup,Average,50.0,2,Pitch-level Statcast · last 5 MLB games,145,4-Seam Fastball,38.62068965517241,56.0,Changeup,24.82758620689655,36.0,Slider,14.482758620689655,21.0,Sinker,11.03448275862069,16.0,Curveball,11.03448275862069,16.0,,,,,,,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.012,1.097,62.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,55.7,75.6,56.1,59.4,39.2,45.0,62.4,10.1,1.25,1.008,1.025,1.0,0.993,0.993,1.0,14.78,14.28,84.6,36.8,D+,Lineup unconfirmed
4,2026-08-07,823836,2026-08-07T23:10:00Z,Scheduled,loanDepot park,Los Angeles Angels @ Miami Marlins,Home,681715,Heriberto Hernández,Miami Marlins,Los Angeles Angels,LF,R,No,,85,303,273,63,12,1,16,31,43,28,1,80,0.231,0.304,0.458,0.762,11,45,41,5,2,0.122,0.0444,22,91,84,18,4,0.214,0.044,323,93,8.6,31.3,43.4,30.3,26.3,18.3,29.7,47.7,27.7,10.4,5.7,10.4,55.6,84.9,13.9,0.672,72.4,97.4,110.9,46.7,15.2,10.3,60.9,47.6,Below Average,3.0,Pull Power,A,Excellent HR swing plane,47.6,Below Average,0.993,Good,9.7,48.0,96.8,0.646,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,24.79,8.79,Strong positive regression,Below Average Pull Power profile. 8.6% barrel rate; 84.9 mph average exit velocity; 29.7% air-ball rate; 47.7% pull-air rate; 10.4% HR-launch rate.,0.0528,0.0469,3.99,20,6,17.1,1.17,117.2,Near normal interval,691946.0,George Klassen,R,RHB vs RHP,2,2,4.2,11.57,3.64,1,1.93,11.57,19.29,29.0,17.2,31.0,10.3,42.9,44.8,84.6,97.0,111.3,0.781,1.0,62.7,100.0,0.747,8.5,4-Seam Fastball,R,RHB vs RHP,48.5,193,0.222,0.29,0.392,0.682,7,17,54,0.0363,7.2,0.627,15,0.0667,18.2,0.826,0,0,0,0/0,,,,,0,0,0,53.8,Neutral Matchup,Average,50.0,2,Pitch-level Statcast · last 5 MLB games,145,4-Seam Fastball,38.62068965517241,56.0,Changeup,24.82758620689655,36.0,Slider,14.482758620689655,21.0,Sinker,11.03448275862069,16.0,Curveball,11.03448275862069,16.0,,,,,,,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.025,1.097,57.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,48.5,75.6,62.7,60.9,39.2,45.0,61.7,9.65,0.977,1.008,0.985,1.0,0.993,0.993,1.0,17.44,13.3,80.9,36.2,D+,Lineup unconfirmed
5,2026-08-07,823349,2026-08-07T22:40:00Z,Scheduled,PNC Park,New York Mets @ Pittsburgh Pirates,Home,699013,Esmerlyn Valdez,Pittsburgh Pirates,New York Mets,RF,R,No,,47,184,153,38,9,1,14,28,38,28,1,68,0.248,0.364,0.595,0.959,12,49,36,5,1,0.139,0.0204,23,97,75,15,8,0.2,0.0825,181,84,11.7,27.4,42.9,23.9,33.2,23.5,31.4,43.4,29.7,12.1,7.5,12.1,72.5,85.0,20.6,0.863,72.2,96.7,111.8,44.7,12.7,10.2,51.0,52.1,Average,3.0,Pull Power,A-,Elevated power plane,52.1,Average,1.006,Good,10.7,46.4,96.3,0.849,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,17.5,3.5,Positive regression,Average Pull Power profile. 11.7% barrel rate; 85.0 mph average exit velocity; 31.4% air-ball rate; 43.4% pull-air rate; 12.1% HR-launch rate.,0.0761,0.0587,4.17,30,10,10.9,2.75,274.5,Very long drought,804267.0,Zac Thornton,L,RHB vs LHP,6,6,34.1,2.88,1.05,3,0.79,6.29,2.62,189.0,6.9,28.6,15.9,38.9,33.3,83.6,96.8,110.6,0.553,3.0,81.6,99.6,0.946,12.8,Cutter,R,RHB vs LHP,61.7,65,0.288,0.431,0.808,1.238,7,13,18,0.1077,13.4,0.883,86,0.0233,7.1,0.562,0,0,0,0/0,,,,,0,0,0,66.4,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,415,Cutter,29.397590361445783,122.0,4-Seam Fastball,24.819277108433734,103.0,Sweeper,16.14457831325301,67.0,Sinker,12.289156626506024,51.0,Slider,10.602409638554217,44.0,Changeup,4.578313253012048,19.0,Curveball,2.1686746987951806,9.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.063,0.994,62.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,61.7,42.4,81.6,60.8,50.0,45.0,58.8,8.22,0.93,0.976,1.025,1.055,1.006,1.061,1.06,22.29,15.5,72.9,47.6,C-,Lineup unconfirmed
6,2026-08-07,823836,2026-08-07T23:10:00Z,Scheduled,loanDepot park,Los Angeles Angels @ Miami Marlins,Home,691788,Joe Mack,Miami Marlins,Los Angeles Angels,C,L,No,,69,219,200,48,7,0,11,29,34,13,2,55,0.24,0.293,0.44,0.733,9,25,23,5,1,0.217,0.04,19,56,52,12,4,0.231,0.0714,280,66,7.3,28.3,54.5,24.5,21.0,13.3,24.5,49.5,28.5,9.1,5.7,9.1,63.8,81.6,8.7,0.663,70.8,95.4,110.3,35.3,12.6,10.3,53.2,42.8,Below Average,2.5,Pull Power,C,Low line-drive plane,42.8,Below Average,0.98,Good,7.6,50.0,95.3,0.762,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,17.69,6.69,Strong positive regression,Below Average Pull Power profile. 7.3% barrel rate; 81.6 mph average exit velocity; 24.5% air-ball rate; 49.5% pull-air rate; 9.1% HR-launch rate.,0.0502,0.0438,3.99,4,2,18.2,0.22,22.0,Very recent HR,691946.0,George Klassen,R,LHB vs RHP,2,2,4.2,11.57,3.64,1,1.93,11.57,19.29,29.0,17.2,31.0,10.3,42.9,44.8,84.6,97.0,111.3,0.781,1.0,48.9,100.0,0.65,6.5,4-Seam Fastball,L,LHB vs RHP,52.7,172,0.256,0.308,0.481,0.789,10,10,42,0.0581,7.2,0.635,17,0.0,16.7,0.754,0,0,0,0/0,,,,,0,0,0,50.8,Neutral Matchup,Average,50.0,2,Pitch-level Statcast · last 5 MLB games,145,4-Seam Fastball,38.62068965517241,56.0,Changeup,24.82758620689655,36.0,Slider,14.482758620689655,21.0,Sinker,11.03448275862069,16.0,Curveball,11.03448275862069,16.0,,,,,,,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,0.998,1.097,56.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,52.7,75.6,48.9,55.0,39.2,45.0,58.7,8.18,1.095,1.008,1.025,1.0,0.98,0.98,0.98,16.36,12.66,72.1,31.6,D,Lineup unconfirmed
7,2026-08-07,825051,2026-08-08T01:40:00Z,Scheduled,Chase Field,Los Angeles Dodgers @ Arizona Diamondbacks,Away,571970,Max Muncy,Los Angeles Dodgers,Arizona Diamondbacks,3B,L,No,,105,398,348,88,16,1,22,62,52,47,3,99,0.253,0.347,0.494,0.841,10,39,35,6,2,0.171,0.0513,18,69,61,12,5,0.197,0.0725,481,91,8.5,27.7,61.1,16.3,22.5,16.9,25.3,58.9,27.2,9.4,6.1,9.4,58.3,83.8,20.5,0.639,69.6,96.0,110.0,14.1,14.0,4.0,46.8,40.4,Below Average,2.5,Pull Power,A-,Elevated power plane,40.4,Below Average,0.973,Good,7.7,57.9,95.1,0.594,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,36.5,14.5,Strong positive regression,Below Average Pull Power profile. 8.5% barrel rate; 83.8 mph average exit velocity; 25.3% air-ball rate; 58.9% pull-air rate; 9.4% HR-launch rate.,0.0553,0.0499,4.15,0,0,15.8,0.0,0.0,Very recent HR,518876.0,Merrill Kelly,R,LHB vs RHP,20,20,114.1,5.04,1.49,23,1.81,5.98,3.62,663.0,8.4,30.3,14.9,46.8,32.3,83.8,97.3,114.6,0.674,23.0,57.9,99.6,0.689,9.0,Changeup,L,LHB vs RHP,60.8,304,0.251,0.352,0.487,0.839,16,40,72,0.0526,9.6,0.677,298,0.0503,8.8,0.693,43,36,16,16/36,0.444,0.535,0.639,1.174,1,7,5,63.8,Slight Hitter Advantage,Above average,80.8,5,Pitch-level Statcast · last 5 MLB games,457,Changeup,32.822757111597376,150.0,4-Seam Fastball,24.50765864332604,112.0,Cutter,12.25382932166302,56.0,Curveball,12.035010940919037,55.0,Sinker,9.846827133479213,45.0,Slider,8.533916849015318,39.0,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.016,1.009,60.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,60.8,58.3,57.9,56.9,50.0,45.0,58.2,7.97,1.088,1.114,1.025,1.0,0.973,0.973,0.98,19.13,14.66,82.5,37.9,D+,Lineup unconfirmed
8,2026-08-07,823103,2026-08-08T01:45:00Z,Scheduled,T-Mobile Park,Tampa Bay Rays @ Seattle Mariners,Away,691406,Junior Caminero,Tampa Bay Rays,Seattle Mariners,3B,R,No,,114,498,433,123,18,1,33,70,71,61,2,91,0.284,0.373,0.559,0.932,11,46,41,11,4,0.268,0.087,24,105,91,28,7,0.308,0.0667,589,126,10.1,34.7,49.1,28.1,22.8,14.0,25.5,59.9,26.8,7.4,4.3,7.4,55.8,86.4,12.7,0.682,78.0,100.8,116.3,80.4,13.0,22.6,61.9,58.5,Average,3.5,Pull Power,A,Excellent HR swing plane,58.5,Average,1.024,Good,11.1,60.6,101.0,0.734,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,51.59,18.59,Strong positive regression,Average Pull Power profile. 10.1% barrel rate; 86.4 mph average exit velocity; 25.5% air-ball rate; 59.9% pull-air rate; 7.4% HR-launch rate.,0.0663,0.0596,4.23,0,0,13.1,0.0,0.0,Very recent HR,669302.0,Logan Gilbert,R,RHB vs RHP,22,22,132.2,3.46,0.99,17,1.15,9.43,1.9,690.0,5.5,23.9,14.6,48.9,31.6,82.9,95.0,115.2,0.556,17.0,62.1,99.8,0.727,9.2,4-Seam Fastball,R,RHB vs RHP,56.0,364,0.274,0.346,0.56,0.906,26,36,72,0.0714,9.7,0.658,229,0.0306,7.1,0.567,7,5,2,2/5,0.4,0.571,0.6,1.171,0,2,3,58.7,Slight Hitter Advantage,Above average,58.8,5,Pitch-level Statcast · last 5 MLB games,471,4-Seam Fastball,43.73673036093418,206.0,Slider,29.29936305732484,138.0,Split-Finger,12.951167728237792,61.0,Sweeper,6.794055201698514,32.0,Changeup,4.45859872611465,21.0,Cutter,1.6985138004246285,8.0,Sinker,1.0615711252653928,5.0,Unknown,,Unknown,,No,92.0,0.92,1.0,35.6,1.024,0.98,68.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,56.0,41.7,62.1,76.2,35.6,45.0,57.5,7.72,1.122,1.008,0.985,1.03,1.024,1.055,0.98,22.89,15.13,85.0,40.3,D+,Lineup unconfirmed
9,2026-08-07,823024,2026-08-08T00:15:00Z,Scheduled,Busch Stadium,Colorado Rockies @ St. Louis Cardinals,Away,696100,Hunter Goodman,Colorado Rockies,St. Louis Cardinals,C,R,No,,105,437,393,100,16,0,33,66,66,37,4,147,0.254,0.323,0.547,0.87,9,36,34,7,2,0.206,0.0556,19,78,69,19,6,0.275,0.0769,524,89,8.3,28.2,50.1,30.8,18.6,17.4,28.2,56.1,28.3,7.5,4.8,7.5,77.7,83.7,23.1,0.743,73.6,96.4,114.2,46.8,13.2,10.4,63.7,47.9,Below Average,3.0,Pull Power,A-,Elevated power plane,47.9,Below Average,0.994,Good,7.9,57.7,95.4,0.754,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,37.69,4.69,Strong positive regression,Below Average Pull Power profile. 8.3% barrel rate; 83.7 mph average exit velocity; 28.2% air-ball rate; 56.1% pull-air rate; 7.5% HR-launch rate.,0.0755,0.0661,4.15,10,3,11.9,0.84,84.0,Near normal interval,681517.0,Kyle Leahy,R,RHB vs RHP,21,21,107.1,3.44,1.33,12,1.01,7.63,2.93,585.0,6.8,30.8,12.5,44.7,29.6,84.6,97.5,114.9,0.591,12.0,63.7,99.9,0.752,8.7,4-Seam Fastball,R,RHB vs RHP,56.9,296,0.244,0.304,0.559,0.863,25,20,94,0.0845,8.7,0.725,224,0.0223,6.0,0.527,3,3,0,0/3,0.0,0.0,0.0,0.0,0,0,3,56.4,Neutral Matchup,Average,42.5,5,Pitch-level Statcast · last 5 MLB games,416,4-Seam Fastball,21.39423076923077,89.0,Slider,18.028846153846153,75.0,Curveball,18.028846153846153,75.0,Changeup,14.423076923076923,60.0,Sweeper,14.182692307692308,59.0,Sinker,13.942307692307692,58.0,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.027,0.993,63.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,56.9,48.1,63.7,57.7,50.0,45.0,57.5,7.72,0.994,0.986,0.985,1.03,0.994,1.024,1.0,24.72,15.45,83.2,40.1,D+,Lineup unconfirmed
10,2026-08-07,822863,2026-08-08T00:15:00Z,Scheduled,Globe Life Field,Baltimore Orioles @ Texas Rangers,Away,687952,Christian Encarnacion-Strand,Baltimore Orioles,Texas Rangers,3B,R,No,,14,54,48,12,3,0,3,5,11,4,1,11,0.25,0.321,0.5,0.821,9,32,28,4,0,0.143,0.0,14,54,48,12,3,0.25,0.0556,79,79,11.4,21.5,44.4,27.8,27.8,11.4,22.8,55.6,34.2,8.9,5.1,8.9,33.3,83.5,16.6,0.79,71.3,95.4,111.0,28.7,13.9,5.6,50.9,47.5,Below Average,3.0,Pull Power,A,Excellent HR swing plane,47.5,Below Average,0.993,Good,11.4,55.6,95.4,0.79,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,7.25,4.25,Strong positive regression,Below Average Pull Power profile. 11.4% barrel rate; 83.5 mph average exit velocity; 22.8% air-ball rate; 55.6% pull-air rate; 8.9% HR-launch rate.,0.0556,0.0393,4.15,28,9,16.0,1.75,175.0,Above normal drought,543135.0,Nathan Eovaldi,R,RHB vs RHP,21,21,127.1,4.31,1.21,24,1.7,9.54,2.12,637.0,5.3,27.6,14.0,47.2,26.4,82.9,96.2,115.9,0.576,24.0,71.0,40.4,0.852,7.5,Cutter,R,RHB vs RHP,45.0,28,0.148,0.179,0.222,0.401,0,1,4,0.0,8.2,0.551,239,0.0502,5.0,0.57,3,3,0,0/3,0.0,0.0,0.0,0.0,0,0,1,53.6,Neutral Matchup,Average,42.5,5,Pitch-level Statcast · last 5 MLB games,450,Split-Finger,38.888888888888886,175.0,Curveball,27.77777777777778,125.0,4-Seam Fastball,16.444444444444443,74.0,Cutter,12.222222222222221,55.0,Sinker,3.3333333333333335,15.0,Slider,1.3333333333333333,6.0,,,,Unknown,,Unknown,,No,104.0,1.04,1.0,57.2,1.042,0.978,61.2,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,45.0,42.0,71.0,65.7,57.2,45.0,57.4,7.67,0.931,1.096,0.985,1.0,0.993,0.993,1.035,15.33,11.73,60.2,34.3,D,Small season sample; Lineup unconfirmed
11,2026-08-07,823024,2026-08-08T00:15:00Z,Scheduled,Busch Stadium,Colorado Rockies @ St. Louis Cardinals,Home,676475,Alec Burleson,St. Louis Cardinals,Colorado Rockies,1B,L,No,,114,482,435,125,28,1,18,60,77,40,4,76,0.287,0.351,0.48,0.831,12,49,43,15,3,0.349,0.0612,24,99,89,29,3,0.326,0.0303,663,141,8.5,33.6,55.7,19.0,25.2,13.9,27.4,46.3,35.1,7.7,4.1,7.7,30.4,86.4,16.3,0.667,71.7,98.6,112.7,33.9,16.2,13.7,52.9,48.8,Average,3.0,Pull Power,A,Excellent HR swing plane,48.8,Average,0.997,Good,9.9,46.2,99.2,0.69,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,49.46,31.46,Strong positive regression,Average Pull Power profile. 8.5% barrel rate; 86.4 mph average exit velocity; 27.4% air-ball rate; 46.3% pull-air rate; 7.7% HR-launch rate.,0.0373,0.0363,4.09,4,2,24.2,0.17,16.6,Very recent HR,663372.0,Ryan Feltner,R,LHB vs RHP,16,16,76.2,5.75,1.46,17,2.0,6.69,3.52,418.0,7.7,27.3,16.7,48.8,26.6,83.3,95.6,111.0,0.626,17.0,53.7,100.0,0.68,7.4,4-Seam Fastball,L,LHB vs RHP,55.9,337,0.329,0.404,0.564,0.967,15,34,56,0.0445,8.2,0.699,168,0.0476,9.1,0.63,6,6,1,1/6,0.167,0.167,0.167,0.334,0,0,1,50.9,Neutral Matchup,Average,35.0,5,Pitch-level Statcast · last 5 MLB games,420,4-Seam Fastball,30.714285714285715,129.0,Slider,25.476190476190474,107.0,Changeup,17.61904761904762,74.0,Sinker,13.333333333333334,56.0,Sweeper,7.619047619047619,32.0,Curveball,5.238095238095238,22.0,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.007,1.002,61.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,55.9,53.0,53.7,64.6,50.0,45.0,56.7,7.38,1.122,1.144,1.025,1.0,0.997,0.997,0.98,14.03,12.11,84.9,34.0,D,Lineup unconfirmed
