rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,preseason_expected_to_play,preseason_game_plan_role,preseason_game_plan_source,preseason_game_plan_note,preseason_game_plan_factor,preseason_attempt_share,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,ladder_yards,probability_pct,grade
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,210,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,220,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,230,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,240,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,250,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,260,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,270,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,280,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,290,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,300,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,310,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,320,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,330,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,340,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,350,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,360,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,370,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,380,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,390,0.0,VERY LOW
1,2026,PRE,3,Preseason Week 3,00-0033106,Jared Goff,DET,IND,away,,ACT,10,16.0,NFL_HISTORY,TEAM_BLEND,30.5,7.32,224.1,51,37.3,13.1,AUTO_PRESEASON_USAGE,starter_like,True,QB2,DEPTH ROTATION,,1.0,0.35,7.82,102.1,32.0,307.8,293.3,267.0,61.1,80.6,101.6,123.8,143.1,81.5,79.0,71.8,60.1,42.8,28.1,QB_3_SEASON_GAME_BOOTSTRAP,1987,400,0.0,VERY LOW
