Date,GamePk,Pitcher,PitcherID,Opponent,Pitcher Team,Venue,Pitcher Hand,K,ERA,Pitcher K9,Base Model K%,Lineup Model K%,Final Model K%,Skill Workload Anchor K,Projection Sanity Ratio,Lineup Source,Lineup Reliability,Pitch-Type Matchup Score,Shape Matchup Score,Sequence Advantage Score,Avg Zone Contact%,Avg Chase Contact%,Avg 2Strike Foul%,Avg 2Strike Contact%,Expected BF,Expected Pitches,Hook Aggression,Manager Factor,Bullpen Factor,Park Factor,Weather Factor,Workload Context Factor,Proj K,Sim Mean K,Fair Line,Line,LineSource,Edge,Recommendation,Recommendation Tier,MORE Probability,LESS Probability,Best Side %,Best MORE Line,Best MORE Probability,Best MORE Tier,Best MORE Qualified,Over %,Under %,Raw Over %,Raw Under %,MORE 2.5 %,LESS 2.5 %,MORE 3.0 %,LESS 3.0 %,PUSH 3.0 %,MORE 3.5 %,LESS 3.5 %,MORE 4.0 %,LESS 4.0 %,PUSH 4.0 %,MORE 4.5 %,LESS 4.5 %,MORE 5.0 %,LESS 5.0 %,PUSH 5.0 %,MORE 5.5 %,LESS 5.5 %,MORE 6.0 %,LESS 6.0 %,PUSH 6.0 %,MORE 6.5 %,LESS 6.5 %,MORE 7.0 %,LESS 7.0 %,PUSH 7.0 %,MORE 7.5 %,LESS 7.5 %,MORE 8.0 %,LESS 8.0 %,PUSH 8.0 %,MORE 8.5 %,LESS 8.5 %,MORE 9.0 %,LESS 9.0 %,PUSH 9.0 %,MORE 9.5 %,LESS 9.5 %,MORE 10.0 %,LESS 10.0 %,PUSH 10.0 %,MORE 10.5 %,LESS 10.5 %,MORE 11.0 %,LESS 11.0 %,PUSH 11.0 %,Ladder 3+,Ladder 4+,Ladder 5+,Ladder 6+,Ladder 7+,Ladder 8+,Ladder 9+,Ladder 10+,Ladder 11+,Ladder 12+,Ladder 13+,K State Floor%,K State Median%,K State Strong%,K State Dominant%,K State Peak%,P Floor State,P Median State,P Strong State,P Dominant State,P Peak State,K Ceiling Score,Elite K Index,Peak K Index,Historical K Volatility,Historical K Volatility Starts,Historical P90 K%,Recent Peak Skill Score,Recent Peak Whiff%,Recent Peak CSW%,Recent Peak 2Strike Whiff%,Recent Peak PutAway%,K State Expected%,Whiff%,Chase%,CSW%,FirstStrike%,2Strike Whiff%,PutAway Proxy%,Stuff Score,Pitcher K Talent Score,Today K Environment Score,Workload Opportunity Score,K Opportunity Score,Velo Change,Whiff Change,Arsenal Change Score,Umpire,Catcher,Official Combined Factor,Sim SD,Model Confidence,Probability Calibration,Projection Calibration N,Actual K,Projection Error,Absolute Error,Side Result,ModelVersion,Actionable
2026-07-26,823028,Kyle Leahy,681517,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,R,-,3.59,7.46,18.08,18.23,18.15,4.01,0.992,Confirmed,1.0,-0.34,-0.09,0.0,86.9,57.8,23.3,75.8,20.54,79.2,0.595,1.0,1.0,1.0,1.0,1.0,3.98,3.98,4.5,3.5,Model fallback,0.48,PASS,PASS,53.5,46.5,53.5,2.5,70.5,ELITE MORE,True,53.480000000000004,46.52,53.5,46.5,70.5,29.5,53.5,29.5,17.0,53.5,46.5,37.3,46.5,16.2,37.3,62.7,24.2,62.7,13.1,24.2,75.8,14.5,75.8,9.7,14.5,85.5,8.2,85.5,6.2,8.2,91.8,4.3,91.8,3.9,4.3,95.7,2.2,95.7,2.2,2.2,97.8,1.0,97.8,1.2,1.0,99.0,0.5,99.0,0.5,70.5,53.5,37.3,24.2,14.5,8.2,4.3,2.2,1.0,0.5,0.2,12.0,18.1,23.9,29.3,34.8,17.4,50.0,22.6,9.3,0.7,33.1,-0.515,-0.447,0.0816,18,30.1,0.287,27.3,30.1,25.2,21.7,19.53,17.91,26.21,24.75,59.12,20.0,11.32,46.8,30.6,32.1,37.5,32.6,0.38,-1.56,-0.121,Gabe Morales,Pedro Pagés,1.0,2.37,92.5,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,823840,Janson Junk,676083,San Diego Padres,Miami Marlins,loanDepot park,R,2,5.01,6.81,17.17,14.93,16.09,3.21,0.924,Confirmed,1.0,-0.891,-0.285,0.0,87.9,58.1,26.0,80.0,18.53,70.9,0.655,1.0,1.0,1.0,1.0,1.0,2.97,2.97,3.5,2.5,Model fallback,0.47,PASS,PASS,53.0,47.0,53.0,2.5,53.0,PASS,False,53.02,46.98,53.0,47.0,53.0,47.0,34.9,47.0,18.1,34.9,65.1,21.0,65.1,13.9,21.0,79.0,12.1,79.0,8.9,12.1,87.9,6.3,87.9,5.8,6.3,93.7,3.1,93.7,3.2,3.1,96.9,1.4,96.9,1.7,1.4,98.6,0.6,98.6,0.8,0.6,99.4,0.3,99.4,0.4,0.3,99.7,0.1,99.7,0.1,53.0,34.9,21.0,12.1,6.3,3.1,1.4,0.6,0.3,0.1,0.0,9.3,16.1,22.4,28.4,34.3,18.4,51.1,21.7,8.6,0.2,23.5,-0.729,-0.791,0.095,14,27.0,-0.964,15.2,26.3,11.1,22.6,17.31,12.86,26.25,23.9,52.5,14.81,8.89,34.6,24.3,19.2,25.6,22.5,-0.24,0.77,0.152,Will Little,Joe Mack,1.0,2.09,83.2,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,823840,Walker Buehler,621111,Miami Marlins,San Diego Padres,loanDepot park,R,1,5.21,8.05,19.48,19.83,19.65,3.89,0.993,Confirmed,1.0,-0.512,0.102,0.0,85.0,55.1,21.8,73.8,18.1,70.1,0.595,1.0,1.0,1.0,1.0,1.0,3.87,3.87,4.5,3.5,Model fallback,0.37,PASS,PASS,52.1,47.9,52.1,2.5,70.0,ELITE MORE,True,52.1025,47.8975,52.1,47.9,70.0,30.0,52.1,30.0,17.9,52.1,47.9,35.3,47.9,16.8,35.3,64.7,21.9,64.7,13.4,21.9,78.1,12.8,78.1,9.1,12.8,87.2,6.9,87.2,5.9,6.9,93.1,3.4,93.1,3.5,3.4,96.6,1.6,96.6,1.8,1.6,98.4,0.7,98.4,0.9,0.7,99.3,0.3,99.3,0.4,70.0,52.1,35.3,21.9,12.8,6.9,3.4,1.6,0.7,0.3,0.1,12.5,19.7,26.3,32.8,39.5,16.8,49.0,23.1,9.9,1.2,45.0,-0.175,-0.107,0.095,18,33.8,0.844,26.5,30.7,39.8,28.1,21.52,21.49,23.15,26.1,64.29,23.66,14.09,42.7,36.5,34.3,22.9,32.9,-0.15,6.12,0.477,Will Little,Luis Campusano,1.0,2.27,92.3,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,823599,Freddy Peralta,642547,Los Angeles Dodgers,New York Mets,Citi Field,R,0,4.98,8.97,20.46,18.67,19.6,4.1,0.945,Confirmed,1.0,-0.38,-0.309,0.0,85.6,59.8,22.9,78.1,19.63,75.8,0.67,1.0,1.0,1.0,1.0,1.0,3.88,3.88,4.5,3.5,Model fallback,0.38,PASS,PASS,51.6,48.4,51.6,2.5,69.4,ELITE MORE,True,51.57000000000001,48.43,51.6,48.4,69.4,30.6,51.6,30.6,17.9,51.6,48.4,35.3,48.4,16.3,35.3,64.7,22.4,64.7,12.9,22.4,77.6,13.1,77.6,9.3,13.1,86.9,7.3,86.9,5.9,7.3,92.7,3.8,92.7,3.5,3.8,96.2,1.9,96.2,1.9,1.9,98.1,0.9,98.1,0.9,0.9,99.1,0.4,99.1,0.5,69.4,51.6,35.3,22.4,13.1,7.3,3.8,1.9,0.9,0.4,0.2,13.4,19.6,25.4,30.9,36.4,17.8,50.4,22.2,9.0,0.6,43.8,-0.189,-0.162,0.0827,18,28.9,0.256,29.2,27.9,24.8,21.9,20.89,23.97,28.36,24.29,52.4,19.76,11.58,47.3,38.9,29.3,31.8,33.6,0.89,4.65,0.59,Malachi Moore,Luis Torrens,1.0,2.32,93.6,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,823678,Jeffrey Springs,605488,Minnesota Twins,Athletics,Target Field,L,0,5.96,7.54,16.81,16.18,16.51,4.02,0.965,Confirmed,1.0,-0.403,0.183,0.092,86.9,54.2,23.4,78.2,22.61,86.7,0.725,1.0,1.0,1.0,1.0,1.0,3.88,3.88,4.5,3.5,Model fallback,0.38,PASS,PASS,51.5,48.5,51.5,2.5,69.1,ELITE MORE,True,51.532500000000006,48.4675,51.5,48.5,69.1,30.9,51.5,30.9,17.6,51.5,48.5,35.5,48.5,16.1,35.5,64.5,22.8,64.5,12.7,22.8,77.2,13.7,77.2,9.1,13.7,86.3,7.6,86.3,6.1,7.6,92.4,3.9,92.4,3.6,3.9,96.1,1.9,96.1,2.0,1.9,98.1,0.8,98.1,1.0,0.8,99.2,0.4,99.2,0.5,69.1,51.5,35.5,22.8,13.7,7.6,3.9,1.9,0.8,0.4,0.1,11.5,16.5,21.2,25.6,30.3,17.0,49.1,23.1,9.7,1.0,36.7,-0.435,-0.389,0.0665,18,28.2,0.446,30.0,28.3,26.2,25.3,17.76,20.39,27.29,23.94,50.76,19.57,12.74,42.1,29.3,30.7,43.9,32.8,-0.12,-3.82,-0.395,Chad Fairchild,Jonah Heim,1.0,2.34,93.9,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,822950,Parker Messick,800048,Tampa Bay Rays,Cleveland Guardians,Tropicana Field,L,4,2.61,8.69,20.82,16.17,18.59,4.51,0.865,Confirmed,1.0,-0.727,-0.827,0.0,88.3,70.8,24.9,83.4,22.32,85.6,0.5,1.0,1.0,1.0,1.0,1.0,3.9,3.9,4.5,3.5,Model fallback,0.4,PASS,PASS,51.2,48.8,51.2,2.5,68.3,ELITE MORE,True,51.2425,48.7575,51.2,48.8,68.3,31.7,51.2,31.7,17.1,51.2,48.8,35.9,48.8,15.3,35.9,64.1,23.4,64.1,12.5,23.4,76.6,14.4,76.6,9.0,14.4,85.6,8.3,85.6,6.1,8.3,91.7,4.6,91.7,3.7,4.6,95.4,2.3,95.4,2.3,2.3,97.7,1.1,97.7,1.2,1.1,98.9,0.5,98.9,0.6,68.3,51.2,35.9,23.4,14.4,8.3,4.6,2.3,1.1,0.5,0.2,11.6,18.6,25.1,31.5,38.3,17.8,49.5,22.4,9.3,1.0,40.4,-0.336,-0.237,0.0925,18,36.3,1.185,26.5,32.3,46.7,30.3,20.2,21.63,28.87,26.56,58.53,21.38,12.86,46.6,37.9,21.6,46.3,33.1,0.84,-10.06,-0.54,Tyler Jones,Austin Hedges,1.0,2.41,91.7,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,823433,Will Warren,701542,Philadelphia Phillies,New York Yankees,Citizens Bank Park,R,-,4.0,8.82,18.88,18.4,18.73,3.99,0.976,Projected roster,0.62,-0.493,-0.102,0.0,85.9,59.1,27.5,77.1,19.21,74.3,0.57,1.0,1.0,1.0,1.0,1.0,3.89,3.89,4.5,3.5,Model fallback,0.39,PASS,PASS,51.2,48.8,51.2,2.5,68.5,ELITE MORE,True,51.2475,48.7525,51.2,48.8,68.5,31.5,51.2,31.5,17.3,51.2,48.8,35.5,48.8,15.7,35.5,64.5,22.9,64.5,12.6,22.9,77.1,14.2,77.1,8.7,14.2,85.8,8.3,85.8,5.9,8.3,91.7,4.6,91.7,3.8,4.6,95.4,2.3,95.4,2.3,2.3,97.7,1.1,97.7,1.1,1.1,98.9,0.5,98.9,0.6,68.5,51.2,35.5,22.9,14.2,8.3,4.6,2.3,1.1,0.5,0.2,11.6,18.7,25.4,32.0,39.1,16.6,48.4,23.4,10.1,1.5,34.3,-0.515,-0.37,0.095,17,36.8,1.346,31.2,34.2,38.4,32.0,20.75,18.1,29.32,26.2,63.49,15.38,7.92,50.4,32.6,30.3,32.4,31.6,0.03,0.2,0.177,-,Austin Wells,1.0,2.42,82.3,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,823354,Braxton Ashcraft,677952,Chicago Cubs,Pittsburgh Pirates,PNC Park,R,1,3.91,10.05,27.3,28.12,27.69,5.76,1.003,Confirmed,1.0,-0.204,-0.121,0.0,87.0,55.3,23.6,77.4,19.07,75.6,0.57,1.0,1.0,1.0,1.0,1.0,5.77,5.77,6.5,5.5,Model fallback,0.27,PASS,PASS,50.5,49.5,50.5,4.5,65.3,ELITE MORE,True,50.480000000000004,49.519999999999996,50.5,49.5,89.7,10.3,79.0,10.3,10.6,79.0,21.0,65.3,21.0,13.7,65.3,34.7,50.5,34.7,14.9,50.5,49.5,36.5,49.5,14.0,36.5,63.5,24.8,63.5,11.7,24.8,75.2,15.7,75.2,9.1,15.7,84.3,9.3,84.3,6.3,9.3,90.6,5.2,90.6,4.1,5.2,94.8,2.9,94.8,2.3,89.7,79.0,65.3,50.5,36.5,24.8,15.7,9.4,5.2,2.9,1.5,20.6,27.7,34.6,41.2,48.3,16.0,46.9,23.8,11.0,2.3,59.6,0.282,0.267,0.0943,18,36.4,1.206,29.9,33.7,35.6,33.5,30.18,24.49,38.88,28.33,67.66,27.04,18.34,53.7,53.1,44.1,30.9,45.1,0.26,-2.69,-0.192,Jansen Visconti,Shawn Ross,1.0,2.72,90.6,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,823354,Jameson Taillon,592791,Pittsburgh Pirates,Chicago Cubs,PNC Park,R,0,5.38,8.13,20.16,21.62,20.86,4.63,1.02,Confirmed,1.0,-0.123,0.145,0.022,82.9,57.9,25.4,75.3,20.63,80.2,0.63,1.0,1.0,1.0,1.0,1.0,4.72,4.72,4.5,4.5,Model fallback,0.22,PASS,PASS,49.2,50.8,49.2,3.5,65.1,ELITE MORE,True,49.2425,50.7575,49.2,50.8,80.2,19.8,65.1,19.8,15.1,65.1,34.9,49.2,34.9,15.9,49.2,50.8,34.7,50.8,14.5,34.7,65.3,22.5,65.3,12.2,22.5,77.5,13.8,77.5,8.8,13.8,86.2,8.0,86.2,5.8,8.0,92.0,4.4,92.0,3.6,4.4,95.6,2.3,95.6,2.1,2.3,97.7,1.1,97.7,1.1,80.2,65.1,49.2,34.7,22.5,13.8,8.0,4.4,2.3,1.1,0.5,15.8,20.9,25.7,30.3,35.0,16.4,47.9,23.3,10.4,2.0,59.0,0.194,0.292,0.0691,14,29.6,0.511,27.2,26.7,38.3,23.6,22.42,25.74,32.73,26.06,55.41,33.33,18.99,46.2,40.7,40.5,38.7,40.2,-0.01,-3.34,-0.395,Jansen Visconti,Carson Kelly,1.0,2.53,85.2,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,824730,Kevin Gausman,592332,Boston Red Sox,Toronto Blue Jays,Fenway Park,R,0,4.49,9.05,23.14,23.12,23.13,4.79,0.968,Confirmed,1.0,-0.507,-0.133,0.145,86.2,58.2,27.1,78.3,19.18,74.9,0.62,1.0,1.0,1.0,1.0,1.0,4.63,4.63,4.5,4.5,Model fallback,0.13,PASS,PASS,48.1,51.9,48.1,3.5,64.3,STRONG MORE,True,48.0925,51.9075,48.1,51.9,79.7,20.3,64.3,20.3,15.4,64.3,35.7,48.1,35.7,16.2,48.1,51.9,33.5,51.9,14.6,33.5,66.5,21.3,66.5,12.2,21.3,78.7,12.7,78.7,8.6,12.7,87.3,7.2,87.3,5.6,7.2,92.8,3.7,92.8,3.5,3.7,96.3,1.8,96.3,1.8,1.8,98.2,0.9,98.2,1.0,79.7,64.3,48.1,33.5,21.3,12.7,7.2,3.7,1.8,0.9,0.4,16.2,23.1,29.6,36.0,42.6,16.9,48.9,23.1,9.9,1.2,51.6,0.031,0.062,0.0926,18,31.1,0.9,29.8,32.1,30.9,30.3,24.96,25.61,31.93,26.73,60.26,21.71,12.97,49.6,45.3,35.0,30.5,38.2,0.3,1.08,0.185,Quinn Wolcott,Alejandro Kirk,1.0,2.47,92.9,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,822870,Jacob deGrom,594798,Seattle Mariners,Texas Rangers,Globe Life Field,R,-,3.76,10.94,30.91,32.97,31.9,8.45,1.003,Confirmed,1.0,0.468,-0.046,0.05,85.0,62.8,24.9,78.1,23.88,95.8,0.5,1.0,1.0,1.0,1.0,1.0,8.47,8.47,8.5,8.5,Model fallback,-0.03,PASS,PASS,47.6,52.4,47.6,7.5,59.8,MORE,True,47.595,52.405,47.6,52.4,98.0,2.0,94.8,2.0,3.3,94.8,5.2,89.4,5.2,5.4,89.4,10.6,81.4,10.6,8.0,81.4,18.6,71.3,18.6,10.1,71.3,28.7,59.8,28.7,11.5,59.8,40.2,47.6,40.2,12.2,47.6,52.4,36.3,52.4,11.3,36.3,63.7,25.9,63.7,10.4,25.9,74.1,17.5,74.1,8.4,98.0,94.8,89.4,81.4,71.3,59.8,47.6,36.3,25.9,17.5,11.3,25.7,31.9,38.3,44.6,51.3,14.1,41.8,25.3,13.4,5.3,83.2,0.812,0.884,0.0823,18,39.2,1.592,35.0,33.0,39.8,34.7,35.38,32.3,33.19,30.51,61.72,31.74,21.12,65.3,66.3,57.4,53.1,60.1,0.65,-5.39,-0.237,Nick Mahrley,Elias Díaz,1.0,3.24,89.3,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,823194,José Soriano,667755,San Francisco Giants,Los Angeles Angels,Oracle Park,R,-,3.43,9.31,23.17,22.66,22.92,5.77,0.971,Confirmed,1.0,-0.516,-0.347,0.026,86.8,62.2,24.1,77.8,23.03,90.0,0.65,1.0,1.0,1.0,1.0,1.0,5.6,5.6,5.5,5.5,Model fallback,0.1,PASS,PASS,47.4,52.6,47.4,4.5,61.5,STRONG MORE,True,47.375,52.625,47.4,52.6,86.6,13.4,75.3,13.4,11.4,75.3,24.7,61.5,24.7,13.8,61.5,38.5,47.4,38.5,14.1,47.4,52.6,34.7,52.6,12.6,34.7,65.3,24.0,65.3,10.7,24.0,76.0,15.7,76.0,8.3,15.7,84.3,9.8,84.3,6.0,9.8,90.2,5.5,90.2,4.2,5.5,94.5,3.1,94.5,2.4,86.6,75.3,61.5,47.4,34.7,24.0,15.7,9.8,5.5,3.1,1.6,16.0,22.9,29.5,35.9,42.6,16.7,47.8,23.2,10.2,2.1,57.3,0.146,0.186,0.0925,18,35.9,0.854,31.7,30.1,33.8,24.9,25.03,27.21,32.42,28.41,59.47,23.75,14.02,57.8,47.2,36.5,47.5,43.0,-0.58,-7.26,-0.644,Hunter Wendelstedt,Logan O'Hoppe,1.0,2.85,93.1,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,823433,Cristopher Sánchez,650911,New York Yankees,Philadelphia Phillies,Citizens Bank Park,L,-,2.65,10.24,28.3,30.53,28.96,8.21,1.029,Projected roster,0.62,0.136,0.111,0.026,83.1,58.8,23.9,74.5,25.36,101.2,0.455,1.0,1.0,1.0,1.0,1.0,8.45,8.45,8.5,8.5,Model fallback,-0.05,PASS,PASS,47.1,52.8,47.1,7.5,58.6,MORE,True,47.15,52.849999999999994,47.2,52.8,97.4,2.6,93.7,2.6,3.7,93.7,6.3,87.6,6.3,6.1,87.6,12.4,79.4,12.4,8.1,79.4,20.6,69.7,20.6,9.7,69.7,30.3,58.6,30.3,11.1,58.6,41.4,47.1,41.4,11.5,47.1,52.8,36.2,52.8,11.0,36.2,63.8,26.7,63.8,9.5,26.7,73.3,18.8,73.3,7.8,97.4,93.6,87.6,79.4,69.7,58.6,47.2,36.2,26.7,18.8,12.4,22.1,29.0,35.7,42.5,49.8,14.5,42.5,25.7,13.0,4.3,73.2,0.444,0.529,0.0909,18,35.8,1.838,35.3,35.1,46.1,31.8,32.37,28.94,40.59,30.14,60.24,24.04,15.6,60.9,58.7,57.2,61.4,58.6,-0.37,3.11,0.176,-,Payton Henry,1.0,3.42,83.8,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,822950,Drew Rasmussen,656876,Cleveland Guardians,Tampa Bay Rays,Tropicana Field,R,9,3.07,9.05,23.96,20.91,22.5,5.11,0.897,Confirmed,1.0,-0.752,-0.496,0.0,87.7,66.0,25.2,80.6,21.15,82.0,0.49,1.0,1.0,1.0,1.0,1.0,4.58,4.58,4.5,4.5,Model fallback,0.08,PASS,PASS,47.0,53.0,47.0,3.5,62.8,STRONG MORE,True,47.0375,52.9625,47.0,53.0,77.9,22.1,62.8,22.1,15.0,62.8,37.2,47.0,37.2,15.8,47.0,53.0,32.8,53.0,14.3,32.8,67.2,21.5,67.2,11.3,21.5,78.5,13.1,78.5,8.3,13.1,86.9,7.5,86.9,5.7,7.5,92.5,4.0,92.5,3.4,4.0,96.0,2.0,96.0,2.1,2.0,98.0,0.9,98.0,1.0,77.9,62.8,47.0,32.8,21.5,13.1,7.5,4.0,2.0,0.9,0.4,15.4,22.5,29.1,35.7,42.5,17.6,49.6,22.4,9.3,0.9,42.8,-0.217,-0.192,0.095,18,38.5,0.999,26.8,30.6,34.4,40.7,24.15,21.84,36.41,26.93,64.47,21.84,14.07,45.3,43.5,29.5,41.8,37.6,-0.07,-4.44,-0.391,Tyler Jones,Nick Fortes,1.0,2.54,90.0,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
2026-07-26,824810,Shane Baz,669358,Atlanta Braves,Baltimore Orioles,Oriole Park at Camden Yards,R,1,4.02,8.04,19.81,17.33,18.62,3.92,0.92,Confirmed,1.0,-1.022,-0.496,0.0,88.7,64.2,26.4,81.3,19.83,76.2,0.55,1.0,1.0,1.0,1.0,1.0,3.61,3.61,3.5,3.5,Model fallback,0.11,PASS,PASS,46.9,53.1,46.9,2.5,64.7,STRONG MORE,True,46.8825,53.11749999999999,46.9,53.1,64.7,35.3,46.9,35.3,17.8,46.9,53.1,31.0,53.1,15.9,31.0,69.0,19.2,69.0,11.8,19.2,80.8,10.9,80.8,8.2,10.9,89.1,5.8,89.1,5.1,5.8,94.2,3.0,94.2,2.9,3.0,97.0,1.4,97.0,1.6,1.4,98.6,0.6,98.6,0.8,0.6,99.4,0.3,99.4,0.4,64.7,46.9,31.0,19.2,10.9,5.8,3.0,1.4,0.6,0.3,0.1,11.9,18.6,24.9,30.7,36.6,18.5,51.3,21.5,8.5,0.2,40.0,-0.292,-0.281,0.0894,18,32.5,0.076,20.9,29.2,31.5,21.9,19.79,21.12,30.87,26.1,64.59,23.08,13.78,43.6,36.6,22.4,36.0,30.8,0.64,1.42,0.282,Sean Barber,Chadwick Tromp,1.0,2.26,93.1,OFF,0,,,,,V4.6 MORE-Only Recommendations + Best MORE Line FIXED,0
