Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count
1,2026-08-13,822776,2026-08-13T19:07:00Z,Scheduled,Rogers Centre,Boston Red Sox @ Toronto Blue Jays,Away,575929,Willson Contreras,Boston Red Sox,Toronto Blue Jays,1B,R,No,,110,451,378,106,18,2,24,60,71,49,21,114,0.28,0.39,0.529,0.919,9,34,28,5,1,0.179,0.0294,22,87,66,17,4,0.258,0.046,520,82,9.1,28.5,47.4,26.2,25.9,17.1,29.3,51.2,32.2,7.4,3.6,7.4,45.5,83.6,19.6,0.684,74.9,97.4,116.5,66.2,11.6,14.6,45.1,49.5,Average,3.0,Pull Power,A,Excellent HR swing plane,49.5,Average,0.999,Good,8.5,50.0,96.8,0.616,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,39.16,15.16,Strong positive regression,Average Pull Power profile. 9.1% barrel rate; 83.6 mph average exit velocity; 29.3% air-ball rate; 51.2% pull-air rate; 7.4% HR-launch rate.,0.0532,0.0488,4.31,0,0,15.8,0.0,0.0,Very recent HR,453286,Max Scherzer,R,RHB vs RHP,9,9,36.0,7.25,1.53,11,2.75,6.75,3.75,273,5.9,20.5,12.8,59.0,33.7,81.0,93.6,111.5,0.585,11,64.2,99.9,0.727,10.2,4-Seam Fastball,R,RHB vs RHP,54.4,330,0.28,0.382,0.509,0.891,16,30,92,0.0485,8.1,0.685,53,0.0755,4.4,0.611,14,12,2,2/12,0.167,0.286,0.167,0.453,0,2,5,50.0,Neutral Matchup,Average,15.2,5,Pitch-level Statcast · last 5 MLB games,407,4-Seam Fastball,45.45454545454545,185,Slider,23.587223587223587,96,Changeup,17.444717444717444,71,Curveball,13.267813267813267,54.0,Cutter,0.2457002457002457,1.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.028,0.984,65.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.4,43.2,64.2,60.3,50.0,45.0,57.2,7.56,0.902,1.136,0.985,1.03,0.999,1.029,0.98,19.38,13.11,84.0,36.8,D+,Lineup unconfirmed,,,,,,
2,2026-08-13,823669,2026-08-13T23:30:00Z,Scheduled,Field of Dreams,Philadelphia Phillies @ Minnesota Twins,Home,665019,Kody Clemens,Minnesota Twins,Philadelphia Phillies,1B,L,No,,106,429,392,90,20,5,20,55,56,27,6,97,0.23,0.288,0.459,0.747,11,47,43,5,1,0.116,0.0213,23,97,91,17,4,0.187,0.0412,571,133,5.7,26.8,54.2,21.2,24.2,17.4,27.0,47.8,24.0,6.7,4.5,6.7,59.4,84.4,19.6,0.549,70.2,95.8,110.8,12.3,11.6,4.5,60.8,33.6,Weak,2.5,Pull Power,A,Excellent HR swing plane,33.6,Weak,0.954,Good,4.5,55.9,94.7,0.492,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,30.64,10.64,Strong positive regression,Weak Pull Power profile. 5.7% barrel rate; 84.4 mph average exit velocity; 27.0% air-ball rate; 47.8% pull-air rate; 6.7% HR-launch rate.,0.0466,0.0434,3.93,7,2,19.6,0.36,35.7,Recently homered,605400,Aaron Nola,R,LHB vs RHP,24,24,125.0,5.47,1.45,29,2.09,9.29,3.1,671,6.6,26.4,15.8,47.4,29.8,81.9,95.8,113.9,0.577,29,90.0,99.6,0.797,19.6,Knuckle Curve,L,LHB vs RHP,47.9,319,0.23,0.289,0.467,0.757,15,20,72,0.047,6.5,0.575,341,0.0528,6.4,0.582,3,3,1,1/3,0.333,0.333,1.0,1.333,0,0,1,63.8,Slight Hitter Advantage,Above average,53.8,5,Pitch-level Statcast · last 5 MLB games,469,Knuckle Curve,28.571428571428573,134,Changeup,25.15991471215352,118,4-Seam Fastball,24.520255863539447,115,Sinker,14.925373134328359,70.0,Cutter,6.609808102345416,31.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.08,0.991,51.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,47.9,46.5,90.0,48.9,50.0,45.0,56.2,7.21,0.879,1.158,1.025,1.0,0.954,0.954,1.0,16.01,11.6,84.8,31.9,D,Lineup unconfirmed,Slider,0.21321961620469082,1.0,,,
3,2026-08-13,823508,2026-08-13T17:35:00Z,Scheduled,Yankee Stadium,Seattle Mariners @ New York Yankees,Home,700250,Ben Rice,New York Yankees,Seattle Mariners,1B,L,No,,115,492,427,110,20,3,32,75,76,60,3,124,0.258,0.352,0.543,0.895,11,44,37,5,1,0.135,0.0227,24,102,90,16,3,0.178,0.0294,591,123,9.5,29.9,55.8,19.2,25.0,15.6,27.3,44.9,32.2,9.6,6.2,9.6,46.6,84.9,16.5,0.714,70.9,97.0,110.2,25.0,14.7,8.5,53.2,45.3,Below Average,3.0,Pull Power,A,Excellent HR swing plane,45.3,Below Average,0.987,Good,9.8,39.4,96.1,0.718,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,47.49,15.49,Strong positive regression,Below Average Pull Power profile. 9.5% barrel rate; 84.9 mph average exit velocity; 27.3% air-ball rate; 44.9% pull-air rate; 9.6% HR-launch rate.,0.065,0.0586,4.09,11,3,13.3,0.82,82.4,Near normal interval,669302,Logan Gilbert,R,LHB vs RHP,23,23,139.1,3.42,1.0,19,1.23,9.37,2.07,718,5.6,24.0,15.2,47.7,31.5,82.8,95.0,115.2,0.561,19,70.5,99.8,0.794,10.1,4-Seam Fastball,L,LHB vs RHP,57.2,319,0.259,0.367,0.57,0.937,22,47,75,0.069,10.6,0.749,313,0.0351,4.4,0.549,3,1,1,1/1,1.0,1.0,2.0,3.0,0,2,0,61.2,Slight Hitter Advantage,Above average,53.8,5,Pitch-level Statcast · last 5 MLB games,475,4-Seam Fastball,40.421052631578945,192,Slider,31.789473684210527,151,Split-Finger,13.052631578947368,62,Sweeper,6.526315789473684,31.0,Changeup,4.631578947368421,22.0,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.041,0.981,59.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,57.2,41.4,70.5,51.7,64.4,45.0,55.8,7.07,0.776,1.021,1.025,1.03,0.987,1.016,1.0,21.87,12.92,85.0,36.6,D+,Lineup unconfirmed,Cutter,2.3157894736842106,11.0,Sinker,1.263157894736842,6.0
4,2026-08-13,824561,2026-08-13T18:10:00Z,Scheduled,Rate Field,Cincinnati Reds @ Chicago White Sox,Home,808959,Munetaka Murakami,Chicago White Sox,Cincinnati Reds,1B,L,No,,84,367,302,71,12,0,26,61,54,63,1,122,0.235,0.368,0.533,0.901,11,49,44,9,3,0.205,0.0612,24,108,91,22,6,0.242,0.0556,336,94,12.6,36.8,50.3,25.8,22.5,21.2,32.6,46.6,32.2,8.6,4.8,8.6,57.7,86.7,18.8,0.856,72.2,99.8,113.9,41.7,16.0,10.7,44.5,56.3,Average,3.5,Pull Power,A,Excellent HR swing plane,56.3,Average,1.018,Good,12.8,48.6,99.2,0.843,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,34.46,8.46,Strong positive regression,Average Pull Power profile. 12.6% barrel rate; 86.7 mph average exit velocity; 32.6% air-ball rate; 46.6% pull-air rate; 8.6% HR-launch rate.,0.0708,0.0613,4.17,11,3,11.6,0.95,94.7,Near normal interval,671096,Andrew Abbott,L,LHB vs LHP,24,24,128.2,3.92,1.39,17,1.19,6.92,4.27,720,4.4,24.0,14.0,34.4,30.0,82.5,94.6,113.0,0.528,17,80.0,99.5,0.875,12.0,4-Seam Fastball,L,LHB vs LHP,43.6,117,0.196,0.325,0.392,0.717,5,19,45,0.0427,7.8,0.75,153,0.0261,3.9,0.49,0,0,0,0/0,,,,,0,0,0,57.6,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,465,4-Seam Fastball,41.505376344086024,193,Changeup,22.795698924731184,106,Sweeper,18.49462365591398,86,Curveball,13.118279569892474,61.0,Cutter,4.086021505376344,19.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.06,0.969,63.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,43.6,26.6,80.0,73.1,50.0,45.0,55.5,6.96,0.983,1.014,0.985,1.03,1.018,1.048,1.0,23.18,14.8,85.0,40.2,D+,Lineup unconfirmed,,,,,,
5,2026-08-13,823669,2026-08-13T23:30:00Z,Scheduled,Field of Dreams,Philadelphia Phillies @ Minnesota Twins,Away,656941,Kyle Schwarber,Philadelphia Phillies,Minnesota Twins,DH,L,No,,116,516,427,106,14,1,35,69,69,79,6,176,0.248,0.371,0.532,0.903,13,59,42,9,2,0.214,0.0339,23,102,77,17,3,0.221,0.0294,569,98,8.4,30.8,60.9,17.9,21.0,13.7,27.0,56.6,30.9,8.2,5.4,8.2,60.2,85.5,19.7,0.776,74.5,97.9,113.1,66.0,14.8,15.7,62.5,53.1,Average,3.0,Pull Power,A,Excellent HR swing plane,53.1,Average,1.009,Good,5.1,53.8,96.2,0.644,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,43.19,8.19,Strong positive regression,Average Pull Power profile. 8.4% barrel rate; 85.5 mph average exit velocity; 27.0% air-ball rate; 56.6% pull-air rate; 8.2% HR-launch rate.,0.0678,0.0611,4.23,10,3,12.2,0.82,82.0,Near normal interval,671737,Taj Bradley,R,LHB vs RHP,23,23,131.2,3.76,1.25,17,1.16,10.12,3.76,737,4.6,24.8,14.1,41.4,33.0,83.9,95.1,112.7,0.538,17,66.6,100.0,0.791,8.3,4-Seam Fastball,L,LHB vs RHP,63.2,324,0.229,0.356,0.515,0.871,23,52,118,0.071,11.0,0.843,326,0.0368,7.0,0.57,2,1,1,1/1,1.0,1.0,4.0,5.0,1,1,0,62.8,Slight Hitter Advantage,Above average,55.0,5,Pitch-level Statcast · last 5 MLB games,496,4-Seam Fastball,41.935483870967744,208,Cutter,26.612903225806452,132,Split-Finger,20.766129032258064,103,Curveball,10.685483870967742,53.0,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.033,0.971,66.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,63.2,32.8,66.6,53.3,50.0,45.0,54.4,6.62,0.809,1.01,1.025,1.03,1.009,1.039,1.0,23.4,12.95,85.0,36.7,D+,Lineup unconfirmed,,,,,,
6,2026-08-13,823508,2026-08-13T17:35:00Z,Scheduled,Yankee Stadium,Seattle Mariners @ New York Yankees,Home,671277,Luis García Jr.,New York Yankees,Seattle Mariners,1B,L,No,,111,403,384,107,22,5,24,51,78,18,0,63,0.279,0.31,0.549,0.859,9,36,34,7,1,0.206,0.0278,21,84,81,21,4,0.259,0.0476,587,122,8.9,28.5,55.6,21.7,22.1,11.4,25.8,55.7,27.0,6.8,4.1,6.8,45.5,84.8,12.8,0.6,73.3,96.9,115.4,46.3,14.9,15.1,60.3,47.9,Below Average,3.0,Pull Power,A,Excellent HR swing plane,47.9,Below Average,0.994,Good,11.5,64.5,96.5,0.591,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,44.66,20.66,Strong positive regression,Below Average Pull Power profile. 8.9% barrel rate; 84.8 mph average exit velocity; 25.8% air-ball rate; 55.7% pull-air rate; 6.8% HR-launch rate.,0.0596,0.0532,4.09,23,6,16.0,1.44,143.8,Above normal drought,669302,Logan Gilbert,R,LHB vs RHP,23,23,139.1,3.42,1.0,19,1.23,9.37,2.07,718,5.6,24.0,15.2,47.7,31.5,82.8,95.0,115.2,0.561,19,48.8,99.8,0.641,6.8,4-Seam Fastball,L,LHB vs RHP,49.6,336,0.297,0.327,0.594,0.921,21,15,51,0.0625,8.1,0.648,313,0.0351,4.4,0.549,5,5,2,2/5,0.4,0.4,0.4,0.8,0,0,0,48.7,Neutral Matchup,Average,46.9,5,Pitch-level Statcast · last 5 MLB games,475,4-Seam Fastball,40.421052631578945,192,Slider,31.789473684210527,151,Split-Finger,13.052631578947368,62,Sweeper,6.526315789473684,31.0,Changeup,4.631578947368421,22.0,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,0.998,0.981,61.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,49.6,41.4,48.8,68.1,64.4,45.0,54.4,6.61,0.876,1.021,1.025,1.03,0.994,1.024,1.035,20.05,12.87,83.7,38.6,D+,Lineup unconfirmed,Cutter,2.3157894736842106,11.0,Sinker,1.263157894736842,6.0
7,2026-08-13,823915,2026-08-14T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Milwaukee Brewers @ Los Angeles Dodgers,Home,660271,Shohei Ohtani,Los Angeles Dodgers,Milwaukee Brewers,TWP,L,No,,115,509,428,125,23,2,27,77,74,69,5,117,0.292,0.393,0.544,0.937,12,53,48,15,4,0.312,0.0755,23,103,93,27,5,0.29,0.0485,561,112,9.3,32.2,57.3,14.9,26.1,17.2,31.2,47.1,36.0,9.2,4.5,9.2,45.7,85.6,16.9,0.752,72.8,98.6,116.0,42.4,16.6,13.2,46.2,52.6,Average,3.0,Pull Power,A,Excellent HR swing plane,52.6,Average,1.007,Good,8.0,47.2,98.5,0.699,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,45.19,18.19,Strong positive regression,Average Pull Power profile. 9.3% barrel rate; 85.6 mph average exit velocity; 31.2% air-ball rate; 47.1% pull-air rate; 9.2% HR-launch rate.,0.053,0.049,4.25,0,0,15.9,0.0,0.0,Very recent HR,675660,Shane Drohan,L,LHB vs LHP,23,13,93.0,3.87,1.25,9,0.87,9.0,2.71,463,5.6,26.1,16.8,38.6,31.3,82.3,95.1,113.6,0.492,9,66.3,100.0,0.776,8.8,4-Seam Fastball,L,LHB vs LHP,49.5,165,0.299,0.36,0.578,0.938,11,12,39,0.0667,9.8,0.776,116,0.0,5.5,0.469,1,1,0,0/1,0.0,0.0,0.0,0.0,0,0,0,55.0,Neutral Matchup,Average,47.5,5,Pitch-level Statcast · last 5 MLB games,445,4-Seam Fastball,27.640449438202246,123,Slider,20.0,89,Sinker,19.10112359550562,85,Curveball,13.932584269662922,62.0,Cutter,13.258426966292134,59.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.033,0.981,63.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,49.5,33.3,66.3,59.9,50.0,45.0,54.0,6.5,1.117,0.963,0.985,1.03,1.007,1.037,0.98,19.24,12.95,85.0,36.9,D+,Lineup unconfirmed,Changeup,6.067415730337078,27.0,,,
8,2026-08-13,823829,2026-08-13T17:10:00Z,Scheduled,loanDepot park,Pittsburgh Pirates @ Miami Marlins,Home,665052,Griffin Conine,Miami Marlins,Pittsburgh Pirates,RF,L,No,,54,175,152,42,6,0,13,26,27,21,2,52,0.276,0.371,0.572,0.943,11,44,36,11,4,0.306,0.0909,24,84,73,21,8,0.288,0.0952,186,87,10.3,32.6,47.2,30.8,22.0,15.2,28.0,46.1,34.4,11.1,7.1,11.1,67.8,85.5,16.4,0.845,71.9,98.3,115.0,42.6,13.2,11.3,44.4,54.7,Average,3.0,Pull Power,A,Excellent HR swing plane,54.7,Average,1.013,Good,11.5,37.0,98.5,0.883,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,16.5,3.5,Positive regression,Average Pull Power profile. 10.3% barrel rate; 85.5 mph average exit velocity; 28.0% air-ball rate; 46.1% pull-air rate; 11.1% HR-launch rate.,0.0743,0.0571,4.17,0,0,11.7,0.0,0.0,Very recent HR,677952,Braxton Ashcraft,R,LHB vs RHP,23,23,132.1,4.08,1.16,19,1.29,9.86,2.18,712,3.9,25.7,13.2,36.8,25.7,83.8,95.6,113.1,0.517,19,64.6,100.0,0.783,7.6,4-Seam Fastball,L,LHB vs RHP,66.2,142,0.282,0.373,0.613,0.986,12,17,44,0.0845,11.3,0.886,318,0.0409,4.6,0.592,0,0,0,0/0,,,,,0,0,0,62.4,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,416,4-Seam Fastball,34.375,143,Curveball,27.884615384615383,116,Slider,23.076923076923077,96,Sinker,10.817307692307692,45.0,Split-Finger,3.8461538461538463,16.0,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.029,0.964,67.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,66.2,27.2,64.6,58.1,39.2,45.0,52.6,6.12,1.251,1.03,1.025,1.03,1.013,1.044,0.98,21.74,15.4,71.2,39.0,D+,Lineup unconfirmed,,,,,,
9,2026-08-13,823915,2026-08-14T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Milwaukee Brewers @ Los Angeles Dodgers,Away,641343,Jake Bauers,Milwaukee Brewers,Los Angeles Dodgers,1B,L,No,,108,430,365,98,17,2,21,69,67,60,3,109,0.268,0.374,0.499,0.873,10,44,35,10,3,0.286,0.0682,21,84,70,19,3,0.271,0.0357,476,83,9.2,34.4,53.7,15.5,29.4,17.0,30.8,44.8,33.1,9.4,4.6,9.4,44.9,86.1,17.3,0.7,74.9,98.9,113.0,66.1,15.7,19.8,49.4,53.6,Average,3.0,Pull Power,A,Excellent HR swing plane,53.6,Average,1.01,Good,9.6,48.1,99.2,0.711,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,38.36,17.36,Strong positive regression,Average Pull Power profile. 9.2% barrel rate; 86.1 mph average exit velocity; 30.8% air-ball rate; 44.8% pull-air rate; 9.4% HR-launch rate.,0.0488,0.0452,4.15,11,3,17.4,0.63,63.3,Recently homered,808963,Roki Sasaki,R,LHB vs RHP,20,20,105.0,4.54,1.28,21,1.8,9.09,3.43,576,5.9,25.3,13.9,38.8,28.6,84.1,95.2,115.7,0.547,21,51.6,91.2,0.648,7.9,4-Seam Fastball,L,LHB vs RHP,51.3,324,0.274,0.383,0.504,0.886,17,46,86,0.0525,8.7,0.737,255,0.0392,4.9,0.529,2,2,0,0/2,0.0,0.0,0.0,0.0,0,0,1,50.1,Neutral Matchup,Average,45.0,5,Pitch-level Statcast · last 5 MLB games,442,4-Seam Fastball,38.914027149321264,172,Split-Finger,38.23529411764706,169,Slider,19.23076923076923,85,Forkball,3.6199095022624435,16.0,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.003,0.984,60.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,51.3,36.5,51.6,65.7,50.0,45.0,51.6,5.87,1.074,1.112,1.025,1.0,1.01,1.01,1.0,17.45,12.67,83.7,35.3,D,Lineup unconfirmed,,,,,,
10,2026-08-13,822696,2026-08-13T20:05:00Z,Scheduled,Nationals Park,Chicago Cubs @ Washington Nationals,Away,691718,Pete Crow-Armstrong,Chicago Cubs,Washington Nationals,CF,L,No,,121,538,458,130,24,7,27,86,73,65,11,145,0.284,0.384,0.544,0.928,12,58,48,13,3,0.271,0.0517,25,120,100,26,6,0.26,0.05,695,158,8.2,28.9,57.2,22.5,20.3,15.9,26.4,60.2,31.2,9.1,5.5,9.1,46.9,83.3,23.6,0.716,72.4,96.6,114.2,43.5,13.4,13.2,47.8,49.1,Average,3.0,Pull Power,A-,Elevated power plane,49.1,Average,0.997,Good,8.9,60.5,95.8,0.757,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,51.1,24.1,Strong positive regression,Average Pull Power profile. 8.2% barrel rate; 83.3 mph average exit velocity; 26.4% air-ball rate; 60.2% pull-air rate; 9.1% HR-launch rate.,0.0502,0.0469,4.31,6,1,17.0,0.35,35.4,Recently homered,676917,Cade Cavalli,R,LHB vs RHP,25,25,128.2,3.57,1.3,15,1.05,9.86,2.73,701,4.4,24.1,12.1,34.5,29.7,82.8,94.9,111.5,0.542,15,59.9,99.8,0.721,8.4,4-Seam Fastball,L,LHB vs RHP,49.7,361,0.275,0.369,0.56,0.929,20,43,95,0.0554,9.3,0.744,326,0.0307,3.5,0.52,2,2,1,1/2,0.5,0.5,0.5,1.0,0,0,1,53.5,Neutral Matchup,Average,50.9,5,Pitch-level Statcast · last 5 MLB games,473,4-Seam Fastball,29.386892177589854,139,Knuckle Curve,24.312896405919663,115,Sweeper,16.067653276955603,76,Cutter,14.587737843551798,69.0,Sinker,8.879492600422832,42.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.02,0.969,62.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,49.7,27.3,59.9,60.8,50.0,45.0,50.9,5.71,1.035,0.992,1.025,1.03,0.997,1.027,1.0,18.69,12.08,85.0,35.4,D,Lineup unconfirmed,Changeup,6.765327695560254,32.0,,,
