date,rank,gamePk,player,mlb player id,team,opponent,lineup spot,lineup samples,probable pitcher,probable pitcher id,pitcher hand,batter side,park,projected pa,recent start rate,usage factor,hand split available,total bases line,best more line,best more threshold,projected tb,median tb,floor tb,ceiling tb,iqr upper tb,edge,fair line,more probability,push probability,less probability,recommendation,model confidence,ai score,tier,p 0 tb,p 1 tb,p 2 tb,p 3 tb,p 4 plus tb,p 1+ tb,p 2+ tb,p 3+ tb,p 4+ tb,p 5+ tb,p 6+ tb,single probability,double probability,triple probability,hr probability,season pa,season hits,season doubles,season triples,season hr,season slg,recent games used,last 14 total bases,last 14 avg tb,last 7 avg tb,last 30 avg tb,starter contribution,bullpen contribution,park contribution,weather contribution,matchup context score,park factor,weather factor,weather note,temperature f,wind mph,humidity %,precip %,pitcher era,pitcher whip,pitcher h9,pitcher hr9,simulation count,model version,more 0.5 %,push 0.5 %,less 0.5 %,side 0.5,confidence 0.5 %,ai score 0.5,tier 0.5,more 1.0 %,push 1.0 %,less 1.0 %,side 1.0,confidence 1.0 %,ai score 1.0,tier 1.0,more 1.5 %,push 1.5 %,less 1.5 %,side 1.5,confidence 1.5 %,ai score 1.5,tier 1.5,more 2.0 %,push 2.0 %,less 2.0 %,side 2.0,confidence 2.0 %,ai score 2.0,tier 2.0,more 2.5 %,push 2.5 %,less 2.5 %,side 2.5,confidence 2.5 %,ai score 2.5,tier 2.5,more 3.0 %,push 3.0 %,less 3.0 %,side 3.0,confidence 3.0 %,ai score 3.0,tier 3.0,more 3.5 %,push 3.5 %,less 3.5 %,side 3.5,confidence 3.5 %,ai score 3.5,tier 3.5,more 4.0 %,push 4.0 %,less 4.0 %,side 4.0,confidence 4.0 %,ai score 4.0,tier 4.0,more 4.5 %,push 4.5 %,less 4.5 %,side 4.5,confidence 4.5 %,ai score 4.5,tier 4.5
2026-08-11,1,824970,Chandler Simpson,802415,TB,ATH,,0,TBD,,,L,Sutter Health Park,4.02,100.0,1.025,False,0.5,0.5,1+ TB,1.582,1.0,1.0,4.0,2.0,1.082,1.0,75.59,0.0,24.41,MORE,75.59,97,Diamond,24.41,32.38,22.12,10.42,10.67,75.59,43.21,21.09,10.67,4.87,1.85,23.41,3.88,0.69,1.63,440,124,12,6,0,0.363,30,"5,2,0,1,2,2,3,1,1,0,0,2,2,3",1.714,2.143,1.733,54.2,56.8,50.0,67.5,56.3,1.0,1.035,hot,92.8,11.9,24.0,0.0,0.0,0.0,0.0,0.0,10000,TB_V3_ADVANCED,75.59,0.0,24.41,MORE,75.59,97,Diamond,43.21,32.38,24.41,PASS,43.21,62,Pass,43.21,0.0,56.79,PASS,43.21,59,Pass,21.09,22.12,56.79,PASS,21.09,58,Pass,21.09,0.0,78.91,PASS,21.09,58,Pass,10.67,10.42,78.91,PASS,10.67,58,Pass,10.67,0.0,89.33,PASS,10.67,58,Pass,4.87,5.8,89.33,PASS,4.87,58,Pass,4.87,0.0,95.13,PASS,4.87,58,Pass
2026-08-11,2,825046,Jake McCarthy,664983,COL,AZ,,0,Mitch Bratt,683352,L,L,Chase Field,4.08,100.0,1.025,True,0.5,0.5,1+ TB,1.866,1.0,0.0,5.0,3.0,1.366,1.0,71.78,0.0,28.22,MORE,71.78,95,Diamond,28.22,25.81,17.17,8.9,19.9,71.78,45.97,28.8,19.9,10.65,4.94,16.96,5.57,0.86,3.64,399,113,25,7,13,0.518,30,"3,10,4,1,3,2,4,3,0,0,1,0,1,3",2.5,3.857,2.4,52.3,50.5,50.0,50.0,53.6,1.0,1.0,Indoor/retractable,,,,,3.9,1.52,7.81,1.3,10000,TB_V3_ADVANCED,71.78,0.0,28.22,MORE,71.78,95,Diamond,45.97,25.81,28.22,PASS,45.97,64,Pass,45.97,0.0,54.03,PASS,45.97,61,Pass,28.8,17.17,54.03,PASS,28.8,58,Pass,28.8,0.0,71.2,PASS,28.8,58,Pass,19.9,8.9,71.2,PASS,19.9,58,Pass,19.9,0.0,80.1,PASS,19.9,58,Pass,10.65,9.25,80.1,PASS,10.65,58,Pass,10.65,0.0,89.35,PASS,10.65,58,Pass
2026-08-11,3,823917,Freddie Freeman,518692,LAD,KC,,0,Michael Wacha,608379,R,L,UNIQLO Field at Dodger Stadium,4.0,100.0,1.025,True,0.5,0.5,1+ TB,1.594,1.0,0.0,4.0,2.0,1.094,1.0,71.26,0.0,28.74,MORE,71.26,92,Diamond,28.74,30.67,18.64,8.04,13.91,71.26,40.59,21.95,13.91,6.85,2.79,18.8,4.71,0.31,2.67,493,132,27,1,15,0.474,30,"1,0,0,1,1,1,1,3,3,1,2,1,3,3",1.5,0.714,1.533,48.5,53.7,50.0,50.0,48.3,1.0,1.0,Neutral,,,,,3.44,1.15,7.81,1.06,10000,TB_V3_ADVANCED,71.26,0.0,28.74,MORE,71.26,92,Diamond,40.59,30.67,28.74,PASS,40.59,62,Pass,40.59,0.0,59.41,PASS,40.59,59,Pass,21.95,18.64,59.41,PASS,21.95,58,Pass,21.95,0.0,78.05,PASS,21.95,58,Pass,13.91,8.04,78.05,PASS,13.91,58,Pass,13.91,0.0,86.09,PASS,13.91,58,Pass,6.85,7.06,86.09,PASS,6.85,58,Pass,6.85,0.0,93.15,PASS,6.85,58,Pass
2026-08-11,4,823019,Luis Arraez,650333,PHI,STL,,0,Andre Pallante,669467,R,L,Busch Stadium,4.08,100.0,1.025,True,0.5,0.5,1+ TB,1.547,1.0,0.0,4.0,2.0,1.047,1.0,70.45,0.0,29.55,MORE,70.45,91,Diamond,29.55,29.47,19.6,9.19,12.19,70.45,40.98,21.38,12.19,5.91,2.34,18.81,4.86,0.63,2.02,493,143,25,7,5,0.441,30,"0,2,0,3,4,3,0,1,0,4,1,1,3,2",1.714,1.714,1.6,49.2,50.2,47.9,67.5,44.5,0.995,1.035,hot,101.5,11.6,27.0,0.0,3.63,1.22,8.27,0.73,10000,TB_V3_ADVANCED,70.45,0.0,29.55,MORE,70.45,91,Diamond,40.98,29.47,29.55,PASS,40.98,62,Pass,40.98,0.0,59.02,PASS,40.98,58,Pass,21.38,19.6,59.02,PASS,21.38,58,Pass,21.38,0.0,78.62,PASS,21.38,58,Pass,12.19,9.19,78.62,PASS,12.19,58,Pass,12.19,0.0,87.81,PASS,12.19,58,Pass,5.91,6.28,87.81,PASS,5.91,58,Pass,5.91,0.0,94.09,PASS,5.91,58,Pass
2026-08-11,5,823832,Otto Lopez,672640,MIA,PIT,,0,Paul Skenes,694973,R,R,loanDepot park,4.06,100.0,1.025,True,0.5,0.5,1+ TB,1.584,1.0,0.0,4.0,2.0,1.084,1.0,70.4,0.0,29.6,MORE,70.4,91,Diamond,29.6,29.41,18.68,8.7,13.61,70.4,40.99,22.31,13.61,6.41,2.71,17.58,4.84,0.82,2.08,499,147,29,7,9,0.47,30,"2,2,0,1,0,3,1,2,0,0,2,0,5,0",1.286,1.286,1.8,46.2,50.1,35.3,50.0,43.9,0.965,1.0,Indoor/retractable,,,,,3.96,1.12,7.57,0.9,10000,TB_V3_ADVANCED,70.4,0.0,29.6,MORE,70.4,91,Diamond,40.99,29.41,29.6,PASS,40.99,62,Pass,40.99,0.0,59.01,PASS,40.99,59,Pass,22.31,18.68,59.01,PASS,22.31,58,Pass,22.31,0.0,77.69,PASS,22.31,58,Pass,13.61,8.7,77.69,PASS,13.61,58,Pass,13.61,0.0,86.39,PASS,13.61,58,Pass,6.41,7.2,86.39,PASS,6.41,58,Pass,6.41,0.0,93.59,PASS,6.41,58,Pass
2026-08-11,6,823917,Jac Caglianone,695506,KC,LAD,,0,Blake Snell,605483,L,L,UNIQLO Field at Dodger Stadium,4.02,100.0,1.025,True,0.5,0.5,1+ TB,1.773,1.0,0.0,4.0,3.0,1.273,1.0,70.15,0.0,29.85,MORE,70.15,92,Diamond,29.85,25.81,17.58,7.8,18.96,70.15,44.34,26.76,18.96,9.42,4.24,15.66,5.9,0.37,4.07,426,104,21,2,20,0.48,30,"1,12,3,1,1,2,2,4,0,5,2,0,0,0",2.357,3.143,1.933,78.1,47.6,50.0,50.0,75.1,1.0,1.0,Neutral,,,,,12.0,2.67,18.0,0.0,10000,TB_V3_ADVANCED,70.15,0.0,29.85,MORE,70.15,92,Diamond,44.34,25.81,29.85,PASS,44.34,64,Pass,44.34,0.0,55.66,PASS,44.34,60,Pass,26.76,17.58,55.66,PASS,26.76,58,Pass,26.76,0.0,73.24,PASS,26.76,58,Pass,18.96,7.8,73.24,PASS,18.96,58,Pass,18.96,0.0,81.04,PASS,18.96,58,Pass,9.42,9.54,81.04,PASS,9.42,58,Pass,9.42,0.0,90.58,PASS,9.42,58,Pass
2026-08-11,7,823917,Bobby Witt Jr.,677951,KC,LAD,,0,Blake Snell,605483,L,R,UNIQLO Field at Dodger Stadium,4.02,92.9,1.025,True,0.5,0.5,1+ TB,1.659,1.0,0.0,4.0,2.0,1.159,1.0,70.15,0.0,29.85,MORE,70.15,91,Diamond,29.85,27.44,18.69,8.54,15.48,70.15,42.71,24.02,15.48,7.32,3.61,17.03,5.81,0.37,2.89,439,111,24,1,13,0.45,30,"0,1,1,4,0,4,0,0,0,3,0,2,4,1",1.429,1.429,1.767,78.1,47.6,50.0,50.0,75.1,1.0,1.0,Neutral,,,,,12.0,2.67,18.0,0.0,10000,TB_V3_ADVANCED,70.15,0.0,29.85,MORE,70.15,91,Diamond,42.71,27.44,29.85,PASS,42.71,63,Pass,42.71,0.0,57.29,PASS,42.71,59,Pass,24.02,18.69,57.29,PASS,24.02,58,Pass,24.02,0.0,75.98,PASS,24.02,58,Pass,15.48,8.54,75.98,PASS,15.48,58,Pass,15.48,0.0,84.52,PASS,15.48,58,Pass,7.32,8.16,84.52,PASS,7.32,58,Pass,7.32,0.0,92.68,PASS,7.32,58,Pass
2026-08-11,8,824240,Steven Kwan,680757,CLE,DET,,0,Drew Anderson,623454,R,L,Comerica Park,4.09,100.0,1.025,True,0.5,0.5,1+ TB,1.469,1.0,0.0,4.0,2.0,0.969,1.0,69.96,0.0,30.04,MORE,69.96,90,Gold,30.04,32.53,18.42,7.54,11.47,69.96,37.43,19.01,11.47,5.49,2.1,19.57,3.67,0.42,1.84,445,100,14,2,2,0.329,30,"2,1,6,1,1,1,3,3,3,1,0,2,1,2",1.929,2.143,1.733,47.8,46.8,39.5,53.0,47.2,0.975,1.006,humid,76.5,5.6,86.0,40.0,4.01,1.29,8.29,1.2,10000,TB_V3_ADVANCED,69.96,0.0,30.04,MORE,69.96,90,Gold,37.43,32.53,30.04,PASS,37.43,61,Pass,37.43,0.0,62.57,PASS,37.43,58,Pass,19.01,18.42,62.57,PASS,19.01,58,Pass,19.01,0.0,80.99,PASS,19.01,58,Pass,11.47,7.54,80.99,PASS,11.47,58,Pass,11.47,0.0,88.53,PASS,11.47,58,Pass,5.49,5.98,88.53,PASS,5.49,58,Pass,5.49,0.0,94.51,PASS,5.49,58,Pass
2026-08-11,9,823832,Nick Gonzales,693304,PIT,MIA,,0,Eury Pérez,691587,R,R,loanDepot park,4.03,100.0,1.025,True,0.5,0.5,1+ TB,1.474,1.0,0.0,4.0,2.0,0.974,1.0,69.38,0.0,30.62,MORE,69.38,89,Gold,30.62,30.58,19.41,8.47,10.92,69.38,38.8,19.39,10.92,5.44,2.23,18.64,4.68,0.3,1.97,471,133,20,1,6,0.399,30,"0,2,3,2,1,0,0,0,0,2,3,1,2,2",1.286,1.143,1.7,42.3,48.3,35.3,50.0,41.6,0.965,1.0,Indoor/retractable,,,,,3.61,1.13,6.73,1.07,10000,TB_V3_ADVANCED,69.38,0.0,30.62,MORE,69.38,89,Gold,38.8,30.58,30.62,PASS,38.8,61,Pass,38.8,0.0,61.2,PASS,38.8,58,Pass,19.39,19.41,61.2,PASS,19.39,58,Pass,19.39,0.0,80.61,PASS,19.39,58,Pass,10.92,8.47,80.61,PASS,10.92,58,Pass,10.92,0.0,89.08,PASS,10.92,58,Pass,5.44,5.48,89.08,PASS,5.44,58,Pass,5.44,0.0,94.56,PASS,5.44,58,Pass
2026-08-11,10,824886,Mauricio Dubón,643289,ATL,NYM,,0,Nolan McLean,690997,R,R,Truist Park,3.99,92.9,1.025,True,0.5,0.5,1+ TB,1.524,1.0,0.0,4.0,2.0,1.024,1.0,69.27,0.0,30.73,MORE,69.27,89,Gold,30.73,29.74,18.87,7.95,12.71,69.27,39.53,20.66,12.71,6.16,2.36,17.5,4.71,0.39,2.46,456,113,23,2,10,0.404,30,"2,1,5,2,0,1,2,0,1,1,0,0,1,1",1.214,1.857,1.433,44.5,49.6,56.3,67.5,42.8,1.015,1.035,hot,92.1,9.1,42.0,30.0,3.51,1.16,7.16,0.96,10000,TB_V3_ADVANCED,69.27,0.0,30.73,MORE,69.27,89,Gold,39.53,29.74,30.73,PASS,39.53,62,Pass,39.53,0.0,60.47,PASS,39.53,58,Pass,20.66,18.87,60.47,PASS,20.66,58,Pass,20.66,0.0,79.34,PASS,20.66,58,Pass,12.71,7.95,79.34,PASS,12.71,58,Pass,12.71,0.0,87.29,PASS,12.71,58,Pass,6.16,6.55,87.29,PASS,6.16,58,Pass,6.16,0.0,93.84,PASS,6.16,58,Pass
2026-08-11,11,823997,Ezequiel Duran,677649,TEX,LAA,,0,Ryan Johnson,696270,R,R,Angel Stadium,4.02,100.0,1.025,True,0.5,0.5,1+ TB,1.724,1.0,0.0,4.0,3.0,1.224,1.0,69.19,0.0,30.81,MORE,69.19,91,Gold,30.81,26.13,17.4,7.81,17.85,69.19,43.06,25.66,17.85,9.05,4.29,15.06,5.61,0.53,3.78,414,102,22,3,13,0.451,30,"0,1,0,0,5,8,1,0,1,0,0,1,5,4",1.857,2.143,1.933,63.4,50.9,50.0,50.0,74.3,1.0,1.0,Neutral,79.7,9.2,62.0,1.0,7.11,1.6,9.95,2.31,10000,TB_V3_ADVANCED,69.19,0.0,30.81,MORE,69.19,91,Gold,43.06,26.13,30.81,PASS,43.06,63,Pass,43.06,0.0,56.94,PASS,43.06,60,Pass,25.66,17.4,56.94,PASS,25.66,58,Pass,25.66,0.0,74.34,PASS,25.66,58,Pass,17.85,7.81,74.34,PASS,17.85,58,Pass,17.85,0.0,82.15,PASS,17.85,58,Pass,9.05,8.8,82.15,PASS,9.05,58,Pass,9.05,0.0,90.95,PASS,9.05,58,Pass
2026-08-11,12,823997,Brandon Nimmo,607043,TEX,LAA,,0,Ryan Johnson,696270,R,L,Angel Stadium,4.01,100.0,1.025,True,0.5,0.5,1+ TB,1.711,1.0,0.0,4.0,3.0,1.211,1.0,69.11,0.0,30.89,MORE,69.11,90,Gold,30.89,26.48,17.17,7.77,17.69,69.11,42.63,25.46,17.69,8.83,4.24,15.82,5.53,0.58,3.63,473,117,27,4,13,0.447,30,"4,1,1,5,4,0,5,2,0,0,2,0,4,1",2.071,2.857,1.933,63.4,50.9,50.0,50.0,74.3,1.0,1.0,Neutral,79.7,9.2,62.0,1.0,7.11,1.6,9.95,2.31,10000,TB_V3_ADVANCED,69.11,0.0,30.89,MORE,69.11,90,Gold,42.63,26.48,30.89,PASS,42.63,63,Pass,42.63,0.0,57.37,PASS,42.63,60,Pass,25.46,17.17,57.37,PASS,25.46,58,Pass,25.46,0.0,74.54,PASS,25.46,58,Pass,17.69,7.77,74.54,PASS,17.69,58,Pass,17.69,0.0,82.31,PASS,17.69,58,Pass,8.83,8.86,82.31,PASS,8.83,58,Pass,8.83,0.0,91.17,PASS,8.83,58,Pass
2026-08-11,13,823186,Jung Hoo Lee,808982,SF,HOU,,0,Hunter Brown,686613,R,L,Oracle Park,4.05,100.0,1.025,True,0.5,0.5,1+ TB,1.6,1.0,0.0,4.0,2.0,1.1,1.0,68.81,0.0,31.19,MORE,68.81,89,Gold,31.19,27.91,18.22,7.95,14.73,68.81,40.9,22.68,14.73,7.21,3.32,15.95,5.44,0.53,2.71,437,122,26,4,8,0.44,30,"0,0,1,1,2,9,3,1,0,2,3,1,6,0",2.071,2.286,1.533,44.3,52.0,29.0,50.0,45.6,0.95,1.0,Neutral,64.6,13.2,75.0,1.0,3.53,1.24,6.29,1.07,10000,TB_V3_ADVANCED,68.81,0.0,31.19,MORE,68.81,89,Gold,40.9,27.91,31.19,PASS,40.9,62,Pass,40.9,0.0,59.1,PASS,40.9,59,Pass,22.68,18.22,59.1,PASS,22.68,58,Pass,22.68,0.0,77.32,PASS,22.68,58,Pass,14.73,7.95,77.32,PASS,14.73,58,Pass,14.73,0.0,85.27,PASS,14.73,58,Pass,7.21,7.52,85.27,PASS,7.21,58,Pass,7.21,0.0,92.79,PASS,7.21,58,Pass
2026-08-11,14,823019,Jordan Walker,691023,STL,PHI,,0,Cristopher Sánchez,650911,L,R,Busch Stadium,4.06,100.0,1.025,True,0.5,0.5,1+ TB,1.647,1.0,0.0,4.0,2.0,1.147,1.0,68.78,0.0,31.22,MORE,68.78,89,Gold,31.22,28.95,16.04,6.68,17.11,68.78,39.83,23.79,17.11,8.64,3.56,16.79,4.22,0.25,3.59,488,127,23,0,23,0.492,30,"2,4,1,2,2,2,1,1,1,0,0,0,3,0",1.357,2.0,1.633,48.8,51.0,47.9,67.5,44.5,0.995,1.035,hot,101.5,11.6,27.0,0.0,2.65,1.22,8.84,0.78,10000,TB_V3_ADVANCED,68.78,0.0,31.22,MORE,68.78,89,Gold,39.83,28.95,31.22,PASS,39.83,63,Pass,39.83,0.0,60.17,PASS,39.83,59,Pass,23.79,16.04,60.17,PASS,23.79,58,Pass,23.79,0.0,76.21,PASS,23.79,58,Pass,17.11,6.68,76.21,PASS,17.11,58,Pass,17.11,0.0,82.89,PASS,17.11,58,Pass,8.64,8.47,82.89,PASS,8.64,58,Pass,8.64,0.0,91.36,PASS,8.64,58,Pass
2026-08-11,15,823512,Cole Young,702284,SEA,NYY,,0,Ryan Weathers,677960,L,L,Yankee Stadium,4.05,100.0,1.025,True,0.5,0.5,1+ TB,1.566,1.0,0.0,4.0,2.0,1.066,1.0,68.7,0.0,31.3,MORE,68.7,89,Gold,31.3,30.08,16.85,6.89,14.88,68.7,38.62,21.77,14.88,7.28,2.93,17.35,3.45,0.64,3.01,477,115,15,3,14,0.41,30,"2,1,1,0,0,0,4,3,4,4,2,1,1,4",1.929,1.143,1.8,46.4,46.3,68.9,60.0,46.0,1.045,1.02,warm,89.3,4.1,41.0,13.0,3.79,1.22,8.48,1.26,10000,TB_V3_ADVANCED,68.7,0.0,31.3,MORE,68.7,89,Gold,38.62,30.08,31.3,PASS,38.62,62,Pass,38.62,0.0,61.38,PASS,38.62,58,Pass,21.77,16.85,61.38,PASS,21.77,58,Pass,21.77,0.0,78.23,PASS,21.77,58,Pass,14.88,6.89,78.23,PASS,14.88,58,Pass,14.88,0.0,85.12,PASS,14.88,58,Pass,7.28,7.6,85.12,PASS,7.28,58,Pass,7.28,0.0,92.72,PASS,7.28,58,Pass
2026-08-11,16,822778,Ceddanne Rafaela,678882,BOS,TOR,,0,Dylan Cease,656302,R,R,Rogers Centre,4.08,100.0,1.025,True,0.5,0.5,1+ TB,1.669,1.0,0.0,4.0,2.0,1.169,1.0,68.63,0.0,31.37,MORE,68.63,89,Gold,31.37,27.27,17.15,7.3,16.91,68.63,41.36,24.21,16.91,8.62,3.98,15.89,4.93,0.34,3.43,471,126,28,3,15,0.463,30,"0,1,2,2,0,2,5,8,6,3,3,1,4,1",2.714,1.714,2.333,37.7,49.5,50.0,50.0,31.9,1.0,1.0,Indoor/retractable,,,,,2.28,1.04,5.7,0.5,10000,TB_V3_ADVANCED,68.63,0.0,31.37,MORE,68.63,89,Gold,41.36,27.27,31.37,PASS,41.36,63,Pass,41.36,0.0,58.64,PASS,41.36,59,Pass,24.21,17.15,58.64,PASS,24.21,58,Pass,24.21,0.0,75.79,PASS,24.21,58,Pass,16.91,7.3,75.79,PASS,16.91,58,Pass,16.91,0.0,83.09,PASS,16.91,58,Pass,8.62,8.29,83.09,PASS,8.62,58,Pass,8.62,0.0,91.38,PASS,8.62,58,Pass
2026-08-11,17,824970,Jonathan Aranda,666018,TB,ATH,,0,TBD,,,L,Sutter Health Park,4.06,100.0,1.025,False,0.5,0.5,1+ TB,1.582,1.0,0.0,4.0,2.0,1.082,1.0,68.58,0.0,31.42,MORE,68.58,89,Gold,31.42,29.08,17.73,6.84,14.93,68.58,39.5,21.77,14.93,7.62,3.32,17.98,4.31,0.24,2.95,497,122,19,0,15,0.436,30,"1,1,5,1,1,5,1,0,1,2,2,1,1,0",1.571,2.143,1.533,54.2,56.8,50.0,67.5,56.3,1.0,1.035,hot,92.8,11.9,24.0,0.0,0.0,0.0,0.0,0.0,10000,TB_V3_ADVANCED,68.58,0.0,31.42,MORE,68.58,89,Gold,39.5,29.08,31.42,PASS,39.5,62,Pass,39.5,0.0,60.5,PASS,39.5,59,Pass,21.77,17.73,60.5,PASS,21.77,58,Pass,21.77,0.0,78.23,PASS,21.77,58,Pass,14.93,6.84,78.23,PASS,14.93,58,Pass,14.93,0.0,85.07,PASS,14.93,58,Pass,7.62,7.31,85.07,PASS,7.62,58,Pass,7.62,0.0,92.38,PASS,7.62,58,Pass
2026-08-11,18,825046,TJ Rumfield,681198,COL,AZ,,0,Mitch Bratt,683352,L,L,Chase Field,4.0,85.7,1.025,True,0.5,0.5,1+ TB,1.538,1.0,0.0,4.0,2.0,1.038,1.0,68.52,0.0,31.48,MORE,68.52,88,Gold,31.48,29.05,18.52,7.6,13.35,68.52,39.47,20.95,13.35,6.78,2.86,17.24,4.86,0.38,2.48,464,121,24,2,13,0.459,30,"0,2,3,0,2,0,2,3,1,1,0,1,0,3",1.286,1.286,1.333,52.3,50.5,50.0,50.0,53.6,1.0,1.0,Indoor/retractable,,,,,3.9,1.52,7.81,1.3,10000,TB_V3_ADVANCED,68.52,0.0,31.48,MORE,68.52,88,Gold,39.47,29.05,31.48,PASS,39.47,62,Pass,39.47,0.0,60.53,PASS,39.47,58,Pass,20.95,18.52,60.53,PASS,20.95,58,Pass,20.95,0.0,79.05,PASS,20.95,58,Pass,13.35,7.6,79.05,PASS,13.35,58,Pass,13.35,0.0,86.65,PASS,13.35,58,Pass,6.78,6.57,86.65,PASS,6.78,58,Pass,6.78,0.0,93.22,PASS,6.78,58,Pass
2026-08-11,19,822697,Nico Hoerner,663538,CHC,WSH,,0,TBD,,,R,Nationals Park,4.01,92.9,1.025,False,0.5,0.5,1+ TB,1.534,1.0,0.0,4.0,2.0,1.034,1.0,68.44,0.0,31.56,MORE,68.44,88,Gold,31.56,29.56,17.74,7.65,13.49,68.44,38.88,21.14,13.49,6.66,2.86,17.83,4.56,0.35,2.68,515,121,25,1,7,0.363,30,"3,1,0,0,4,5,0,1,5,0,3,0,1,7",2.143,1.857,1.7,52.2,53.6,50.0,45.5,53.3,1.0,0.991,"humid, rain risk",79.3,3.8,83.0,61.0,0.0,0.0,0.0,0.0,10000,TB_V3_ADVANCED,68.44,0.0,31.56,MORE,68.44,88,Gold,38.88,29.56,31.56,PASS,38.88,62,Pass,38.88,0.0,61.12,PASS,38.88,58,Pass,21.14,17.74,61.12,PASS,21.14,58,Pass,21.14,0.0,78.86,PASS,21.14,58,Pass,13.49,7.65,78.86,PASS,13.49,58,Pass,13.49,0.0,86.51,PASS,13.49,58,Pass,6.66,6.83,86.51,PASS,6.66,58,Pass,6.66,0.0,93.34,PASS,6.66,58,Pass
2026-08-11,20,823264,Jackson Merrill,701538,SD,MIL,,0,Kyle Harrison,690986,L,L,Petco Park,4.02,100.0,1.025,True,0.5,0.5,1+ TB,1.597,1.0,0.0,4.0,2.0,1.097,1.0,68.27,0.0,31.73,MORE,68.27,88,Gold,31.73,29.57,15.96,6.64,16.1,68.27,38.7,22.74,16.1,7.7,3.36,16.75,3.69,0.49,3.51,487,110,18,2,18,0.412,30,"5,4,3,2,0,3,1,5,2,0,1,1,3,5",2.5,2.571,2.267,39.1,46.2,29.0,50.0,37.0,0.95,1.0,Neutral,75.7,6.5,75.0,2.0,2.84,1.04,7.21,1.02,10000,TB_V3_ADVANCED,68.27,0.0,31.73,MORE,68.27,88,Gold,38.7,29.57,31.73,PASS,38.7,62,Pass,38.7,0.0,61.3,PASS,38.7,59,Pass,22.74,15.96,61.3,PASS,22.74,58,Pass,22.74,0.0,77.26,PASS,22.74,58,Pass,16.1,6.64,77.26,PASS,16.1,58,Pass,16.1,0.0,83.9,PASS,16.1,58,Pass,7.7,8.4,83.9,PASS,7.7,58,Pass,7.7,0.0,92.3,PASS,7.7,58,Pass
2026-08-11,21,824886,Bo Bichette,666182,NYM,ATL,,0,Martín Pérez,527048,L,R,Truist Park,4.06,92.9,1.025,True,0.5,0.5,1+ TB,1.522,1.0,0.0,4.0,2.0,1.022,1.0,68.21,0.0,31.79,MORE,68.21,88,Gold,31.79,28.73,18.84,7.47,13.17,68.21,39.48,20.64,13.17,6.32,2.63,17.0,4.7,0.29,2.74,511,124,19,1,11,0.378,30,"7,0,1,3,1,5,0,1,0,3,0,0,3,2",1.857,2.429,1.467,41.2,48.1,56.3,67.5,39.9,1.015,1.035,hot,92.1,9.1,42.0,30.0,3.14,1.15,6.73,0.99,10000,TB_V3_ADVANCED,68.21,0.0,31.79,MORE,68.21,88,Gold,39.48,28.73,31.79,PASS,39.48,62,Pass,39.48,0.0,60.52,PASS,39.48,58,Pass,20.64,18.84,60.52,PASS,20.64,58,Pass,20.64,0.0,79.36,PASS,20.64,58,Pass,13.17,7.47,79.36,PASS,13.17,58,Pass,13.17,0.0,86.83,PASS,13.17,58,Pass,6.32,6.85,86.83,PASS,6.32,58,Pass,6.32,0.0,93.68,PASS,6.32,58,Pass
2026-08-11,22,824970,Yandy Díaz,650490,TB,ATH,,0,TBD,,,R,Sutter Health Park,4.07,100.0,1.025,False,0.5,0.5,1+ TB,1.53,1.0,0.0,4.0,2.0,1.03,1.0,68.11,0.0,31.89,MORE,68.11,88,Gold,31.89,29.51,17.26,7.62,13.72,68.11,38.6,21.34,13.72,6.56,2.57,16.98,4.4,0.29,2.88,495,131,20,1,15,0.451,30,"4,0,0,3,0,0,2,2,2,4,0,0,3,0",1.429,1.286,1.467,54.2,56.8,50.0,67.5,56.3,1.0,1.035,hot,92.8,11.9,24.0,0.0,0.0,0.0,0.0,0.0,10000,TB_V3_ADVANCED,68.11,0.0,31.89,MORE,68.11,88,Gold,38.6,29.51,31.89,PASS,38.6,62,Pass,38.6,0.0,61.4,PASS,38.6,58,Pass,21.34,17.26,61.4,PASS,21.34,58,Pass,21.34,0.0,78.66,PASS,21.34,58,Pass,13.72,7.62,78.66,PASS,13.72,58,Pass,13.72,0.0,86.28,PASS,13.72,58,Pass,6.56,7.16,86.28,PASS,6.56,58,Pass,6.56,0.0,93.44,PASS,6.56,58,Pass
2026-08-11,23,823832,Jake Mangum,663968,PIT,MIA,,0,Eury Pérez,691587,R,S,loanDepot park,4.03,100.0,1.025,True,0.5,0.5,1+ TB,1.492,1.0,0.0,4.0,2.0,0.992,1.0,67.97,0.0,32.03,MORE,67.97,87,Gold,32.03,29.26,18.31,8.13,12.27,67.97,38.71,20.4,12.27,5.95,2.52,17.71,4.53,0.36,2.29,349,96,14,1,4,0.391,30,"5,5,0,2,0,1,1,0,2,5,1,3,1,1",1.929,2.0,1.7,42.3,48.3,35.3,50.0,41.6,0.965,1.0,Indoor/retractable,,,,,3.61,1.13,6.73,1.07,10000,TB_V3_ADVANCED,67.97,0.0,32.03,MORE,67.97,87,Gold,38.71,29.26,32.03,PASS,38.71,62,Pass,38.71,0.0,61.29,PASS,38.71,58,Pass,20.4,18.31,61.29,PASS,20.4,58,Pass,20.4,0.0,79.6,PASS,20.4,58,Pass,12.27,8.13,79.6,PASS,12.27,58,Pass,12.27,0.0,87.73,PASS,12.27,58,Pass,5.95,6.32,87.73,PASS,5.95,58,Pass,5.95,0.0,94.05,PASS,5.95,58,Pass
