Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-07-26,824572,2026-07-26T18:10:00Z,Pre-Game,Rate Field,Houston Astros @ Chicago White Sox,Away,670541,Yordan Alvarez,Houston Astros,Chicago White Sox,DH,L,Yes,2.0,104,455,379,123,20,0,34,72,77,68,5,78,0.325,0.431,0.646,1.077,8,35,30,12,3,0.4,0.0857,21,94,80,29,9,0.362,0.0957,23,23,17.4,43.5,70.6,11.8,17.6,21.7,34.8,62.5,30.4,13.0,8.7,13.0,75.0,90.4,20.9,0.977,74.7,67.0,Above Average,3.5,Pull Power,A-,Elevated power plane,67.0,Above Average,1.048,Good,3.5,-30.5,Strong negative regression,Above Average Pull Power profile. 17.4% barrel rate; 90.4 mph average exit velocity; 34.8% air-ball rate; 62.5% pull-air rate; 13.0% HR-launch rate.,0.0747,0.0658,4.65,7,2,11.1,0.63,62.8,Recently homered,607200,Erick Fedde,R,LHB vs RHP,20,10,93.0,4.16,1.4,16,1.55,6.39,3.39,1.148,1.072,1.025,1.08,1.048,1.131,1.0,27.13,36.8,95.0,78.2,A-,Good
2,2026-07-26,823354,2026-07-26T17:35:00Z,Pre-Game,PNC Park,Chicago Cubs @ Pittsburgh Pirates,Home,699013,Esmerlyn Valdez,Pittsburgh Pirates,Chicago Cubs,RF,R,Yes,4.0,36,139,120,34,7,1,13,24,34,18,0,53,0.283,0.374,0.683,1.057,8,34,26,5,3,0.192,0.0882,23,100,83,27,10,0.325,0.1,16,16,12.5,18.8,83.3,0.0,16.7,6.2,18.8,66.7,31.2,6.2,0.0,6.2,50.0,81.5,7.1,1.27,73.1,39.9,Below Average,2.5,Pull Power,C,Low line-drive plane,39.9,Below Average,0.972,Small Statcast sample,1.51,-11.49,Strong negative regression,Below Average Pull Power profile. 12.5% barrel rate; 81.5 mph average exit velocity; 18.8% air-ball rate; 66.7% pull-air rate; 6.2% HR-launch rate.,0.0935,0.065,4.42,12,4,9.2,1.3,130.0,Near normal interval,592791,Jameson Taillon,R,RHB vs RHP,14,14,72.0,5.38,1.32,22,2.75,8.13,3.13,1.175,1.2,0.985,1.08,0.972,1.049,1.0,25.71,35.61,81.9,77.0,B+,Good
3,2026-07-26,823755,2026-07-26T18:10:00Z,Pre-Game,American Family Field,Colorado Rockies @ Milwaukee Brewers,Away,696100,Hunter Goodman,Colorado Rockies,Milwaukee Brewers,C,R,Yes,3.0,97,405,363,94,16,0,31,64,60,36,4,131,0.259,0.331,0.559,0.89,7,29,25,8,4,0.32,0.1379,21,86,75,25,9,0.333,0.1047,26,26,7.7,26.9,58.3,8.3,33.3,23.1,30.8,62.5,26.9,7.7,3.8,7.7,100.0,81.6,23.4,0.817,74.9,35.7,Below Average,2.5,Pull Power,A-,Elevated power plane,35.7,Below Average,0.96,Good,1.74,-29.26,Strong negative regression,Below Average Pull Power profile. 7.7% barrel rate; 81.6 mph average exit velocity; 30.8% air-ball rate; 62.5% pull-air rate; 7.7% HR-launch rate.,0.0765,0.0664,4.55,9,3,11.7,0.77,76.9,Recently homered,694819,Jacob Misiorowski,R,RHB vs RHP,19,19,115.0,1.57,0.77,9,0.7,13.54,2.19,1.341,0.936,0.985,1.03,0.96,0.989,1.0,26.83,31.95,95.0,68.1,B,Good
4,2026-07-26,823840,2026-07-26T17:40:00Z,Pre-Game,loanDepot park,San Diego Padres @ Miami Marlins,Away,664034,Ty France,San Diego Padres,Miami Marlins,1B,R,Yes,4.0,79,269,244,69,13,2,16,31,46,13,8,64,0.283,0.336,0.549,0.885,9,40,38,14,5,0.368,0.125,21,89,79,27,6,0.342,0.0674,35,35,8.6,37.1,57.9,15.8,26.3,17.1,37.1,61.5,37.1,8.6,8.6,8.6,66.7,87.4,17.6,0.698,69.7,48.0,Average,3.0,Pull Power,A,Excellent HR swing plane,48.0,Average,0.994,Good,2.85,-13.15,Strong negative regression,Average Pull Power profile. 8.6% barrel rate; 87.4 mph average exit velocity; 37.1% air-ball rate; 61.5% pull-air rate; 8.6% HR-launch rate.,0.0595,0.051,4.48,8,2,15.2,0.52,52.5,Recently homered,676083,Janson Junk,R,RHB vs RHP,13,13,69.0,5.09,1.35,11,1.43,6.65,2.61,1.322,1.052,0.985,1.03,0.994,1.024,1.0,20.91,28.3,90.3,61.4,B-,Good
5,2026-07-26,822706,2026-07-26T17:35:00Z,Pre-Game,Nationals Park,Arizona Diamondbacks @ Washington Nationals,Home,682928,CJ Abrams,Washington Nationals,Arizona Diamondbacks,SS,L,Yes,4.0,101,431,379,111,21,2,25,64,79,36,10,92,0.293,0.364,0.557,0.921,8,36,34,16,5,0.471,0.1389,21,94,85,28,8,0.329,0.0851,28,28,14.3,28.6,52.9,29.4,17.6,14.3,28.6,75.0,39.3,14.3,14.3,14.3,100.0,84.2,17.8,0.807,70.9,59.3,Average,3.5,Pull Power,A,Excellent HR swing plane,59.3,Average,1.026,Good,3.4,-21.6,Strong negative regression,Average Pull Power profile. 14.3% barrel rate; 84.2 mph average exit velocity; 28.6% air-ball rate; 75.0% pull-air rate; 14.3% HR-launch rate.,0.058,0.0523,4.42,0,0,15.2,0.0,0.0,Very recent HR,684442,Kohl Drake,L,LHB vs LHP,1,1,5.0,1.8,1.2,0,0.0,9.0,3.6,1.35,1.0,0.985,1.03,1.026,1.057,0.98,21.15,28.16,95.0,62.4,B-,Good
6,2026-07-26,823678,2026-07-26T18:10:00Z,Pre-Game,Target Field,Athletics @ Minnesota Twins,Home,680777,Ryan Jeffers,Minnesota Twins,Athletics,C,R,Yes,3.0,45,181,152,43,9,1,9,29,32,26,1,30,0.283,0.389,0.533,0.922,6,24,22,5,2,0.227,0.0833,8,33,30,7,2,0.233,0.0606,19,19,5.3,26.3,44.4,22.2,33.3,10.5,15.8,66.7,26.3,5.3,5.3,5.3,100.0,82.4,21.1,0.634,69.1,30.3,Weak,2.0,Pull Power,A-,Elevated power plane,30.3,Weak,0.945,Small Statcast sample,0.99,-8.01,Strong negative regression,Weak Pull Power profile. 5.3% barrel rate; 82.4 mph average exit velocity; 15.8% air-ball rate; 66.7% pull-air rate; 5.3% HR-launch rate.,0.0497,0.0427,4.49,9,2,16.9,0.53,53.3,Recently homered,605488,Jeffrey Springs,L,RHB vs LHP,20,20,102.2,5.96,1.42,27,2.37,7.54,3.33,1.286,1.2,1.025,1.03,0.945,0.973,1.0,17.78,26.28,79.6,57.3,C+,Good
7,2026-07-26,823599,2026-07-26T17:40:00Z,Pre-Game,Citi Field,Los Angeles Dodgers @ New York Mets,Away,571970,Max Muncy,Los Angeles Dodgers,New York Mets,3B,L,Yes,4.0,96,363,317,82,16,1,20,58,47,43,3,87,0.259,0.353,0.505,0.858,7,27,24,6,3,0.25,0.1111,20,78,70,17,4,0.243,0.0513,17,17,11.8,17.6,60.0,30.0,10.0,23.5,29.4,60.0,17.6,11.8,5.9,11.8,100.0,86.2,30.2,0.552,70.2,43.4,Below Average,2.5,Pull Power,C+,High fly-ball plane,43.4,Below Average,0.982,Small Statcast sample,1.76,-18.24,Strong negative regression,Below Average Pull Power profile. 11.8% barrel rate; 86.2 mph average exit velocity; 29.4% air-ball rate; 60.0% pull-air rate; 11.8% HR-launch rate.,0.0551,0.0494,4.48,4,1,15.8,0.25,25.2,Very recent HR,642547,Freddy Peralta,R,LHB vs RHP,21,21,109.2,5.01,1.46,17,1.4,9.03,3.78,1.271,1.048,1.025,1.0,0.982,0.982,0.98,20.29,25.94,95.0,57.9,C+,Good
8,2026-07-26,823840,2026-07-26T17:40:00Z,Pre-Game,loanDepot park,San Diego Padres @ Miami Marlins,Away,592518,Manny Machado,San Diego Padres,Miami Marlins,3B,R,Yes,3.0,102,432,376,78,17,0,22,53,60,49,0,95,0.207,0.295,0.428,0.723,9,42,36,9,3,0.25,0.0714,24,105,91,25,8,0.275,0.0762,37,37,13.5,37.8,54.5,31.8,13.6,18.9,32.4,50.0,37.8,16.2,13.5,16.2,60.0,86.2,24.0,0.848,71.8,63.5,Above Average,3.5,Pull Power,A-,Elevated power plane,63.5,Above Average,1.038,Good,4.34,-17.66,Strong negative regression,Above Average Pull Power profile. 13.5% barrel rate; 86.2 mph average exit velocity; 32.4% air-ball rate; 50.0% pull-air rate; 16.2% HR-launch rate.,0.0509,0.0468,4.55,18,4,17.1,1.05,105.3,Near normal interval,676083,Janson Junk,R,RHB vs RHP,13,13,69.0,5.09,1.35,11,1.43,6.65,2.61,1.229,1.052,0.985,1.0,1.038,1.038,1.0,19.6,25.21,95.0,56.1,C+,Good
9,2026-07-26,823678,2026-07-26T18:10:00Z,Pre-Game,Target Field,Athletics @ Minnesota Twins,Home,621439,Byron Buxton,Minnesota Twins,Athletics,CF,R,Yes,2.0,80,355,324,87,16,1,25,57,45,24,5,87,0.269,0.327,0.556,0.883,5,20,18,4,0,0.222,0.0,9,35,30,6,0,0.2,0.0,21,21,4.8,42.9,50.0,28.6,21.4,9.5,33.3,42.9,47.6,9.5,4.8,9.5,0.0,88.6,16.8,0.635,72.8,41.5,Below Average,2.5,Pull Power,A,Excellent HR swing plane,41.5,Below Average,0.976,Good,1.14,-23.86,Strong negative regression,Below Average Pull Power profile. 4.8% barrel rate; 88.6 mph average exit velocity; 33.3% air-ball rate; 42.9% pull-air rate; 9.5% HR-launch rate.,0.0704,0.0607,4.59,44,12,13.0,3.4,339.5,Very long drought,605488,Jeffrey Springs,L,RHB vs LHP,20,20,102.2,5.96,1.42,27,2.37,7.54,3.33,0.758,1.2,1.025,1.03,0.976,1.005,1.06,24.99,24.85,91.8,64.1,B-,Good
10,2026-07-26,824810,2026-07-26T17:35:00Z,Pre-Game,Oriole Park at Camden Yards,Atlanta Braves @ Baltimore Orioles,Away,686948,Drake Baldwin,Atlanta Braves,Baltimore Orioles,C,L,Yes,1.0,81,361,315,86,6,0,20,58,56,38,7,77,0.273,0.363,0.483,0.846,9,42,36,15,5,0.417,0.119,24,108,92,27,6,0.293,0.0556,39,39,5.1,25.6,55.6,5.6,38.9,15.4,23.1,44.4,25.6,5.1,5.1,5.1,150.0,84.8,11.4,0.52,72.5,26.7,Weak,2.0,Pull Power,A,Excellent HR swing plane,26.7,Weak,0.935,Good,1.88,-18.12,Strong negative regression,Weak Pull Power profile. 5.1% barrel rate; 84.8 mph average exit velocity; 23.1% air-ball rate; 44.4% pull-air rate; 5.1% HR-launch rate.,0.0554,0.0496,4.75,4,1,15.8,0.25,25.4,Very recent HR,669358,Shane Baz,R,LHB vs RHP,20,20,117.2,4.05,1.37,9,0.69,8.03,3.21,1.286,0.934,1.025,1.0,0.935,0.935,0.98,21.45,23.91,95.0,54.5,C+,Good
11,2026-07-26,823354,2026-07-26T17:35:00Z,Pre-Game,PNC Park,Chicago Cubs @ Pittsburgh Pirates,Away,691718,Pete Crow-Armstrong,Chicago Cubs,Pittsburgh Pirates,CF,L,Yes,1.0,104,455,388,113,19,5,23,70,59,53,11,119,0.291,0.39,0.544,0.934,8,37,30,9,2,0.3,0.0541,22,101,78,24,6,0.308,0.0594,32,32,15.6,34.4,50.0,35.7,14.3,9.4,31.2,70.0,40.6,15.6,12.5,15.6,40.0,85.7,22.9,0.993,73.8,64.1,Above Average,3.5,Barrel Machine,A-,Elevated power plane,64.1,Above Average,1.039,Good,4.27,-18.73,Strong negative regression,Above Average Barrel Machine profile. 15.6% barrel rate; 85.7 mph average exit velocity; 31.2% air-ball rate; 70.0% pull-air rate; 15.6% HR-launch rate.,0.0505,0.0467,4.75,0,0,16.9,0.0,0.0,Very recent HR,677952,Braxton Ashcraft,R,LHB vs RHP,20,20,116.1,3.95,1.17,16,1.24,10.06,2.17,1.084,1.022,1.025,1.03,1.039,1.071,0.98,20.31,23.81,95.0,55.6,C+,Good
12,2026-07-26,822870,2026-07-26T18:35:00Z,Pre-Game,Globe Life Field,Seattle Mariners @ Texas Rangers,Home,694671,Wyatt Langford,Texas Rangers,Seattle Mariners,LF,R,No,,52,224,210,61,11,2,12,34,29,13,1,48,0.29,0.335,0.533,0.868,8,33,32,12,3,0.375,0.0909,12,51,48,16,4,0.333,0.0784,29,29,13.8,37.9,75.0,6.2,18.8,24.1,48.3,78.6,48.3,13.8,10.3,13.8,50.0,87.5,23.3,0.819,71.6,64.1,Above Average,3.5,Pull Power,A-,Elevated power plane,64.1,Above Average,1.039,Good,3.66,-8.34,Strong negative regression,Above Average Pull Power profile. 13.8% barrel rate; 87.5 mph average exit velocity; 48.3% air-ball rate; 78.6% pull-air rate; 13.8% HR-launch rate.,0.0536,0.046,4.09,4,1,17.5,0.23,22.9,Very recent HR,669302,Logan Gilbert,R,RHB vs RHP,20,20,120.0,3.38,0.98,15,1.13,9.68,1.88,1.341,1.005,0.985,1.03,1.039,1.071,0.98,17.54,23.74,72.1,51.4,C,Lineup unconfirmed
13,2026-07-26,822870,2026-07-26T18:35:00Z,Pre-Game,Globe Life Field,Seattle Mariners @ Texas Rangers,Home,592626,Joc Pederson,Texas Rangers,Seattle Mariners,DH,L,No,,93,314,271,68,10,2,17,41,36,36,3,70,0.251,0.342,0.491,0.833,5,20,20,9,2,0.45,0.1,17,61,57,15,5,0.263,0.082,19,19,5.3,31.6,45.5,18.2,36.4,26.3,47.4,44.4,42.1,0.0,0.0,0.0,100.0,86.9,28.7,0.712,70.0,32.0,Weak,2.5,Pull Power,C+,High fly-ball plane,32.0,Weak,0.95,Small Statcast sample,0.85,-16.15,Strong negative regression,Weak Pull Power profile. 5.3% barrel rate; 86.9 mph average exit velocity; 47.4% air-ball rate; 44.4% pull-air rate; 0.0% HR-launch rate.,0.0541,0.048,4.09,9,2,15.9,0.56,56.5,Recently homered,669302,Logan Gilbert,R,LHB vs RHP,20,20,120.0,3.38,0.98,15,1.13,9.68,1.88,1.35,1.005,1.025,1.0,0.95,0.95,1.0,18.23,23.5,79.3,51.4,C,Lineup unconfirmed
14,2026-07-26,824730,2026-07-26T17:35:00Z,Pre-Game,Fenway Park,Toronto Blue Jays @ Boston Red Sox,Home,575929,Willson Contreras,Boston Red Sox,Toronto Blue Jays,1B,R,Yes,4.0,96,396,337,98,18,2,22,52,66,39,17,99,0.291,0.389,0.552,0.941,8,32,25,9,2,0.36,0.0625,18,71,59,20,5,0.339,0.0704,22,22,9.1,36.4,36.4,36.4,27.3,18.2,40.9,44.4,40.9,9.1,4.5,9.1,50.0,86.1,20.7,0.804,75.6,42.4,Below Average,2.5,Pull Power,A-,Elevated power plane,42.4,Below Average,0.979,Good,1.74,-20.26,Strong negative regression,Below Average Pull Power profile. 9.1% barrel rate; 86.1 mph average exit velocity; 40.9% air-ball rate; 44.4% pull-air rate; 9.1% HR-launch rate.,0.0556,0.0501,4.42,16,5,15.3,1.04,104.5,Near normal interval,592332,Kevin Gausman,R,RHB vs RHP,21,21,115.2,4.51,1.28,15,1.17,9.1,2.65,1.128,1.011,0.985,1.03,0.979,1.008,1.0,20.31,22.74,94.7,55.4,C+,Good
