Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-08-26,823255,2026-08-26T20:10:00Z,Scheduled,Petco Park,Pittsburgh Pirates @ San Diego Padres,Away,665833,Oneil Cruz,Pittsburgh Pirates,San Diego Padres,CF,L,No,,71,310,273,71,10,1,17,49,52,34,3,109,0.26,0.348,0.491,0.839,7,27,23,5,3,0.217,0.1111,7,27,23,5,3,0.217,0.1111,313,27,10.3,29.3,57.8,23.6,17.8,10.8,21.7,58.0,27.8,7.6,5.9,7.6,56.7,83.7,11.0,0.907,75.6,97.7,117.3,62.5,13.1,12.1,34.7,52.6,Average,3.0,Pull Power,A,Excellent HR swing plane,52.6,Average,1.007,Good,11.1,75.0,92.2,1.065,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,26.45,9.45,Strong positive regression,Average Pull Power profile. 10.3% barrel rate; 83.7 mph average exit velocity; 21.7% air-ball rate; 58.0% pull-air rate; 7.6% HR-launch rate.,0.0548,0.0485,4.15,0,0,16.1,0.0,0.0,Very recent HR,681190.0,Randy Vásquez,R,LHB vs RHP,25,20,118.0,4.19,1.31,15,1.14,5.64,2.44,714.0,6.2,27.9,15.4,46.6,31.4,85.0,96.4,114.1,0.598,15.0,78.8,99.8,0.951,11.4,4-Seam Fastball,L,LHB vs RHP,55.2,213,0.246,0.352,0.481,0.833,12,28,68,0.0563,9.6,0.825,288,0.0278,5.4,0.59,8,4,3,3/4,0.75,0.875,0.75,1.625,0,4,0,64.4,Slight Hitter Advantage,Above average,60.0,5,Pitch-level Statcast · last 5 MLB games,384,Cutter,28.125,108.0,Sinker,25.0,96.0,4-Seam Fastball,24.739583333333332,95.0,Changeup,7.291666666666667,28.0,Slider,7.03125,27.0,Sweeper,5.46875,21.0,Curveball,2.34375,9.0,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.058,0.987,67.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,55.2,45.8,78.8,58.5,39.2,45.0,60.2,8.89,1.35,1.006,1.025,1.0,1.007,1.007,0.98,18.63,15.9,76.3,38.9,D+,Lineup unconfirmed
2,2026-08-26,824234,2026-08-26T17:10:00Z,Scheduled,Comerica Park,Tampa Bay Rays @ Detroit Tigers,Home,680664,Eduardo Valencia,Detroit Tigers,Tampa Bay Rays,DH,R,No,,24,72,70,23,6,0,6,12,17,1,1,21,0.329,0.347,0.671,1.018,9,29,29,7,2,0.241,0.069,18,59,58,18,4,0.31,0.0678,93,77,12.9,31.2,43.8,21.9,34.3,13.6,26.6,53.0,41.3,12.9,6.5,12.9,46.5,84.6,12.8,0.71,71.4,97.3,112.4,29.7,17.8,9.9,53.0,56.9,Average,3.5,Pull Power,A,Excellent HR swing plane,56.9,Average,1.019,Good,13.0,55.0,97.4,0.679,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,9.96,3.96,Positive regression,Average Pull Power profile. 12.9% barrel rate; 84.6 mph average exit velocity; 26.6% air-ball rate; 53.1% pull-air rate; 12.9% HR-launch rate.,0.0833,0.0512,4.17,18,6,11.7,1.54,154.3,Above normal drought,642547.0,Freddy Peralta,R,RHB vs RHP,26,26,135.0,5.33,1.46,22,1.47,8.6,3.6,798.0,3.5,22.6,14.2,45.6,30.5,81.8,93.5,114.7,0.511,22.0,86.7,85.8,0.967,15.4,4-Seam Fastball,R,RHB vs RHP,43.8,36,0.353,0.389,0.618,1.007,2,1,6,0.0556,13.0,0.613,216,0.0278,3.1,0.501,0,0,0,0/0,,,,,0,0,0,60.0,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,436,4-Seam Fastball,50.45871559633027,220.0,Changeup,29.81651376146789,130.0,Curveball,11.009174311926605,48.0,Sweeper,8.027522935779816,35.0,Slider,0.6880733944954128,3.0,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.073,0.96,65.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,43.8,30.4,86.7,73.2,50.0,45.0,58.4,8.08,1.134,1.059,0.985,1.08,1.019,1.101,1.035,19.7,16.38,61.9,44.0,C-,Small season sample; Lineup unconfirmed
3,2026-08-26,823255,2026-08-26T20:10:00Z,Scheduled,Petco Park,Pittsburgh Pirates @ San Diego Padres,Away,804668,Rafael Flores Jr.,Pittsburgh Pirates,San Diego Padres,C,R,No,,24,74,65,17,3,0,6,10,14,9,0,22,0.262,0.351,0.585,0.936,12,43,40,12,5,0.3,0.1163,16,55,50,13,5,0.26,0.0909,74,53,11.0,28.1,49.4,27.0,23.6,26.8,31.6,52.7,26.8,11.9,8.8,11.9,77.9,84.1,20.6,0.77,72.1,96.2,110.0,32.7,14.9,8.3,59.3,51.4,Average,3.0,Pull Power,A-,Elevated power plane,51.4,Average,1.004,Good,11.3,50.0,96.6,0.765,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,6.87,0.87,Near expected,Average Pull Power profile. 11.0% barrel rate; 84.1 mph average exit velocity; 31.6% air-ball rate; 52.7% pull-air rate; 11.9% HR-launch rate.,0.0811,0.0507,4.23,17,5,10.8,1.57,156.9,Above normal drought,681190.0,Randy Vásquez,R,RHB vs RHP,25,20,118.0,4.19,1.31,15,1.14,5.64,2.44,714.0,6.2,27.9,15.4,46.6,31.4,85.0,96.4,114.1,0.598,15.0,76.2,99.8,0.8,12.6,4-Seam Fastball,R,RHB vs RHP,55.2,30,0.286,0.333,0.714,1.048,3,2,8,0.1,11.4,0.87,212,0.033,7.1,0.608,0,0,0,0/0,,,,,0,0,0,61.5,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,384,Cutter,28.125,108.0,Sinker,25.0,96.0,4-Seam Fastball,24.739583333333332,95.0,Changeup,7.291666666666667,28.0,Slider,7.03125,27.0,Sweeper,5.46875,21.0,Curveball,2.34375,9.0,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.052,0.987,62.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,55.2,45.8,76.2,66.0,39.2,45.0,58.4,8.05,1.35,1.006,0.985,1.03,1.004,1.034,1.035,19.76,16.46,61.7,43.0,C-,Small season sample; Lineup unconfirmed
4,2026-08-26,823506,2026-08-26T23:05:00Z,Scheduled,Yankee Stadium,Houston Astros @ New York Yankees,Away,676369,Nelson Velázquez,Houston Astros,New York Yankees,LF,R,No,,38,90,80,16,4,0,4,10,13,7,1,27,0.2,0.267,0.4,0.667,2,3,3,0,0,0.0,0.0,7,12,11,2,0,0.182,0.0,100,9,8.7,37.0,49.2,29.5,21.3,19.7,37.3,52.7,31.6,7.5,6.6,7.5,50.7,86.6,20.2,0.732,73.7,98.4,110.2,53.2,21.5,15.2,57.0,55.5,Average,3.0,Pull Power,A-,Elevated power plane,55.5,Average,1.015,Good,22.2,40.0,100.0,0.656,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,7.76,3.76,Positive regression,Average Pull Power profile. 8.7% barrel rate; 86.6 mph average exit velocity; 37.3% air-ball rate; 52.7% pull-air rate; 7.5% HR-launch rate.,0.0444,0.0373,3.99,28,16,20.0,1.4,140.0,Above normal drought,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,R,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.0,1.0,61.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,82.7,64.4,45.0,57.8,7.83,1.0,1.0,1.0,1.0,1.015,1.015,1.035,14.09,11.45,49.4,28.5,F,Probable SP unavailable; Lineup unconfirmed
5,2026-08-26,822692,2026-08-26T22:45:00Z,Scheduled,Nationals Park,Colorado Rockies @ Washington Nationals,Home,665953,Andrés Chaparro,Washington Nationals,Colorado Rockies,1B,R,No,,60,150,127,30,10,0,8,26,32,18,5,34,0.236,0.353,0.504,0.857,9,29,25,7,2,0.28,0.069,21,61,51,13,3,0.255,0.0492,174,72,8.5,34.2,50.2,32.1,17.6,15.7,23.7,53.3,26.6,8.8,6.3,8.8,52.2,85.0,19.7,0.61,72.0,98.3,112.1,44.5,14.9,16.1,51.4,50.8,Average,3.0,Pull Power,A,Excellent HR swing plane,50.8,Average,1.002,Good,8.3,46.7,98.8,0.51,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,13.18,5.18,Strong positive regression,Average Pull Power profile. 8.5% barrel rate; 85.0 mph average exit velocity; 23.7% air-ball rate; 53.3% pull-air rate; 8.8% HR-launch rate.,0.0533,0.0439,4.09,11,4,15.9,0.69,69.3,Recently homered,685299.0,Tanner Gordon,R,RHB vs RHP,18,6,76.2,5.75,1.49,16,1.88,7.51,1.76,461.0,5.9,27.8,20.0,41.7,33.0,84.5,96.1,113.3,0.594,16.0,79.9,99.3,0.893,11.9,4-Seam Fastball,R,RHB vs RHP,50.2,39,0.343,0.41,0.686,1.096,3,2,8,0.0769,9.3,0.594,143,0.028,6.6,0.586,2,2,1,1/2,0.5,0.5,0.5,1.0,0,0,0,60.7,Slight Hitter Advantage,Above average,50.9,5,Pitch-level Statcast · last 5 MLB games,286,4-Seam Fastball,53.84615384615385,154.0,Changeup,25.174825174825173,72.0,Slider,16.433566433566433,47.0,Curveball,4.545454545454546,13.0,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.06,0.984,60.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.2,40.8,79.9,60.7,50.0,45.0,57.2,7.57,1.148,1.125,0.985,1.0,1.002,1.002,1.0,16.76,13.96,67.6,34.9,D,Lineup unconfirmed
6,2026-08-26,824555,2026-08-26T23:40:00Z,Scheduled,Rate Field,Texas Rangers @ Chicago White Sox,Home,808959,Munetaka Murakami,Chicago White Sox,Texas Rangers,1B,L,No,,97,424,349,77,13,0,29,69,58,72,2,143,0.221,0.356,0.507,0.863,13,57,47,6,3,0.128,0.0526,27,120,103,18,7,0.175,0.0583,380,98,11.8,35.7,47.8,27.7,23.9,20.1,28.6,46.1,29.0,8.0,4.3,8.0,63.3,86.2,17.9,0.84,72.1,99.7,113.9,44.1,13.4,10.5,45.5,53.6,Average,3.0,Pull Power,A,Excellent HR swing plane,53.6,Average,1.01,Good,11.2,46.4,99.1,0.817,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,36.39,7.39,Strong positive regression,Average Pull Power profile. 11.8% barrel rate; 86.2 mph average exit velocity; 28.6% air-ball rate; 46.1% pull-air rate; 8.0% HR-launch rate.,0.0684,0.0604,4.09,28,7,12.0,2.33,232.7,Very long drought,669022.0,MacKenzie Gore,L,LHB vs LHP,27,27,145.2,4.26,1.23,18,1.11,9.95,3.21,835.0,5.3,23.1,12.8,40.9,28.9,81.7,94.1,115.7,0.529,18.0,82.8,100.0,0.942,13.4,4-Seam Fastball,L,LHB vs LHP,46.2,131,0.185,0.321,0.389,0.709,6,22,49,0.0458,8.6,0.781,157,0.0127,5.6,0.527,0,0,0,0/0,,,,,0,0,0,59.7,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,496,4-Seam Fastball,51.814516129032256,257.0,Changeup,18.548387096774192,92.0,Slider,12.096774193548388,60.0,Curveball,10.887096774193548,54.0,Sinker,5.645161290322581,28.0,Cutter,1.0080645161290323,5.0,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.066,0.978,62.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,46.2,33.6,82.8,67.5,50.0,45.0,57.1,7.54,0.966,1.002,0.985,1.0,1.01,1.01,1.06,22.48,14.83,85.0,46.0,C-,Lineup unconfirmed
7,2026-08-26,823506,2026-08-26T23:05:00Z,Scheduled,Yankee Stadium,Houston Astros @ New York Yankees,Away,670541,Yordan Alvarez,Houston Astros,New York Yankees,DH,L,No,,130,571,468,151,28,1,36,88,91,91,8,97,0.323,0.438,0.618,1.056,10,41,33,11,1,0.333,0.0244,24,107,84,27,2,0.321,0.0187,693,112,8.5,32.1,49.3,16.1,34.2,20.6,37.0,45.8,33.5,8.7,5.2,8.7,44.9,85.9,23.0,0.77,74.7,98.6,118.5,55.9,17.2,17.1,40.5,53.3,Average,3.0,Pull Power,A-,Elevated power plane,53.3,Average,1.009,Good,6.2,46.7,98.3,0.623,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,51.91,15.91,Strong positive regression,Average Pull Power profile. 8.5% barrel rate; 85.9 mph average exit velocity; 37.0% air-ball rate; 45.8% pull-air rate; 8.7% HR-launch rate.,0.063,0.0577,4.31,29,9,13.0,2.23,223.1,Very long drought,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.0,1.0,63.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,55.0,64.4,45.0,56.5,7.33,0.774,1.0,1.0,1.08,1.009,1.09,1.06,22.58,13.88,75.0,45.5,C-,Probable SP unavailable; Lineup unconfirmed
8,2026-08-26,823506,2026-08-26T23:05:00Z,Scheduled,Yankee Stadium,Houston Astros @ New York Yankees,Away,666211,Taylor Trammell,Houston Astros,New York Yankees,CF,L,No,,74,214,189,40,6,2,7,26,20,20,4,68,0.212,0.3,0.376,0.676,10,25,23,1,0,0.043,0.0,22,71,61,9,2,0.148,0.0282,226,74,8.8,23.6,55.5,22.9,21.6,15.9,24.1,54.1,27.5,6.8,4.0,6.8,33.9,81.4,16.3,0.61,73.5,94.4,113.3,62.3,9.1,12.2,45.2,43.5,Below Average,2.5,Pull Power,A,Excellent HR swing plane,43.5,Below Average,0.982,Good,9.5,60.0,93.4,0.593,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,15.85,8.85,Strong positive regression,Below Average Pull Power profile. 8.8% barrel rate; 81.4 mph average exit velocity; 24.1% air-ball rate; 54.1% pull-air rate; 6.8% HR-launch rate.,0.0327,0.0325,4.05,32,13,27.0,1.19,118.5,Near normal interval,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.0,1.0,59.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,57.4,64.4,45.0,55.1,6.84,0.833,1.0,1.0,1.0,0.982,0.982,1.0,12.51,8.77,63.0,25.2,F,Probable SP unavailable; Lineup unconfirmed
9,2026-08-26,823825,2026-08-26T22:40:00Z,Scheduled,loanDepot park,Boston Red Sox @ Miami Marlins,Home,665052,Griffin Conine,Miami Marlins,Boston Red Sox,RF,L,No,,66,217,189,49,6,0,14,30,31,25,3,67,0.259,0.355,0.513,0.868,12,42,37,7,1,0.189,0.0238,26,93,80,20,6,0.25,0.0645,228,79,9.2,32.5,51.6,29.2,19.2,15.5,29.8,53.7,32.3,10.0,6.8,10.0,71.8,86.3,19.5,0.819,72.1,99.1,115.0,40.7,13.0,10.6,49.9,55.3,Average,3.0,Pull Power,A,Excellent HR swing plane,55.3,Average,1.015,Good,10.1,50.0,100.6,0.852,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,19.09,5.09,Strong positive regression,Average Pull Power profile. 9.2% barrel rate; 86.3 mph average exit velocity; 29.8% air-ball rate; 53.7% pull-air rate; 10.0% HR-launch rate.,0.0645,0.0529,4.09,20,6,13.5,1.48,148.1,Above normal drought,543243.0,Sonny Gray,R,LHB vs RHP,24,24,138.2,2.79,1.16,15,0.97,7.98,2.34,668.0,4.6,25.9,13.6,46.1,27.2,83.5,95.8,111.1,0.488,15.0,58.1,99.9,0.741,6.5,Sinker,L,LHB vs RHP,60.0,172,0.281,0.39,0.61,0.999,14,24,52,0.0814,10.6,0.876,367,0.0272,4.9,0.509,0,0,0,0/0,,,,,0,0,0,57.3,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,462,Sweeper,22.51082251082251,104.0,Sinker,22.51082251082251,104.0,Curveball,17.748917748917748,82.0,4-Seam Fastball,16.666666666666668,77.0,Cutter,16.017316017316016,74.0,Changeup,4.545454545454546,21.0,,,,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.016,0.971,67.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,60.0,35.1,58.1,71.4,39.2,45.0,54.9,6.77,0.918,0.979,1.025,1.0,1.015,1.015,1.035,19.95,11.86,74.9,36.1,D+,Lineup unconfirmed
10,2026-08-26,822692,2026-08-26T22:45:00Z,Scheduled,Nationals Park,Colorado Rockies @ Washington Nationals,Home,694673,Abimelec Ortiz,Washington Nationals,Colorado Rockies,1B,L,No,,22,72,68,15,2,0,5,10,10,4,0,17,0.221,0.264,0.471,0.735,12,45,42,7,2,0.167,0.0444,21,70,66,14,5,0.212,0.0714,116,111,9.3,33.8,52.9,26.7,20.4,16.6,25.1,48.9,33.5,9.3,3.5,9.3,47.0,86.4,16.2,0.675,73.5,98.5,111.2,55.2,13.4,17.5,50.3,52.3,Average,3.0,Pull Power,A,Excellent HR swing plane,52.3,Average,1.006,Good,9.0,50.0,98.0,0.677,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,9.56,4.56,Strong positive regression,Average Pull Power profile. 9.3% barrel rate; 86.4 mph average exit velocity; 25.1% air-ball rate; 48.9% pull-air rate; 9.3% HR-launch rate.,0.0694,0.046,3.93,28,8,13.6,2.06,205.9,Very long drought,685299.0,Tanner Gordon,R,LHB vs RHP,18,6,76.2,5.75,1.49,16,1.88,7.51,1.76,461.0,5.9,27.8,20.0,41.7,33.0,84.5,96.1,113.3,0.594,16.0,55.8,91.2,0.709,6.9,4-Seam Fastball,L,LHB vs RHP,60.8,66,0.226,0.273,0.5,0.773,5,4,13,0.0758,9.9,0.684,195,0.0615,5.3,0.6,0,0,0,0/0,,,,,0,0,0,56.9,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,286,4-Seam Fastball,53.84615384615385,154.0,Changeup,25.174825174825173,72.0,Slider,16.433566433566433,47.0,Curveball,4.545454545454546,13.0,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.012,0.984,63.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,60.8,40.8,55.8,63.6,50.0,45.0,54.6,6.66,1.092,1.125,1.025,1.0,1.006,1.006,1.06,16.91,13.6,62.7,37.8,D+,Small season sample; Lineup unconfirmed
