Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Total,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Recent Pitch Mix Source,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count
1,2026-08-17,824320,2026-08-18T00:40:00Z,Scheduled,Coors Field,Los Angeles Dodgers @ Colorado Rockies,Away,660271,Shohei Ohtani,Los Angeles Dodgers,Colorado Rockies,TWP,L,No,,119,525,443,128,24,3,27,77,75,70,5,122,0.289,0.388,0.54,0.928,12,51,48,12,3,0.25,0.0588,26,115,104,30,5,0.288,0.0435,577,122,9.4,32.5,56.3,15.6,26.6,17.4,31.9,45.5,35.8,9.3,4.7,9.3,47.8,85.7,17.7,0.775,72.8,98.8,116.0,43.1,16.7,13.6,47.4,53.1,Average,3.0,Pull Power,A,Excellent HR swing plane,53.1,Average,1.009,Good,8.2,43.9,98.9,0.748,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,46.79,19.79,Strong positive regression,Average Pull Power profile. 9.4% barrel rate; 85.7 mph average exit velocity; 31.9% air-ball rate; 45.5% pull-air rate; 9.3% HR-launch rate.,0.0514,0.0478,4.31,15,4,16.4,0.91,91.4,Near normal interval,608372.0,Tomoyuki Sugano,R,LHB vs RHP,21,21,113.2,4.43,1.25,24,1.9,5.23,2.06,64.3,99.8,0.728,10.2,Split-Finger,L,LHB vs RHP,66.2,346,0.286,0.406,0.519,0.925,15,57,78,0.0434,9.9,0.777,257,0.0661,9.8,0.706,8,8,5,5/8,0.625,0.625,1.875,2.5,3,0,1,66.3,Slight Hitter Advantage,Above average,70.0,5,431,Unknown,,Unknown,,No,118.0,1.18,1.0,82.4,1.029,1.013,67.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,66.2,58.8,64.3,58.0,82.4,45.0,64.5,11.38,1.034,1.128,1.025,1.03,1.009,1.039,1.0,19.04,18.81,85.0,46.9,C-,Lineup unconfirmed,633.0,8.8,30.2,18.8,44.8,31.0,85.0,97.8,116.7,0.664,24.0,Pitch-level Statcast · last 5 MLB games,Split-Finger,25.52204176334107,110.0,Sinker,20.417633410672853,88.0,4-Seam Fastball,16.241299303944317,70.0,Cutter,15.777262180974478,68.0,Sweeper,9.048723897911833,39.0,Curveball,7.65661252900232,33.0,Slider,5.336426914153132,23.0
2,2026-08-17,823343,2026-08-17T23:05:00Z,Scheduled,PNC Park,Detroit Tigers @ Pittsburgh Pirates,Away,680664,Eduardo Valencia,Detroit Tigers,Pittsburgh Pirates,C,R,No,,19,56,54,21,6,0,6,12,17,1,1,15,0.389,0.411,0.833,1.244,8,24,23,7,2,0.304,0.0833,14,43,42,16,4,0.381,0.093,75,59,16.3,33.5,46.6,19.0,34.4,15.7,30.6,58.1,44.9,14.9,8.2,14.9,46.5,85.5,15.0,0.823,71.3,98.4,112.4,28.5,21.0,10.5,56.6,66.0,Above Average,3.5,Pull Power,A,Excellent HR swing plane,66.0,Above Average,1.045,Good,16.9,61.1,98.7,0.801,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,10.04,4.04,Strong positive regression,Above Average Pull Power profile. 16.3% barrel rate; 85.5 mph average exit velocity; 30.6% air-ball rate; 58.1% pull-air rate; 14.9% HR-launch rate.,0.1071,0.0559,4.31,2,1,9.0,0.22,22.2,Very recent HR,669387.0,Carmen Mlodzinski,R,RHB vs RHP,27,11,99.2,3.79,1.4,8,0.72,7.04,3.16,89.1,52.4,0.954,16.6,4-Seam Fastball,R,RHB vs RHP,43.4,29,0.407,0.448,0.741,1.189,2,1,4,0.069,16.2,0.695,169,0.0118,3.6,0.49,0,0,0,0/0,,,,,0,0,0,60.7,Slight Hitter Advantage,Above average,50.0,5,232,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.078,0.974,69.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,43.4,36.7,89.1,84.6,50.0,45.0,63.0,10.41,1.227,0.939,0.985,1.08,1.045,1.128,0.98,21.96,18.38,59.4,43.7,C-,Small season sample; Lineup unconfirmed,568.0,4.9,31.0,13.9,42.0,30.1,84.8,96.9,111.7,0.546,8.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,23.70689655172414,55.0,Sinker,22.844827586206897,53.0,Split-Finger,22.413793103448278,52.0,Sweeper,14.224137931034482,33.0,Cutter,10.344827586206897,24.0,Curveball,6.4655172413793105,15.0,,,
3,2026-08-17,824320,2026-08-18T00:40:00Z,Scheduled,Coors Field,Los Angeles Dodgers @ Colorado Rockies,Away,571970,Max Muncy,Los Angeles Dodgers,Colorado Rockies,3B,L,No,,115,430,377,94,18,1,24,64,60,49,4,111,0.249,0.342,0.493,0.835,12,40,36,7,3,0.194,0.075,25,90,81,17,6,0.21,0.0667,517,104,9.7,28.6,65.7,17.0,17.3,16.2,25.3,63.8,28.0,11.0,6.6,11.0,47.1,84.1,19.0,0.64,69.4,96.5,110.7,14.8,15.2,3.3,46.2,43.1,Below Average,2.5,Pull Power,A,Excellent HR swing plane,43.1,Below Average,0.981,Good,10.6,69.6,96.6,0.599,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,44.94,20.94,Strong positive regression,Below Average Pull Power profile. 9.7% barrel rate; 84.1 mph average exit velocity; 25.3% air-ball rate; 63.8% pull-air rate; 11.0% HR-launch rate.,0.0558,0.0506,4.15,0,0,15.7,0.0,0.0,Very recent HR,608372.0,Tomoyuki Sugano,R,LHB vs RHP,21,21,113.2,4.43,1.25,24,1.9,5.23,2.06,50.2,99.8,0.627,8.3,Split-Finger,L,LHB vs RHP,64.8,327,0.247,0.349,0.481,0.829,17,42,81,0.052,9.7,0.673,257,0.0661,9.8,0.706,4,4,2,2/4,0.5,0.5,1.5,2.0,1,0,1,58.7,Slight Hitter Advantage,Above average,60.0,5,431,Unknown,,Unknown,,No,118.0,1.18,1.0,82.4,1.0,1.013,63.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,64.8,58.8,50.2,66.3,82.4,45.0,61.5,9.56,1.163,1.128,1.025,1.0,0.981,0.981,0.98,19.39,18.17,84.2,43.6,C-,Lineup unconfirmed,633.0,8.8,30.2,18.8,44.8,31.0,85.0,97.8,116.7,0.664,24.0,Pitch-level Statcast · last 5 MLB games,Split-Finger,25.52204176334107,110.0,Sinker,20.417633410672853,88.0,4-Seam Fastball,16.241299303944317,70.0,Cutter,15.777262180974478,68.0,Sweeper,9.048723897911833,39.0,Curveball,7.65661252900232,33.0,Slider,5.336426914153132,23.0
4,2026-08-17,823427,2026-08-17T22:40:00Z,Scheduled,Citizens Bank Park,Miami Marlins @ Philadelphia Phillies,Home,656941,Kyle Schwarber,Philadelphia Phillies,Miami Marlins,DH,L,No,,119,531,441,109,15,1,37,72,72,80,6,180,0.247,0.368,0.537,0.905,12,57,46,12,4,0.261,0.0702,24,108,84,18,4,0.214,0.037,583,103,9.2,31.0,62.1,17.4,20.3,14.1,27.0,57.6,30.4,9.0,6.3,9.0,59.4,85.6,19.8,0.796,74.3,97.9,113.1,65.5,15.4,15.4,62.7,54.8,Average,3.0,Pull Power,A,Excellent HR swing plane,54.8,Average,1.013,Good,6.8,55.6,96.3,0.702,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,47.8,10.8,Strong positive regression,Average Pull Power profile. 9.2% barrel rate; 85.6 mph average exit velocity; 27.0% air-ball rate; 57.6% pull-air rate; 9.0% HR-launch rate.,0.0697,0.0627,4.17,9,2,11.9,0.76,75.5,Recently homered,676083.0,Janson Junk,R,LHB vs RHP,17,17,87.2,4.41,1.32,12,1.23,6.57,2.46,74.8,99.9,0.817,11.1,4-Seam Fastball,L,LHB vs RHP,58.5,332,0.23,0.353,0.529,0.883,25,52,120,0.0753,11.6,0.858,235,0.0255,3.7,0.529,2,2,0,0/2,0.0,0.0,0.0,0.0,0,0,1,61.5,Slight Hitter Advantage,Above average,45.0,5,362,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.05,0.965,65.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,58.5,34.1,74.8,57.2,64.4,45.0,57.4,7.64,0.952,1.021,1.025,1.03,1.013,1.044,1.0,23.67,16.16,85.0,41.6,D+,Lineup unconfirmed,546.0,4.0,23.8,11.7,48.7,27.7,82.8,95.0,114.2,0.502,12.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,41.71270718232044,151.0,Sweeper,15.193370165745856,55.0,Slider,15.193370165745856,55.0,Changeup,14.917127071823204,54.0,Curveball,7.18232044198895,26.0,Sinker,5.801104972375691,21.0,,,
5,2026-08-17,823668,2026-08-17T23:40:00Z,Scheduled,Target Field,Atlanta Braves @ Minnesota Twins,Away,621566,Matt Olson,Atlanta Braves,Minnesota Twins,1B,L,No,,124,541,481,127,30,0,36,88,77,54,3,136,0.264,0.34,0.551,0.891,12,50,45,11,5,0.244,0.1,27,115,102,26,10,0.255,0.087,748,151,9.4,28.6,48.7,24.3,26.8,16.5,26.0,46.2,33.2,9.8,6.0,9.8,54.7,84.9,22.3,0.755,72.8,97.4,111.7,45.8,14.5,14.0,46.8,50.1,Average,3.0,Pull Power,A-,Elevated power plane,50.1,Average,1.0,Good,10.6,42.5,96.3,0.808,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,60.1,24.1,Strong positive regression,Average Pull Power profile. 9.4% barrel rate; 84.9 mph average exit velocity; 26.0% air-ball rate; 46.2% pull-air rate; 9.8% HR-launch rate.,0.0665,0.0603,4.15,0,0,13.4,0.0,0.0,Very recent HR,641927.0,Bailey Ober,R,LHB vs RHP,18,18,99.0,4.64,1.23,17,1.55,6.09,2.27,62.4,100.0,0.747,8.3,Changeup,L,LHB vs RHP,64.8,309,0.263,0.35,0.57,0.92,22,36,77,0.0712,9.8,0.786,235,0.0511,7.2,0.578,2,2,2,2/2,1.0,1.0,3.0,4.0,1,0,0,62.0,Slight Hitter Advantage,Above average,55.0,5,430,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.025,0.992,63.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,64.8,48.3,62.4,56.9,50.0,45.0,57.2,7.56,1.225,1.072,1.025,1.03,1.0,1.03,0.98,22.74,17.79,85.0,44.0,C-,Lineup unconfirmed,566.0,6.7,24.7,17.5,54.5,28.4,83.0,95.7,115.5,0.567,17.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,35.348837209302324,152.0,Changeup,28.837209302325583,124.0,Slider,18.13953488372093,78.0,Sweeper,15.116279069767442,65.0,Sinker,1.8604651162790697,8.0,Curveball,0.6976744186046512,3.0,,,
6,2026-08-17,824077,2026-08-17T23:40:00Z,Scheduled,Kauffman Stadium,Athletics @ Kansas City Royals,Home,695506,Jac Caglianone,Kansas City Royals,Athletics,RF,L,No,,116,450,416,113,21,2,22,56,58,29,4,117,0.272,0.324,0.49,0.814,12,47,45,20,4,0.444,0.0851,24,93,89,28,7,0.315,0.0753,568,120,8.9,36.6,54.6,24.9,20.5,13.0,26.5,50.9,28.2,6.3,4.3,6.3,50.9,87.1,10.9,0.711,75.5,101.1,115.8,70.9,15.4,22.6,42.5,56.5,Average,3.5,Pull Power,A,Excellent HR swing plane,56.5,Average,1.018,Good,9.2,56.2,102.4,0.698,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,44.31,22.31,Strong positive regression,Average Pull Power profile. 8.9% barrel rate; 87.1 mph average exit velocity; 26.5% air-ball rate; 50.9% pull-air rate; 6.3% HR-launch rate.,0.0489,0.0453,4.09,6,2,18.9,0.32,31.7,Very recent HR,686930.0,Mason Barnett,R,LHB vs RHP,17,3,38.0,6.16,1.45,11,2.61,8.53,4.74,76.8,99.2,0.863,10.4,4-Seam Fastball,L,LHB vs RHP,54.4,310,0.281,0.345,0.509,0.854,15,27,76,0.0484,10.1,0.763,85,0.0588,3.8,0.466,2,2,0,0/2,0.0,0.0,0.0,0.0,0,0,0,60.3,Slight Hitter Advantage,Above average,45.0,5,300,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.054,0.976,66.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.4,29.6,76.8,74.8,50.0,45.0,57.1,7.55,1.312,1.131,1.025,1.0,1.018,1.018,0.98,17.28,15.83,84.4,39.6,D+,Lineup unconfirmed,214.0,5.1,19.6,18.2,33.3,29.0,81.6,94.1,111.2,0.576,11.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,53.0,159.0,Slider,15.333333333333334,46.0,Sweeper,13.333333333333334,40.0,Changeup,10.0,30.0,Curveball,8.333333333333334,25.0,,,,,,
7,2026-08-17,824641,2026-08-18T00:05:00Z,Scheduled,Wrigley Field,Chicago White Sox @ Chicago Cubs,Away,808959,Munetaka Murakami,Chicago White Sox,Chicago Cubs,1B,L,No,,88,383,315,74,13,0,28,64,57,65,2,128,0.235,0.368,0.543,0.911,12,52,44,8,4,0.182,0.0769,26,115,97,23,8,0.237,0.0696,346,96,12.8,37.0,48.5,26.8,23.3,21.6,32.7,45.9,32.1,8.4,4.7,8.4,59.7,86.5,19.5,0.861,72.2,99.9,113.9,41.2,16.1,10.6,44.5,56.1,Average,3.0,Pull Power,A,Excellent HR swing plane,56.1,Average,1.017,Good,13.5,47.2,99.5,0.872,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,35.74,7.74,Strong positive regression,Average Pull Power profile. 12.8% barrel rate; 86.5 mph average exit velocity; 32.7% air-ball rate; 45.9% pull-air rate; 8.4% HR-launch rate.,0.0731,0.0633,4.23,0,0,11.2,0.0,0.0,Very recent HR,684007.0,Shota Imanaga,L,LHB vs LHP,24,24,137.1,3.74,1.1,28,1.83,8.52,1.9,53.4,100.0,0.665,8.0,4-Seam Fastball,L,LHB vs LHP,55.8,121,0.19,0.322,0.38,0.702,5,20,46,0.0413,7.6,0.724,157,0.0637,7.5,0.589,0,0,0,0/0,,,,,0,0,0,53.8,Neutral Matchup,Average,50.0,5,459,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.007,0.984,66.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,55.8,40.6,53.4,74.2,50.0,45.0,56.1,7.17,1.065,1.117,0.985,1.03,1.017,1.048,0.98,24.16,16.65,85.0,42.5,C-,Lineup unconfirmed,747.0,5.9,22.0,16.9,46.9,27.4,81.4,94.1,112.4,0.551,28.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,39.21568627450981,180.0,Split-Finger,30.28322440087146,139.0,Sweeper,16.99346405228758,78.0,Sinker,6.753812636165577,31.0,Slider,4.357298474945534,20.0,Curveball,2.396514161220044,11.0,,,
8,2026-08-17,823427,2026-08-17T22:40:00Z,Scheduled,Citizens Bank Park,Miami Marlins @ Philadelphia Phillies,Away,665052,Griffin Conine,Miami Marlins,Philadelphia Phillies,RF,L,No,,58,186,161,44,6,0,13,26,29,22,3,56,0.273,0.371,0.553,0.924,12,43,35,10,3,0.286,0.0698,26,91,78,21,6,0.269,0.0659,199,94,9.6,33.1,50.4,30.0,19.6,15.5,29.5,51.3,35.2,10.3,6.9,10.3,67.8,86.3,17.1,0.842,72.2,99.0,115.0,42.8,13.6,11.1,45.8,56.4,Average,3.5,Pull Power,A,Excellent HR swing plane,56.4,Average,1.018,Good,9.6,45.2,99.6,0.853,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,17.02,4.02,Strong positive regression,Average Pull Power profile. 9.6% barrel rate; 86.3 mph average exit velocity; 29.5% air-ball rate; 51.3% pull-air rate; 10.3% HR-launch rate.,0.0699,0.055,4.23,9,4,12.4,0.73,72.7,Recently homered,650911.0,Cristopher Sánchez,L,LHB vs LHP,25,25,155.2,2.54,1.19,13,0.75,10.46,2.02,78.8,100.0,0.842,11.8,Sinker,L,LHB vs LHP,27.2,29,0.222,0.276,0.222,0.498,0,1,8,0.0,2.8,0.566,153,0.0065,1.8,0.375,2,2,0,0/2,0.0,0.0,0.0,0.0,0,0,1,48.8,Neutral Matchup,Average,45.0,5,486,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.058,0.969,58.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,27.2,33.3,78.8,63.6,64.4,45.0,55.9,7.12,1.095,0.944,0.985,1.03,1.018,1.048,1.0,21.29,15.05,72.6,38.4,D+,Lineup unconfirmed,732.0,4.4,27.9,9.8,42.8,26.4,83.7,96.3,112.7,0.513,13.0,Pitch-level Statcast · last 5 MLB games,Sinker,45.47325102880659,221.0,Changeup,30.864197530864196,150.0,Slider,23.662551440329217,115.0,,,,,,,,,,,,
9,2026-08-17,822939,2026-08-17T22:05:00Z,Scheduled,Tropicana Field,Baltimore Orioles @ Tampa Bay Rays,Home,691406,Junior Caminero,Tampa Bay Rays,Baltimore Orioles,3B,R,No,,123,538,468,128,18,1,35,77,79,66,2,101,0.274,0.364,0.541,0.905,11,50,44,8,3,0.182,0.06,26,115,101,25,6,0.248,0.0522,630,131,9.2,32.6,47.7,32.4,19.9,13.8,24.9,61.0,24.4,6.9,4.5,6.9,56.7,85.9,13.2,0.634,78.0,99.9,116.7,78.9,11.8,20.0,62.8,54.5,Average,3.0,Pull Power,A,Excellent HR swing plane,54.5,Average,1.013,Good,9.2,63.6,98.6,0.614,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,51.04,16.04,Strong positive regression,Average Pull Power profile. 9.2% barrel rate; 85.9 mph average exit velocity; 24.9% air-ball rate; 61.0% pull-air rate; 6.9% HR-launch rate.,0.0651,0.059,4.17,17,4,13.4,1.27,127.1,Near normal interval,687064.0,Brandon Young,R,RHB vs RHP,20,20,113.2,3.33,1.32,12,0.95,7.36,3.25,69.7,100.0,0.794,9.6,4-Seam Fastball,R,RHB vs RHP,51.0,394,0.268,0.343,0.55,0.892,28,40,79,0.0711,9.4,0.653,199,0.0251,4.2,0.539,0,0,0,0/0,,,,,0,0,0,57.3,Neutral Matchup,Average,50.0,5,485,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.039,0.964,64.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,51.0,31.8,69.7,67.1,50.0,45.0,55.3,6.92,0.983,0.976,0.985,1.03,1.013,1.043,1.0,22.41,13.77,85.0,40.1,D+,Lineup unconfirmed,646.0,3.9,25.5,14.2,45.0,30.7,83.2,95.3,114.0,0.502,12.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,35.4639175257732,172.0,Split-Finger,18.969072164948454,92.0,Slider,17.52577319587629,85.0,Sinker,15.670103092783505,76.0,Curveball,12.371134020618557,60.0,,,,,,
10,2026-08-17,823427,2026-08-17T22:40:00Z,Scheduled,Citizens Bank Park,Miami Marlins @ Philadelphia Phillies,Away,681715,Heriberto Hernández,Miami Marlins,Philadelphia Phillies,LF,R,No,,93,338,303,70,13,1,18,35,50,32,2,94,0.231,0.308,0.459,0.767,11,46,40,9,2,0.225,0.0435,24,101,92,21,5,0.228,0.0495,361,105,9.2,31.0,47.5,30.6,21.9,15.3,27.1,53.2,28.2,10.7,5.3,10.7,48.4,85.4,15.6,0.688,72.3,97.5,110.9,45.1,14.7,9.5,62.5,49.6,Average,3.0,Pull Power,A,Excellent HR swing plane,49.6,Average,0.999,Good,10.5,60.9,97.2,0.688,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,30.0,12.0,Strong positive regression,Average Pull Power profile. 9.2% barrel rate; 85.4 mph average exit velocity; 27.1% air-ball rate; 53.2% pull-air rate; 10.7% HR-launch rate.,0.0533,0.0477,4.05,0,0,16.8,0.0,0.0,Very recent HR,650911.0,Cristopher Sánchez,L,RHB vs LHP,25,25,155.2,2.54,1.19,13,0.75,10.46,2.02,62.3,100.0,0.751,8.1,Sinker,R,RHB vs LHP,58.0,113,0.25,0.327,0.57,0.897,9,11,27,0.0796,9.0,0.779,493,0.0243,5.1,0.552,9,8,3,3/8,0.375,0.444,0.5,0.944,0,1,2,58.2,Slight Hitter Advantage,Above average,51.3,5,486,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.025,0.969,62.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,58.0,33.3,62.3,67.3,64.4,45.0,54.9,6.77,0.987,0.944,1.025,1.0,0.999,0.999,0.98,17.95,11.82,84.1,32.4,D,Lineup unconfirmed,732.0,4.4,27.9,9.8,42.8,26.4,83.7,96.3,112.7,0.513,13.0,Pitch-level Statcast · last 5 MLB games,Sinker,45.47325102880659,221.0,Changeup,30.864197530864196,150.0,Slider,23.662551440329217,115.0,,,,,,,,,,,,
11,2026-08-17,822939,2026-08-17T22:05:00Z,Scheduled,Tropicana Field,Baltimore Orioles @ Tampa Bay Rays,Away,691723,Coby Mayo,Baltimore Orioles,Tampa Bay Rays,3B,R,No,,98,318,291,61,11,3,15,42,45,23,3,104,0.21,0.274,0.423,0.697,12,37,35,10,1,0.286,0.027,22,67,63,17,3,0.27,0.0448,384,79,8.5,31.4,53.7,23.2,23.2,17.5,29.8,52.2,34.5,8.3,4.3,8.3,45.5,84.3,22.8,0.668,73.9,98.1,114.5,53.3,16.4,14.3,44.9,51.1,Average,3.0,Pull Power,A-,Elevated power plane,51.1,Average,1.003,Good,8.9,46.4,96.5,0.721,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,28.41,13.41,Strong positive regression,Average Pull Power profile. 8.5% barrel rate; 84.3 mph average exit velocity; 29.8% air-ball rate; 52.2% pull-air rate; 8.3% HR-launch rate.,0.0472,0.043,3.99,28,10,19.4,1.44,144.3,Above normal drought,663556.0,Shane McClanahan,L,RHB vs LHP,20,20,99.0,3.09,1.12,7,0.64,8.27,3.18,65.9,100.0,0.735,10.7,4-Seam Fastball,R,RHB vs LHP,59.5,110,0.27,0.336,0.66,0.996,11,9,32,0.1,11.3,0.884,318,0.0157,4.8,0.52,2,2,1,1/2,0.5,0.5,0.5,1.0,0,0,0,60.0,Slight Hitter Advantage,Above average,50.9,5,361,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.032,0.975,66.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,59.5,33.8,65.9,57.1,50.0,45.0,54.9,6.76,0.926,0.926,1.025,1.0,1.003,1.003,1.035,16.09,10.4,80.1,31.7,D,Lineup unconfirmed,500.0,5.0,23.8,15.2,41.5,27.2,82.1,94.8,112.2,0.531,7.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,38.227146814404435,138.0,Changeup,32.40997229916898,117.0,Slider,15.512465373961218,56.0,Curveball,13.850415512465373,50.0,,,,,,,,,
