rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_passing_yards,model_std,preseason_expected_to_play,preseason_game_plan_role,preseason_game_plan_source,preseason_game_plan_note,preseason_rotation_factor,preseason_game_plan_factor,preseason_attempt_share,expected_pressure_rate,pressure_adjusted_ypa,clean_pocket_ypa,under_pressure_ypa,depth_matchup_short_0_4,depth_matchup_short_5_9,depth_matchup_intermediate_10_14,depth_matchup_intermediate_15_19,depth_matchup_deep_20_24,depth_matchup_deep_25_29,depth_matchup_deep_30_plus,game_script_volume_factor,game_script_efficiency_factor,game_script_label,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,pass_depth_game_sample,pass_depth_avg_hist_attempts,pass_depth_avg_longest_completion,opponent,home_away,game_id,game_date,game_name
1,2026,PRE,1,Preseason Week 1,00-0041453,Luke Altmyer,DET,ACT,0,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eriopmdwcfjude1cptvi",TEAM_BLEND,30.5,7.32,224.1,0,,,,,,,,,,,,,30.5,7.32,224.1,73.82865275455694,TEAM_PRIOR_NO_NFL_HISTORY,30.5,19.9,AUTO_PRESEASON_USAGE,rookie,145.4,54.0,True,GAME STARTER / BULK,USER WEEK 1 UPDATE,Starts and is projected for the larger share of the game. Share is inferred.,1.0,0.65,0.65,0.0,7.323,7.323,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,76.8,108.4,145.2,181.9,213.9,80.0,HIGH,74.0,HIGH,68.0,SOLID,61.3,SOLID,53.8,LEAN,46.5,COIN FLIP,39.6,LOW,32.5,LOW,26.1,LOW,20.2,VERY LOW,15.4,VERY LOW,11.5,VERY LOW,8.1,VERY LOW,5.7,VERY LOW,3.9,VERY LOW,2.7,VERY LOW,1.6,VERY LOW,1.1,VERY LOW,0.6,VERY LOW,0.3,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.2,79.5,72.4,56.0,38.9,TEAM_3_SEASON_GAME_BOOTSTRAP,2011,55,36.6,38.9,CIN,away,2026_PRE_W1_DET_CIN,,DET at CIN
2,2026,PRE,1,Preseason Week 1,00-0040743,Tyler Shough,NO,ACT,1,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wsrkib8qgwtb2t2ugaru",TEAM_BLEND,29.6,6.82,201.0,10,2025.0,263.2,238.4,238.4,238.4,,32.6,32.5,32.5,8.34,7.57,7.57,32.3,7.79,248.6,70.01199140775086,NFL_HISTORY,32.3,17.7,AUTO_PRESEASON_USAGE,starter_like,138.1,30.1,True,BULK ROTATION,USER WEEK 1 UPDATE,Expected to take a large share of the quarterback snaps. Share is inferred.,1.0,0.55,0.55,0.0,7.787,7.787,5.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,98.8,117.6,138.1,158.7,177.4,89.3,VERY HIGH,82.4,VERY HIGH,72.6,HIGH,60.6,SOLID,47.2,COIN FLIP,34.6,LOW,23.7,VERY LOW,15.0,VERY LOW,8.5,VERY LOW,4.6,VERY LOW,2.1,VERY LOW,1.0,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,75.2,74.3,69.1,33.2,28.9,16.6,QB_3_SEASON_GAME_BOOTSTRAP,359,11,32.6,26.7,JAX,home,2026_PRE_W1_JAX_NO,,JAX at NO
3,2026,PRE,1,Preseason Week 1,00-0041123,Behren Morton,NE,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st5s1urflg14hwvx8uzl",TEAM_BLEND,29.5,7.26,212.2,0,,,,,,,,,,,,,29.5,7.26,212.2,65.03672819925738,TEAM_PRIOR_NO_NFL_HISTORY,29.5,14.7,AUTO_PRESEASON_USAGE,rookie,107.0,42.4,True,SECOND HALF,USER WEEK 1 UPDATE,Projected to take over for the second half.,1.0,0.5,0.5,0.0,7.261,7.261,4.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,53.3,78.3,106.5,135.2,161.0,56.0,LEAN,46.4,COIN FLIP,37.2,LOW,28.9,LOW,21.6,VERY LOW,15.7,VERY LOW,10.3,VERY LOW,6.9,VERY LOW,4.1,VERY LOW,2.4,VERY LOW,1.4,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.3,79.7,71.2,56.2,42.0,31.3,TEAM_3_SEASON_GAME_BOOTSTRAP,1885,55,34.3,34.7,IND,home,2026_PRE_W1_IND_NE,,IND at NE
4,2026,PRE,1,Preseason Week 1,00-0041149,Haynes King,CAR,ACT,0,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcloyq4ahyh0hfzo6i0i",TEAM_BLEND,29.5,6.6,195.7,0,,,,,,,,,,,,,29.5,6.6,195.7,73.01381465694534,TEAM_PRIOR_NO_NFL_HISTORY,29.5,16.2,AUTO_PRESEASON_USAGE,rookie,107.0,50.0,True,BULK RELIEF,USER WEEK 1 UPDATE,Expected to take over after the starters. Share is inferred.,1.0,0.55,0.55,0.0,6.597,6.597,4.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,43.7,73.4,106.5,140.5,171.8,55.2,LEAN,47.3,COIN FLIP,39.6,LOW,31.8,LOW,25.3,LOW,19.4,VERY LOW,14.7,VERY LOW,10.7,VERY LOW,7.2,VERY LOW,4.7,VERY LOW,3.1,VERY LOW,2.0,VERY LOW,1.2,VERY LOW,0.7,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.4,77.7,67.9,55.1,37.0,25.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,52,35.2,32.2,BUF,away,2026_PRE_W1_CAR_BUF,,CAR at BUF
5,2026,PRE,1,Preseason Week 1,00-0029604,Kirk Cousins,LV,ACT,14,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmdqr7gju0dciapvdjcv",TEAM_BLEND,28.9,6.65,193.2,31,2025.0,207.6,180.4,206.3,188.0,250.6,32.2,27.9,29.1,6.29,6.28,6.24,30.2,6.32,204.6,89.79142068762833,NFL_HISTORY,30.2,16.6,AUTO_PRESEASON_USAGE,starter_like,104.8,38.6,True,STARTER / SIGNIFICANT REPS,USER WEEK 1 UPDATE,Expected to receive significant reps in the new system. Share is inferred.,1.0,0.55,0.55,0.0,6.318,6.318,4.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,54.7,78.3,104.8,130.5,154.4,54.9,LEAN,44.7,COIN FLIP,34.8,LOW,25.5,LOW,18.1,VERY LOW,12.0,VERY LOW,7.5,VERY LOW,4.5,VERY LOW,2.5,VERY LOW,1.2,VERY LOW,0.6,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.4,81.8,72.5,62.5,46.0,35.1,QB_3_SEASON_GAME_BOOTSTRAP,1094,32,34.2,37.0,ARI,home,2026_PRE_W1_ARI_LV,,ARI at LV
6,2026,PRE,1,Preseason Week 1,00-0034577,Kyle Allen,BUF,ACT,8,11.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vq3aw57yyjtydur0divt",TEAM_BLEND,29.1,7.09,208.5,0,,,,,,,,,,,,,29.1,7.09,208.5,74.83796907649861,TEAM_PRIOR_NO_NFL_HISTORY,29.1,14.6,AUTO_PRESEASON_USAGE,veteran_backup,103.2,42.5,True,BULK ROTATION,USER WEEK 1 UPDATE,Josh Allen sits; Kyle Allen expected to handle a large share of the game.,1.0,0.5,0.5,0.0,7.086,7.086,4.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,48.5,74.5,103.8,132.6,158.4,53.5,LEAN,44.3,COIN FLIP,35.5,LOW,26.8,LOW,19.7,VERY LOW,13.5,VERY LOW,9.4,VERY LOW,6.0,VERY LOW,3.6,VERY LOW,1.9,VERY LOW,1.2,VERY LOW,0.6,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.3,80.8,75.3,62.2,49.8,37.2,TEAM_3_SEASON_GAME_BOOTSTRAP,1924,58,33.2,39.7,CAR,home,2026_PRE_W1_CAR_BUF,,CAR at BUF
7,2026,PRE,1,Preseason Week 1,00-0040206,Riley Leonard,IND,ACT,1,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vzdcrhp4p5kjmuhn7yay",TEAM_BLEND,29.9,6.94,207.5,2,2025.0,207.5,207.5,207.5,207.5,,31.5,31.5,31.5,6.47,6.47,6.47,31.3,6.53,207.5,88.38834764831844,LIMITED_NFL_HISTORY,31.3,15.7,AUTO_PRESEASON_USAGE,starter_like,102.3,37.9,True,SECOND HALF,USER WEEK 1 UPDATE,Follows Anthony Richardson Sr. Half-game share is inferred.,1.0,0.5,0.5,0.0,6.526,6.526,4.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,53.0,76.3,102.4,127.6,151.2,52.8,LEAN,42.0,COIN FLIP,31.8,LOW,23.2,VERY LOW,16.2,VERY LOW,10.6,VERY LOW,6.2,VERY LOW,3.7,VERY LOW,2.3,VERY LOW,1.1,VERY LOW,0.5,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,33.5,31.8,30.6,27.5,22.3,13.9,QB_3_SEASON_GAME_BOOTSTRAP,70,5,14.0,19.0,NE,away,2026_PRE_W1_IND_NE,,IND at NE
8,2026,PRE,1,Preseason Week 1,00-0040211,Graham Mertz,HOU,ACT,1,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dkzhjatulzdzzvf5rpm3",TEAM_BLEND,29.7,6.74,200.6,0,,,,,,,,,,,,,29.7,6.74,200.6,69.37214936962758,TEAM_PRIOR_NO_NFL_HISTORY,29.7,14.8,AUTO_PRESEASON_USAGE,young_backup,100.0,42.8,True,SECOND HALF,USER WEEK 1 UPDATE,Takes over in the second half.,1.0,0.5,0.5,0.0,6.74,6.74,4.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,46.8,71.8,100.3,129.8,155.5,50.3,LEAN,41.5,COIN FLIP,32.5,LOW,24.9,VERY LOW,18.1,VERY LOW,12.6,VERY LOW,8.2,VERY LOW,5.0,VERY LOW,3.2,VERY LOW,2.0,VERY LOW,1.1,VERY LOW,0.6,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.3,80.8,74.2,60.6,45.1,32.5,TEAM_3_SEASON_GAME_BOOTSTRAP,2098,57,36.8,40.4,LAC,home,2026_PRE_W1_LAC_HOU,,LAC at HOU
9,2026,PRE,1,Preseason Week 1,00-0031503,Jameis Winston,NYG,ACT,11,19.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vwikoroqsyf8iemlrohb",TEAM_BLEND,29.3,6.62,196.3,12,2025.0,284.4,267.2,241.2,283.5,263.1,37.8,36.0,32.5,7.34,7.27,8.55,35.5,7.5,273.3,132.0960651382685,NFL_HISTORY,35.5,12.4,AUTO_PRESEASON_USAGE,starter_like,93.2,65.9,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.499,7.499,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,9.1,49.3,93.1,138.5,176.6,45.9,COIN FLIP,39.9,LOW,34.3,LOW,29.2,LOW,24.2,VERY LOW,19.7,VERY LOW,15.6,VERY LOW,12.0,VERY LOW,9.1,VERY LOW,6.9,VERY LOW,5.1,VERY LOW,3.7,VERY LOW,2.5,VERY LOW,1.9,VERY LOW,1.2,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,71.0,69.3,62.0,47.8,34.2,18.7,QB_3_SEASON_GAME_BOOTSTRAP,445,16,27.8,30.9,MIN,home,2026_PRE_W1_MIN_NYG,,MIN at NYG
10,2026,PRE,1,Preseason Week 1,00-0026158,Joe Flacco,CIN,ACT,18,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vbqptn8emdlbeaz1kvmx",TEAM_BLEND,31.9,6.81,219.1,22,2025.0,283.4,245.1,245.7,245.1,251.6,41.0,41.0,41.0,6.75,5.88,5.88,40.1,6.34,259.5,104.08212744389199,NFL_HISTORY,40.1,14.0,AUTO_PRESEASON_USAGE,starter_like,88.9,51.1,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,6.339,6.339,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,23.3,54.9,89.4,124.3,155.1,41.8,COIN FLIP,34.3,LOW,27.8,LOW,21.6,VERY LOW,16.3,VERY LOW,12.0,VERY LOW,8.3,VERY LOW,5.7,VERY LOW,3.9,VERY LOW,2.4,VERY LOW,1.5,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.3,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,77.8,74.7,64.4,46.5,32.8,23.0,QB_3_SEASON_GAME_BOOTSTRAP,966,25,38.6,35.0,DET,home,2026_PRE_W1_DET_CIN,,DET at CIN
11,2026,PRE,1,Preseason Week 1,00-0033077,Dak Prescott,DAL,ACT,10,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/blixemm3s9sa4gmqk5yn",TEAM_BLEND,30.7,6.8,210.8,42,2025.0,258.2,267.1,266.9,267.8,247.2,32.6,34.1,35.3,7.71,7.72,7.56,33.3,7.57,261.1,92.77721959812442,NFL_HISTORY,33.3,11.7,AUTO_PRESEASON_USAGE,starter_like,88.2,51.0,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.568,7.568,5.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,22.8,54.1,88.7,122.6,153.4,41.5,COIN FLIP,33.7,LOW,26.6,LOW,21.0,VERY LOW,15.6,VERY LOW,11.3,VERY LOW,8.1,VERY LOW,5.7,VERY LOW,3.9,VERY LOW,2.4,VERY LOW,1.4,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,81.2,77.5,68.6,52.5,39.4,27.6,QB_3_SEASON_GAME_BOOTSTRAP,1638,43,38.1,40.2,SEA,away,2026_PRE_W1_DAL_SEA,,DAL at SEA
12,2026,PRE,1,Preseason Week 1,00-0040691,Jaxson Dart,NYG,ACT,1,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n6uymxssgiicjmxkzxoc",TEAM_BLEND,29.3,6.62,196.3,12,2025.0,171.0,195.9,189.3,189.3,,27.0,27.9,28.2,5.85,6.78,6.53,27.7,6.34,183.3,74.96669476064694,NFL_HISTORY,27.7,13.8,AUTO_PRESEASON_USAGE,young_backup,87.8,43.1,True,SPLIT,USER WEEK 1 UPDATE,Expected to split quarterback reps.,1.0,0.5,0.5,0.0,6.338,6.338,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,32.8,58.7,88.5,117.6,143.9,39.6,LOW,30.8,LOW,23.2,VERY LOW,16.8,VERY LOW,11.7,VERY LOW,7.8,VERY LOW,5.0,VERY LOW,3.0,VERY LOW,1.6,VERY LOW,0.9,VERY LOW,0.5,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,81.9,79.0,68.8,46.3,35.1,26.2,QB_3_SEASON_GAME_BOOTSTRAP,376,12,31.3,30.2,MIN,home,2026_PRE_W1_MIN_NYG,,MIN at NYG
13,2026,PRE,1,Preseason Week 1,00-0036972,Mac Jones,SF,ACT,5,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/v5sg1z9qvdpjeapblndz",TEAM_BLEND,30.4,7.1,217.1,28,2025.0,249.2,255.0,245.6,268.9,185.1,32.0,34.3,36.1,7.75,7.47,7.48,33.2,7.54,244.3,73.71521822280535,NFL_HISTORY,33.2,11.6,AUTO_PRESEASON_USAGE,starter_like,87.6,42.2,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.539,7.539,5.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,33.5,59.8,88.4,116.6,141.7,39.2,LOW,30.6,LOW,22.4,VERY LOW,15.9,VERY LOW,10.8,VERY LOW,6.8,VERY LOW,4.4,VERY LOW,2.5,VERY LOW,1.4,VERY LOW,0.7,VERY LOW,0.3,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,78.4,68.3,57.0,38.1,23.3,17.5,QB_3_SEASON_GAME_BOOTSTRAP,958,30,31.9,31.2,TEN,home,2026_PRE_W1_TEN_SF,,TEN at SF
14,2026,PRE,1,Preseason Week 1,00-0041568,Ty Simpson,LAR,RES,0,15.0,,TEAM_BLEND,30.9,7.06,220.0,0,,,,,,,,,,,,,30.9,7.06,220.0,73.7471664111962,TEAM_PRIOR_NO_NFL_HISTORY,30.9,12.4,AUTO_PRESEASON_USAGE,rookie,87.2,42.0,True,RELIEF,USER WEEK 1 UPDATE,Expected to follow Stetson Bennett IV. Share is inferred.,1.0,0.4,0.4,0.0,7.056,7.056,4.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,32.6,58.7,87.4,115.4,141.1,37.9,LOW,29.2,LOW,21.5,VERY LOW,15.6,VERY LOW,10.4,VERY LOW,7.2,VERY LOW,4.2,VERY LOW,2.5,VERY LOW,1.6,VERY LOW,0.8,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,81.8,79.1,72.5,60.1,43.1,33.2,TEAM_3_SEASON_GAME_BOOTSTRAP,2077,57,36.4,40.5,KC,away,2026_PRE_W1_LAR_KC,,LAR at KC
15,2026,PRE,1,Preseason Week 1,00-0038400,Tanner McKee,PHI,ACT,3,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oveivzhzv13jrfvkp8zg",TEAM_BLEND,28.3,7.09,198.5,2,2025.0,255.0,255.0,255.0,241.0,269.0,40.5,40.5,40.0,6.29,6.29,6.03,39.2,6.33,254.3,19.79898987322333,LIMITED_NFL_HISTORY,39.2,13.7,AUTO_PRESEASON_USAGE,starter_like,86.8,25.0,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,6.33,6.33,4.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,54.8,70.3,86.8,104.0,119.3,30.1,LOW,18.3,VERY LOW,9.5,VERY LOW,4.1,VERY LOW,1.6,VERY LOW,0.6,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,81.8,80.4,75.9,30.9,30.8,6.4,QB_3_SEASON_GAME_BOOTSTRAP,93,4,23.2,22.8,BAL,away,2026_PRE_W1_PHI_BAL,,PHI at BAL
16,2026,PRE,1,Preseason Week 1,00-0041562,Fernando Mendoza,LV,RES,0,15.0,,TEAM_BLEND,28.9,6.65,193.2,0,,,,,,,,,,,,,28.9,6.65,193.2,75.64967657933504,TEAM_PRIOR_NO_NFL_HISTORY,28.9,13.0,AUTO_PRESEASON_USAGE,rookie,86.5,47.3,True,RELIEF / HEAVY REPS,USER WEEK 1 UPDATE,Expected to push for heavy relief work. Share is inferred.,1.0,0.45,0.45,0.0,6.652,6.652,4.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,26.2,54.3,86.5,118.2,147.6,38.7,LOW,30.6,LOW,23.9,VERY LOW,18.0,VERY LOW,13.3,VERY LOW,9.1,VERY LOW,6.2,VERY LOW,4.1,VERY LOW,2.4,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.3,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,81.9,78.0,64.0,46.6,29.9,17.8,TEAM_3_SEASON_GAME_BOOTSTRAP,1868,51,36.6,31.5,ARI,home,2026_PRE_W1_ARI_LV,,ARI at LV
