Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-11,Colorado Rockies @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,James McCann,Tomoyuki Sugano,0.0,0,2,4.4,1.06,1.79,0.65,1.22,3.59,53.3,3.0,1|0|4|3|7,08/08|08/05|08/04|08/03|08/01,4.1,1|0|4|3|7|6|2|8|2|8,08/08|08/05|08/04|08/03|08/01|07/28|07/25|07/22|07/18|07/11,3.0,1|0|4|3|7|6|2|8|2|8|1|1|0|1|1,08/08|08/05|08/04|08/03|08/01|07/28|07/25|07/22|07/18|07/11|07/07|05/18|05/16|05/10|05/07,94.4,81.4,63.5,45.1,30.4,19.3,11.1,3.66,171.2
2026-08-11,Colorado Rockies @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Gabriel Moreno,Tomoyuki Sugano,0.0,0,3,4.8,1.06,1.51,0.62,1.42,3.54,73.3,2.8,4|3|2|1|4,08/10|08/09|08/08|08/07|08/06,2.5,4|3|2|1|4|3|0|1|2|5,08/10|08/09|08/08|08/07|08/06|08/05|08/02|08/01|07/31|07/29,2.67,4|3|2|1|4|3|0|1|2|5|4|0|5|3|3,08/10|08/09|08/08|08/07|08/06|08/05|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,94.1,81.2,63.5,44.6,29.1,17.9,10.7,3.34,166.9
2026-08-11,Colorado Rockies @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Geraldo Perdomo,Tomoyuki Sugano,0.25,1,4,4.7,1.06,1.65,0.78,0.52,2.99,66.7,1.4,1|1|2|3|0,08/10|08/09|08/08|08/07|08/06,2.2,1|1|2|3|0|2|2|2|1|8,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01,2.27,1|1|2|3|0|2|2|2|1|8|4|0|2|2|4,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26,91.0,73.2,52.5,35.3,21.5,12.1,6.4,2.65,138.1
2026-08-11,Tampa Bay Rays @ Athletics,Sutter Health Park,1.01,1.008,92.4,22.0,11.6,SW,220.0,1.0,Clear,3.8,5.4,58.3,B,75.0,Athletics,Zack Gelof,Nick Martinez,1.0,1,1,3.7,0.85,0.94,0.83,0.45,2.22,66.7,1.8,6|0|0|1|2,08/10|07/09|07/08|07/07|07/05,2.0,6|0|0|1|2|1|0|5|3|2,08/10|07/09|07/08|07/07|07/05|07/04|06/23|06/21|06/19|06/18,2.67,6|0|0|1|2|1|0|5|3|2|3|5|3|3|6,08/10|07/09|07/08|07/07|07/05|07/04|06/23|06/21|06/19|06/18|06/17|06/16|06/15|06/14|06/13,85.5,61.1,37.2,20.1,9.8,4.7,2.0,3.23,154.7
2026-08-11,Tampa Bay Rays @ Athletics,Sutter Health Park,1.01,1.008,92.4,22.0,11.6,SW,220.0,1.0,Clear,3.8,5.4,58.3,B,75.0,Athletics,Henry Bolte,Nick Martinez,0.0,0,0,4.4,0.85,0.99,0.53,0.33,1.83,46.7,2.2,3|3|3|0|2,08/10|08/09|08/08|08/07|08/06,2.4,3|3|3|0|2|0|4|0|8|1,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,1.87,3|3|3|0|2|0|4|0|8|1|0|0|4|0|0,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,79.8,51.5,28.3,13.4,5.8,2.5,0.9,2.19,108.4
2026-08-11,Tampa Bay Rays @ Athletics,Sutter Health Park,1.01,1.008,92.4,22.0,11.6,SW,220.0,1.0,Clear,3.8,5.4,58.3,B,75.0,Athletics,Jeff McNeil,Nick Martinez,0.0,0,2,4.0,0.85,1.08,0.36,0.36,1.78,60.0,2.0,4|2|1|0|3,08/10|08/09|08/08|08/05|08/04,1.7,4|2|1|0|3|2|2|0|1|2,08/10|08/09|08/08|08/05|08/04|08/02|08/01|07/31|07/30|07/29,2.0,4|2|1|0|3|2|2|0|1|2|1|5|2|0|5,08/10|08/09|08/08|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/27|07/26|07/25|07/24|07/22,78.8,50.2,26.4,12.9,5.7,2.6,0.9,2.32,117.3
2026-08-11,New York Mets @ Atlanta Braves,Truist Park,1.008,1.009,88.9,52.0,8.3,WSW,246.0,11.0,Overcast,4.0,5.8,58.8,B,92.0,Atlanta Braves,Matt Olson,Nolan McLean,0.0,0,3,4.0,0.88,0.93,0.87,0.56,2.37,73.3,2.8,2|3|0|3|6,08/10|08/09|08/08|08/07|08/06,2.9,2|3|0|3|6|0|2|4|4|5,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,2.53,2|3|0|3|6|0|2|4|4|5|0|2|4|1|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26,87.6,64.4,41.3,22.9,11.2,5.3,2.5,3.11,153.8
2026-08-11,New York Mets @ Atlanta Braves,Truist Park,1.008,1.009,88.9,52.0,8.3,WSW,246.0,11.0,Overcast,4.0,5.8,58.8,B,92.0,Atlanta Braves,Austin Riley,Nolan McLean,0.333,1,3,5.0,0.88,0.93,0.39,0.62,1.94,46.7,1.4,2|0|1|3|1,08/10|08/09|08/08|08/07|08/06,2.3,2|0|1|3|1|4|5|2|4|1,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,1.67,2|0|1|3|1|4|5|2|4|1|0|0|0|2|0,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/29|07/27|07/26|07/25,82.0,54.6,30.8,15.2,6.8,2.8,1.1,2.03,103.8
2026-08-11,New York Mets @ Atlanta Braves,Truist Park,1.008,1.009,88.9,52.0,8.3,WSW,246.0,11.0,Overcast,4.0,5.8,58.8,B,92.0,Atlanta Braves,Drake Baldwin,Nolan McLean,0.4,2,5,4.7,0.88,1.16,0.37,0.29,1.84,53.3,1.8,4|0|1|2|2,08/10|08/09|08/08|08/07|08/06,1.6,4|0|1|2|2|4|0|0|3|0,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,1.67,4|0|1|2|2|4|0|0|3|0|1|2|3|1|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/29|07/27|07/26,79.2,51.5,28.9,14.0,6.3,2.6,1.0,1.9,100.6
2026-08-11,Baltimore Orioles @ Minnesota Twins,Target Field,0.988,1.009,89.5,39.0,2.0,E,96.0,3.0,Clear,4.0,5.7,58.7,B,92.0,Baltimore Orioles,Coby Mayo,Bailey Ober,0.333,1,3,4.6,1.03,1.16,0.66,0.83,2.65,46.7,2.2,6|3|0|2|0,08/10|08/09|08/08|08/07|08/06,2.2,6|3|0|2|0|4|1|0|0|6,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/01|07/31|07/29,2.13,6|3|0|2|0|4|1|0|0|6|0|7|1|0|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/01|07/31|07/29|07/28|07/27|07/26|07/24|07/22,89.4,68.7,46.1,28.9,16.3,8.2,3.9,2.63,129.0
2026-08-11,Baltimore Orioles @ Minnesota Twins,Target Field,0.988,1.009,89.5,39.0,2.0,E,96.0,3.0,Clear,4.0,5.7,58.7,B,92.0,Baltimore Orioles,Pete Alonso,Bailey Ober,0.5,2,4,3.7,1.03,1.0,0.6,0.6,2.17,40.0,2.8,2|10|1|0|1,08/10|08/09|08/08|08/07|08/06,2.4,2|10|1|0|1|0|3|1|0|6,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,2.2,2|10|1|0|1|0|3|1|0|6|1|0|3|4|1,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,85.0,60.7,36.7,19.1,8.9,3.8,1.6,2.68,126.0
2026-08-11,Baltimore Orioles @ Minnesota Twins,Target Field,0.988,1.009,89.5,39.0,2.0,E,96.0,3.0,Clear,4.0,5.7,58.7,B,92.0,Baltimore Orioles,Jackson Holliday,Bailey Ober,0.167,1,6,3.8,1.03,1.16,0.61,0.34,2.11,53.3,2.2,3|4|4|0|0,08/10|08/09|08/08|08/07|08/06,1.3,3|4|4|0|0|0|0|0|0|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,2.07,3|4|4|0|0|0|0|0|0|2|6|2|6|1|3,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,83.3,57.9,35.1,19.1,9.1,4.2,1.7,2.41,120.4
2026-08-11,Boston Red Sox @ Toronto Blue Jays,Rogers Centre,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Boston Red Sox,Ceddanne Rafaela,Dylan Cease,0.267,4,15,4.6,0.85,1.64,0.82,1.19,3.66,73.3,2.2,3|0|1|5|2,08/10|08/09|08/08|08/07|08/06,3.4,3|0|1|5|2|0|5|5|6|7,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,3.27,3|0|1|5|2|0|5|5|6|7|4|2|1|6|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,94.8,82.4,64.8,46.5,31.3,19.9,12.2,4.02,191.1
2026-08-11,Boston Red Sox @ Toronto Blue Jays,Rogers Centre,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Boston Red Sox,Andruw Monasterio,Dylan Cease,0.333,1,3,5.0,0.85,1.26,0.67,0.96,2.91,73.3,2.4,0|0|3|4|5,08/10|08/09|08/08|08/07|08/06,2.6,0|0|3|4|5|2|5|2|2|3,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,2.6,0|0|3|4|5|2|5|2|2|3|3|6|0|1|3,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,90.7,73.0,52.4,33.6,20.1,10.9,5.7,3.21,159.9
2026-08-11,Boston Red Sox @ Toronto Blue Jays,Rogers Centre,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Boston Red Sox,Caleb Durbin,Dylan Cease,0.0,0,2,4.7,0.85,1.26,0.77,0.7,2.73,60.0,2.4,0|0|3|3|6,08/10|08/09|08/08|08/07|08/06,2.9,0|0|3|3|6|2|8|3|0|4,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,2.6,0|0|3|3|6|2|8|3|0|4|1|4|1|1|3,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,90.1,70.7,48.6,29.8,16.9,9.0,4.5,3.15,152.5
2026-08-11,Chicago Cubs @ Washington Nationals,Nationals Park,1.0,1.008,90.2,40.0,8.5,S,177.0,19.0,Partly cloudy,3.6,5.2,57.9,B,92.0,Chicago Cubs,Alex Bregman,Unknown,0.0,0,0,5.0,1.0,1.84,1.14,0.79,3.79,66.7,3.2,6|1|2|5|2,08/09|08/08|08/07|08/06|08/05,2.3,6|1|2|5|2|2|2|0|2|1,08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31,2.87,6|1|2|5|2|2|2|0|2|1|5|1|5|9|0,08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/25,95.1,83.8,66.4,48.6,33.4,21.6,13.1,3.43,168.5
2026-08-11,Chicago Cubs @ Washington Nationals,Nationals Park,1.0,1.008,90.2,40.0,8.5,S,177.0,19.0,Partly cloudy,3.6,5.2,57.9,B,92.0,Chicago Cubs,Nico Hoerner,Unknown,0.0,0,0,3.7,1.0,1.36,0.58,0.78,2.72,60.0,2.2,4|2|0|0|5,08/09|08/08|08/07|08/06|08/05,2.1,4|2|0|0|5|5|0|1|4|0,08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31,2.8,4|2|0|0|5|5|0|1|4|0|3|0|4|10|4,08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,90.2,69.8,47.8,29.8,17.3,8.8,4.3,3.38,160.2
2026-08-11,Chicago Cubs @ Washington Nationals,Nationals Park,1.0,1.008,90.2,40.0,8.5,S,177.0,19.0,Partly cloudy,3.6,5.2,57.9,B,92.0,Chicago Cubs,Pete Crow-Armstrong,Unknown,0.0,0,0,3.7,1.0,0.97,0.91,0.78,2.67,66.7,4.2,3|0|5|4|9,08/09|08/08|08/07|08/06|08/05,3.2,3|0|5|4|9|4|3|0|4|0,08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31,2.73,3|0|5|4|9|4|3|0|4|0|2|4|1|0|2,08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,89.3,69.8,46.9,28.8,16.1,8.5,4.1,3.41,163.6
2026-08-11,Cincinnati Reds @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Chase Meidroth,Nick Lodolo,0.5,1,2,4.6,1.13,1.18,0.91,1.09,3.18,60.0,3.0,3|1|9|0|2,08/08|08/07|08/06|08/05|08/04,2.2,3|1|9|0|2|4|0|0|1|2,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29,2.33,3|1|9|0|2|4|0|0|1|2|4|2|4|0|3,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24,92.5,76.6,57.2,38.2,24.2,14.1,7.8,2.93,146.5
2026-08-11,Cincinnati Reds @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Munetaka Murakami,Nick Lodolo,0.0,0,0,3.7,1.13,1.17,0.8,0.88,2.85,46.7,1.6,2|3|3|0|0,08/09|08/08|08/07|08/06|08/05,1.8,2|3|3|0|0|1|1|1|6|1,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30,2.6,2|3|3|0|0|1|1|1|6|1|5|1|2|12|1,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,90.9,72.4,51.7,32.4,18.6,10.0,4.9,3.22,150.8
2026-08-11,Cincinnati Reds @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Colson Montgomery,Nick Lodolo,0.0,0,0,4.4,1.13,0.95,0.52,0.95,2.43,46.7,2.2,5|1|0|5|0,08/09|08/08|08/07|08/06|08/05,1.9,5|1|0|5|0|2|2|0|4|0,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30,1.87,5|1|0|5|0|2|2|0|4|0|0|0|6|2|1,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/25|07/24,87.9,65.1,42.3,24.5,12.9,6.0,2.7,2.35,118.1
2026-08-11,Cincinnati Reds @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Cincinnati Reds,Elly De La Cruz,Sean Burke,0.0,0,0,4.8,0.85,1.0,0.71,0.57,2.3,53.3,1.4,0|0|3|3|1,08/09|08/08|08/07|08/06|08/05,2.3,0|0|3|3|1|5|3|0|2|6,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30,2.13,0|0|3|3|1|5|3|0|2|6|0|0|3|5|1,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/28|07/26|07/25,86.3,62.5,38.9,21.6,11.3,5.2,2.3,2.6,128.4
