Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count
1,2026-08-10,822780,2026-08-10T23:07:00Z,Scheduled,Rogers Centre,Boston Red Sox @ Toronto Blue Jays,Away,575929,Willson Contreras,Boston Red Sox,Toronto Blue Jays,1B,R,No,,107,439,368,105,18,2,23,58,70,47,21,112,0.285,0.394,0.533,0.927,9,35,26,7,1,0.269,0.0286,19,75,56,16,3,0.286,0.04,513,75,9.5,29.6,47.7,26.7,25.1,17.3,30.1,50.3,33.6,7.7,3.7,7.7,45.5,84.2,19.3,0.719,75.1,97.8,116.5,67.1,12.0,15.2,45.8,51.3,Average,3.0,Pull Power,A,Excellent HR swing plane,51.3,Average,1.004,Good,9.3,48.1,97.7,0.692,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,40.27,17.27,Strong positive regression,Average Pull Power profile. 9.5% barrel rate; 84.2 mph average exit velocity; 30.1% air-ball rate; 50.3% pull-air rate; 7.7% HR-launch rate.,0.0524,0.048,4.31,18,6,16.0,1.12,112.5,Near normal interval,592791,Jameson Taillon,R,RHB vs RHP,16,16,80.0,5.96,1.39,26,2.93,8.1,3.26,433,8.8,24.7,21.9,48.6,34.6,83.0,95.6,112.4,0.703,26,54.2,99.7,0.643,9.5,4-Seam Fastball,R,RHB vs RHP,62.1,322,0.287,0.388,0.522,0.91,16,29,90,0.0497,8.3,0.701,167,0.0719,8.0,0.662,6,6,2,2/6,0.333,0.333,0.667,1.0,0,0,3,57.4,Neutral Matchup,Average,52.7,5,Pitch-level Statcast · last 5 MLB games,358,4-Seam Fastball,23.18435754189944,83,Changeup,19.83240223463687,71,Sweeper,19.273743016759777,69,Cutter,15.083798882681565,54,Curveball,12.569832402234637,45.0,Sinker,10.05586592178771,36.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.008,1.013,68.2,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,62.1,60.9,54.2,62.1,50.0,45.0,61.5,9.54,0.881,1.2,0.985,1.03,1.004,1.034,1.0,19.11,14.63,83.0,40.9,D+,Lineup unconfirmed,,,
2,2026-08-10,823918,2026-08-11T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Kansas City Royals @ Los Angeles Dodgers,Home,660271,Shohei Ohtani,Los Angeles Dodgers,Kansas City Royals,TWP,L,No,,112,496,415,121,22,2,26,73,71,69,5,114,0.292,0.395,0.542,0.937,11,49,42,16,4,0.381,0.0816,21,94,84,25,5,0.298,0.0532,550,105,9.8,31.8,56.2,16.5,25.6,17.2,31.2,47.0,35.9,9.3,4.9,9.3,48.2,85.2,16.3,0.788,72.8,98.3,116.0,42.3,15.7,12.8,46.4,53.1,Average,3.0,Pull Power,A,Excellent HR swing plane,53.1,Average,1.009,Good,9.5,47.1,98.0,0.79,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,45.92,19.92,Strong positive regression,Average Pull Power profile. 9.8% barrel rate; 85.2 mph average exit velocity; 31.2% air-ball rate; 47.0% pull-air rate; 9.3% HR-launch rate.,0.0524,0.0484,4.25,11,3,16.0,0.69,68.9,Recently homered,702070,Noah Cameron,L,LHB vs LHP,22,21,123.2,4.37,1.29,14,1.02,8.44,2.91,673,5.5,25.4,13.8,45.7,32.4,82.5,95.4,115.9,0.563,14,69.5,99.9,0.799,9.3,4-Seam Fastball,L,LHB vs LHP,61.1,162,0.299,0.36,0.576,0.937,11,12,39,0.0679,9.4,0.775,128,0.0312,8.0,0.619,3,2,2,2/2,1.0,1.0,3.5,4.5,1,1,0,63.3,Slight Hitter Advantage,Above average,57.5,5,Pitch-level Statcast · last 5 MLB games,490,Cutter,22.448979591836736,110,Changeup,21.632653061224488,106,4-Seam Fastball,18.979591836734695,93,Curveball,18.775510204081634,92,Slider,14.081632653061224,69.0,Sinker,4.081632653061225,20.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.039,0.98,66.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,61.1,40.3,69.5,62.1,50.0,45.0,58.0,7.88,1.168,0.987,0.985,1.03,1.009,1.039,1.0,19.03,14.46,84.5,39.3,D+,Lineup unconfirmed,,,
3,2026-08-10,822780,2026-08-10T23:07:00Z,Scheduled,Rogers Centre,Boston Red Sox @ Toronto Blue Jays,Away,663330,Jahmai Jones,Boston Red Sox,Toronto Blue Jays,DH,R,No,,70,128,116,23,6,0,4,15,12,12,0,42,0.198,0.273,0.353,0.626,7,14,13,7,1,0.538,0.0714,13,23,21,10,2,0.476,0.087,139,24,6.0,33.1,59.3,20.1,17.5,13.8,29.6,73.1,31.1,6.5,5.5,6.5,70.0,84.9,15.0,0.698,71.3,97.3,110.1,30.7,15.6,9.8,53.0,44.8,Below Average,3.0,Pull Power,A,Excellent HR swing plane,44.8,Below Average,0.985,Good,8.3,100.0,98.9,0.863,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,8.65,4.65,Strong positive regression,Below Average Pull Power profile. 6.0% barrel rate; 84.9 mph average exit velocity; 29.6% air-ball rate; 73.1% pull-air rate; 6.5% HR-launch rate.,0.0312,0.0316,3.87,8,5,29.0,0.28,27.6,Very recent HR,592791,Jameson Taillon,R,RHB vs RHP,16,16,80.0,5.96,1.39,26,2.93,8.1,3.26,433,8.8,24.7,21.9,48.6,34.6,83.0,95.6,112.4,0.703,26,47.4,99.7,0.67,4.7,4-Seam Fastball,R,RHB vs RHP,53.0,21,0.095,0.095,0.095,0.19,0,0,9,0.0,0.0,0.387,167,0.0719,8.0,0.662,0,0,0,0/0,,,,,0,0,0,50.5,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,358,4-Seam Fastball,23.18435754189944,83,Changeup,19.83240223463687,71,Sweeper,19.273743016759777,69,Cutter,15.083798882681565,54,Curveball,12.569832402234637,45.0,Sinker,10.05586592178771,36.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,0.995,1.013,58.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,53.0,60.9,47.4,65.8,50.0,45.0,56.9,7.46,1.24,1.2,0.985,0.975,0.985,0.961,0.98,11.69,11.29,63.0,26.9,F,Lineup unconfirmed,,,
4,2026-08-10,823189,2026-08-11T01:45:00Z,Scheduled,Oracle Park,Houston Astros @ San Francisco Giants,Away,670541,Yordan Alvarez,Houston Astros,San Francisco Giants,DH,L,No,,117,517,426,137,24,0,35,79,86,82,6,90,0.322,0.435,0.624,1.059,11,53,42,13,1,0.31,0.0189,22,102,80,28,4,0.35,0.0392,644,114,8.8,32.2,49.8,17.8,32.0,19.0,33.7,45.2,31.3,8.0,4.9,8.0,53.6,86.1,24.5,0.824,74.9,98.6,117.5,56.6,15.9,18.4,42.7,53.6,Average,3.0,Pull Power,A-,Elevated power plane,53.6,Average,1.01,Good,7.0,45.9,98.3,0.733,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,49.2,14.2,Strong positive regression,Average Pull Power profile. 8.8% barrel rate; 86.1 mph average exit velocity; 33.7% air-ball rate; 45.2% pull-air rate; 8.0% HR-launch rate.,0.0677,0.061,4.31,38,10,12.2,3.12,312.2,Very long drought,694918,Blade Tidwell,R,LHB vs RHP,9,1,17.0,3.18,1.18,1,0.53,6.88,2.12,90,4.4,31.1,7.8,55.6,25.6,84.3,96.4,110.1,0.42,1,78.5,100.0,0.921,11.3,Sweeper,L,LHB vs RHP,61.3,381,0.345,0.47,0.671,1.141,26,70,67,0.0682,10.1,0.901,37,0.027,7.5,0.474,0,0,0,0/0,,,,,0,0,0,65.0,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,195,Sweeper,35.8974358974359,70,4-Seam Fastball,32.82051282051282,64,Sinker,13.333333333333334,26,Slider,10.256410256410257,20,Changeup,6.153846153846154,12.0,Curveball,1.5384615384615385,3.0,Unknown,,Unknown,,No,91.0,0.91,1.0,33.8,1.057,0.969,65.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,61.3,35.4,78.5,56.1,33.8,45.0,55.9,7.1,0.793,0.978,1.025,1.08,1.01,1.091,1.06,23.75,13.2,85.0,47.0,C-,Lineup unconfirmed,,,
5,2026-08-10,823675,2026-08-10T23:40:00Z,Scheduled,Target Field,Baltimore Orioles @ Minnesota Twins,Away,687952,Christian Encarnacion-Strand,Baltimore Orioles,Minnesota Twins,3B,R,No,,17,60,54,13,3,0,3,5,11,4,1,14,0.241,0.305,0.463,0.768,10,30,27,3,0,0.111,0.0,17,60,54,13,3,0.241,0.05,95,95,10.5,21.1,41.5,26.8,31.7,11.6,23.2,45.5,32.6,8.4,4.2,8.4,30.0,83.0,18.3,0.771,70.9,94.7,111.0,26.3,12.6,6.0,48.1,42.4,Below Average,2.5,Pull Power,A,Excellent HR swing plane,42.4,Below Average,0.979,Good,10.5,45.5,94.7,0.771,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,7.86,4.86,Strong positive regression,Below Average Pull Power profile. 10.5% barrel rate; 83.0 mph average exit velocity; 23.2% air-ball rate; 45.5% pull-air rate; 8.4% HR-launch rate.,0.05,0.038,4.05,34,12,18.0,1.89,188.9,Above normal drought,665152,Dean Kremer,R,RHB vs RHP,8,8,41.0,5.93,1.32,12,2.63,8.78,2.85,226,5.3,21.7,19.9,56.9,31.4,81.0,92.9,108.6,0.614,12,74.5,57.3,0.842,9.7,4-Seam Fastball,R,RHB vs RHP,47.5,35,0.152,0.2,0.212,0.412,0,1,6,0.0,6.9,0.533,68,0.0735,4.4,0.652,2,2,1,1/2,0.5,0.5,0.5,1.0,0,0,0,57.6,Neutral Matchup,Average,50.9,5,Pitch-level Statcast · last 5 MLB games,430,4-Seam Fastball,26.046511627906977,112,Split-Finger,22.325581395348838,96,Cutter,21.627906976744185,93,Sinker,15.348837209302326,66,Curveball,13.720930232558139,59.0,Slider,0.9302325581395349,4.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.049,0.978,57.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,47.5,41.2,74.5,56.2,50.0,45.0,54.9,6.77,0.914,1.143,0.985,1.0,0.979,0.979,1.035,14.52,10.68,61.1,32.6,D,Small season sample; Lineup unconfirmed,,,
6,2026-08-10,823018,2026-08-10T23:45:00Z,Scheduled,Busch Stadium,Philadelphia Phillies @ St. Louis Cardinals,Away,656941,Kyle Schwarber,Philadelphia Phillies,St. Louis Cardinals,DH,L,No,,113,503,417,103,13,1,35,68,68,76,6,173,0.247,0.369,0.535,0.904,10,46,32,6,2,0.188,0.0435,21,94,72,16,3,0.222,0.0319,560,93,8.1,30.0,57.7,18.5,23.5,13.0,27.1,52.6,30.5,7.8,4.6,7.8,66.2,85.3,20.1,0.759,74.4,97.6,113.1,65.0,14.6,15.2,62.1,51.4,Average,3.0,Pull Power,A-,Elevated power plane,51.4,Average,1.004,Good,4.3,44.0,95.5,0.606,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,40.58,5.58,Strong positive regression,Average Pull Power profile. 8.1% barrel rate; 85.3 mph average exit velocity; 27.1% air-ball rate; 52.6% pull-air rate; 7.8% HR-launch rate.,0.0696,0.0623,4.23,0,0,11.9,0.0,0.0,Very recent HR,690928,Hunter Dobbins,R,LHB vs RHP,8,5,40.0,3.6,1.3,6,1.35,8.1,3.15,233,4.7,24.0,12.9,61.4,31.8,83.8,95.0,109.8,0.479,6,66.5,100.0,0.756,9.9,4-Seam Fastball,L,LHB vs RHP,58.1,317,0.226,0.351,0.517,0.869,23,50,117,0.0726,11.2,0.852,91,0.022,4.7,0.492,0,0,0,0/0,,,,,0,0,0,59.4,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,443,4-Seam Fastball,31.151241534988714,138,Sweeper,17.381489841986458,77,Slider,16.478555304740407,73,Sinker,13.769751693002258,61,Split-Finger,12.415349887133182,55.0,Curveball,8.803611738148984,39.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.033,0.972,64.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,58.1,36.8,66.5,42.6,50.0,45.0,53.9,6.47,0.846,1.023,1.025,1.03,1.004,1.034,0.98,23.84,13.33,84.5,37.0,D+,Lineup unconfirmed,,,
7,2026-08-10,822780,2026-08-10T23:07:00Z,Scheduled,Rogers Centre,Boston Red Sox @ Toronto Blue Jays,Away,677800,Wilyer Abreu,Boston Red Sox,Toronto Blue Jays,RF,L,No,,114,496,435,111,23,3,20,64,63,50,2,102,0.255,0.33,0.46,0.79,11,50,41,12,5,0.293,0.1,23,100,86,19,9,0.221,0.09,680,126,7.7,27.1,38.9,28.7,32.2,19.8,30.8,34.6,32.6,9.5,6.6,9.5,54.5,82.8,24.6,0.695,72.3,95.7,111.9,35.2,13.5,11.4,46.3,40.3,Below Average,2.5,Contact-First Profile,A-,Elevated power plane,40.3,Below Average,0.973,Good,9.5,29.3,96.9,0.805,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,43.83,23.83,Strong positive regression,Below Average Contact-First Profile profile. 7.7% barrel rate; 82.8 mph average exit velocity; 30.8% air-ball rate; 34.6% pull-air rate; 9.5% HR-launch rate.,0.0403,0.0387,4.05,9,3,21.8,0.41,41.4,Recently homered,592791,Jameson Taillon,R,LHB vs RHP,16,16,80.0,5.96,1.39,26,2.93,8.1,3.26,433,8.8,24.7,21.9,48.6,34.6,83.0,95.6,112.4,0.703,26,51.0,99.7,0.646,7.7,4-Seam Fastball,L,LHB vs RHP,61.2,343,0.224,0.292,0.428,0.72,15,32,78,0.0437,7.2,0.662,180,0.0778,9.5,0.744,0,0,0,0/0,,,,,0,0,0,55.4,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,358,4-Seam Fastball,23.18435754189944,83,Changeup,19.83240223463687,71,Sweeper,19.273743016759777,69,Cutter,15.083798882681565,54,Curveball,12.569832402234637,45.0,Sinker,10.05586592178771,36.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.002,1.013,53.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,61.2,60.9,51.0,43.2,50.0,45.0,53.8,6.44,1.35,1.2,1.025,1.0,0.973,0.973,1.0,14.77,14.03,85.0,36.5,D+,Lineup unconfirmed,,,
8,2026-08-10,825048,2026-08-11T01:40:00Z,Scheduled,Chase Field,Colorado Rockies @ Arizona Diamondbacks,Away,696100,Hunter Goodman,Colorado Rockies,Arizona Diamondbacks,C,R,No,,108,449,405,103,16,0,34,67,69,37,4,151,0.254,0.321,0.546,0.867,10,41,39,8,3,0.205,0.0732,19,77,71,19,7,0.268,0.0909,536,85,8.5,28.1,46.6,30.4,22.4,19.6,29.8,49.9,26.7,7.1,4.4,7.1,83.0,83.1,22.6,0.741,73.6,96.1,113.7,46.1,12.3,10.1,62.4,46.1,Below Average,3.0,Pull Power,A-,Elevated power plane,46.1,Below Average,0.989,Good,8.2,42.9,94.7,0.749,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,37.53,3.53,Positive regression,Below Average Pull Power profile. 8.5% barrel rate; 83.1 mph average exit velocity; 29.8% air-ball rate; 49.9% pull-air rate; 7.1% HR-launch rate.,0.0757,0.0665,4.15,0,0,11.9,0.0,0.0,Very recent HR,647336,Michael Soroka,R,RHB vs RHP,15,15,82.0,3.07,1.09,6,0.66,8.67,1.87,470,5.5,20.4,13.8,45.5,31.9,81.4,93.2,115.5,0.548,6,64.9,67.4,0.747,9.6,4-Seam Fastball,R,RHB vs RHP,54.6,305,0.244,0.302,0.559,0.861,26,20,98,0.0852,8.8,0.731,131,0.0153,6.8,0.454,10,9,1,1/9,0.111,0.2,0.111,0.311,0,1,6,52.3,Neutral Matchup,Average,25.0,5,Pitch-level Statcast · last 5 MLB games,385,4-Seam Fastball,31.948051948051948,123,Slurve,31.68831168831169,122,Changeup,15.324675324675324,59,Cutter,9.61038961038961,37,Sinker,9.61038961038961,37.0,Sweeper,1.8181818181818181,7.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.03,0.98,61.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.6,37.2,64.9,48.6,50.0,45.0,53.2,6.27,1.088,0.93,0.985,1.03,0.989,1.019,0.98,24.84,14.67,83.2,38.4,D+,Lineup unconfirmed,,,
9,2026-08-10,823918,2026-08-11T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Kansas City Royals @ Los Angeles Dodgers,Home,571970,Max Muncy,Los Angeles Dodgers,Kansas City Royals,3B,L,No,,108,406,355,88,16,1,22,62,52,48,3,104,0.248,0.342,0.485,0.827,11,39,35,6,2,0.171,0.0513,20,73,64,12,5,0.188,0.0685,492,95,8.3,26.6,62.8,15.5,21.8,16.4,24.6,58.9,26.6,9.2,5.9,9.2,58.3,83.5,19.1,0.641,69.6,95.6,110.0,15.6,13.6,3.8,45.9,39.6,Below Average,2.5,Pull Power,A,Excellent HR swing plane,39.6,Below Average,0.971,Good,7.4,57.9,94.4,0.607,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,36.3,14.3,Strong positive regression,Below Average Pull Power profile. 8.3% barrel rate; 83.5 mph average exit velocity; 24.6% air-ball rate; 58.9% pull-air rate; 9.2% HR-launch rate.,0.0542,0.0491,4.09,7,3,16.1,0.43,43.4,Recently homered,702070,Noah Cameron,L,LHB vs LHP,22,21,123.2,4.37,1.29,14,1.02,8.44,2.91,673,5.5,25.4,13.8,45.7,32.4,82.5,95.4,115.9,0.563,14,61.8,99.9,0.72,9.4,4-Seam Fastball,L,LHB vs LHP,52.1,94,0.259,0.33,0.518,0.847,6,7,27,0.0638,6.8,0.617,128,0.0312,8.0,0.619,2,2,1,1/2,0.5,0.5,2.0,2.5,1,0,0,56.1,Neutral Matchup,Average,55.0,5,Pitch-level Statcast · last 5 MLB games,490,Cutter,22.448979591836736,110,Changeup,21.632653061224488,106,4-Seam Fastball,18.979591836734695,93,Curveball,18.775510204081634,92,Slider,14.081632653061224,69.0,Sinker,4.081632653061225,20.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.024,0.98,58.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,52.1,40.3,61.8,54.8,50.0,45.0,52.7,6.14,1.081,0.987,0.985,1.0,0.971,0.971,1.0,18.62,11.94,82.8,33.3,D,Lineup unconfirmed,,,
10,2026-08-10,824887,2026-08-10T23:15:00Z,Scheduled,Truist Park,New York Mets @ Atlanta Braves,Away,682626,Francisco Alvarez,New York Mets,Atlanta Braves,C,R,No,,81,300,261,66,10,0,13,29,29,32,4,81,0.253,0.342,0.441,0.783,10,40,32,6,1,0.188,0.025,17,68,52,13,4,0.25,0.0588,339,62,12.2,29.0,42.3,41.4,16.4,14.7,26.5,44.2,33.5,10.1,7.2,10.1,38.9,84.3,17.3,0.73,72.3,97.1,112.4,39.3,14.3,9.5,56.3,50.7,Average,3.0,Pull Power,A,Excellent HR swing plane,50.7,Average,1.002,Good,16.1,38.9,97.0,0.832,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,32.71,19.71,Strong positive regression,Average Pull Power profile. 12.2% barrel rate; 84.3 mph average exit velocity; 26.5% air-ball rate; 44.2% pull-air rate; 10.1% HR-launch rate.,0.0433,0.0401,4.05,0,0,20.1,0.0,0.0,Very recent HR,693821,Bryce Elder,R,RHB vs RHP,22,22,126.2,3.69,1.2,19,1.35,7.39,2.98,648,4.5,27.3,15.4,41.2,29.3,84.3,96.5,113.0,0.497,19,58.3,99.9,0.674,9.9,Sinker,R,RHB vs RHP,51.6,222,0.263,0.345,0.479,0.825,11,22,57,0.0495,10.4,0.679,200,0.04,5.6,0.541,2,2,0,0/2,0.0,0.0,0.0,0.0,0,0,0,52.6,Neutral Matchup,Average,45.0,5,Pitch-level Statcast · last 5 MLB games,421,Sinker,33.2541567695962,140,Cutter,21.852731591448933,92,4-Seam Fastball,17.577197149643705,74,Slider,16.389548693586697,69,Changeup,10.926365795724466,46.0,,,,Unknown,,Unknown,,No,103.0,1.03,1.0,55.4,1.017,0.97,61.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,51.6,32.3,58.3,67.2,55.4,45.0,52.7,6.13,1.001,1.04,0.985,1.0,1.002,1.002,0.98,15.27,10.39,78.9,29.7,F,Lineup unconfirmed,,,
11,2026-08-10,824887,2026-08-10T23:15:00Z,Scheduled,Truist Park,New York Mets @ Atlanta Braves,Home,621566,Matt Olson,Atlanta Braves,New York Mets,1B,L,No,,118,516,458,122,29,0,34,83,72,52,3,129,0.266,0.343,0.552,0.895,12,49,45,13,7,0.289,0.1429,24,105,92,24,9,0.261,0.0857,715,135,9.5,28.4,50.5,24.6,24.7,15.9,24.9,48.4,31.5,9.4,6.1,9.4,56.6,84.7,22.2,0.757,72.7,97.4,111.7,44.9,13.9,14.0,46.0,50.4,Average,3.0,Pull Power,A-,Elevated power plane,50.4,Average,1.001,Good,11.1,46.9,96.3,0.82,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,58.01,24.01,Strong positive regression,Average Pull Power profile. 9.5% barrel rate; 84.7 mph average exit velocity; 24.9% air-ball rate; 48.4% pull-air rate; 9.4% HR-launch rate.,0.0659,0.0595,4.09,0,0,13.5,0.0,0.0,Very recent HR,681035,Christian Scott,R,LHB vs RHP,16,16,74.1,3.15,1.26,7,0.85,11.14,3.87,452,4.6,20.1,11.1,41.0,35.4,81.1,92.5,112.8,0.523,7,59.7,99.9,0.735,7.6,4-Seam Fastball,L,LHB vs RHP,56.2,299,0.265,0.355,0.573,0.928,21,36,74,0.0702,9.7,0.782,202,0.0297,4.9,0.517,3,3,0,0/3,0.0,0.0,0.0,0.0,0,0,3,54.7,Neutral Matchup,Average,42.5,5,Pitch-level Statcast · last 5 MLB games,452,4-Seam Fastball,47.56637168141593,215,Sweeper,22.345132743362832,101,Cutter,15.265486725663717,69,Curveball,10.398230088495575,47,Split-Finger,3.0973451327433628,14.0,Sinker,1.3274336283185841,6.0,Unknown,,Unknown,,No,103.0,1.03,1.0,55.4,1.019,0.971,62.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,56.2,29.1,59.7,62.1,55.4,45.0,51.9,5.93,1.343,0.96,1.025,1.03,1.001,1.031,0.98,22.19,16.42,85.0,41.8,D+,Lineup unconfirmed,,,
