player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,game_id,game_date,home_away,season,season_type,week,projected_role
00-0033589,David Moore,CAR,ARI,WR,WR,ACT,9.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0035976,Dan Chisena,CAR,ARI,WR,WR,ACT,6.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0036265,AJ Dillon,CAR,ARI,RB,RB,ACT,6.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,RB
00-0036555,Chuba Hubbard,CAR,ARI,RB,RB,ACT,5.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,RB
00-0036825,Feleipe Franks,CAR,ARI,TE,TE,ACT,5.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,TE
00-0037005,Tommy Tremble,CAR,ARI,TE,TE,ACT,5.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,TE
00-0037282,James Mitchell,CAR,ARI,TE,TE,ACT,4.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,TE
00-0037614,John Metchie III,CAR,ARI,WR,WR,ACT,4.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0038840,Brycen Tremayne,CAR,ARI,WR,WR,ACT,3.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0039342,Xavier Legette,CAR,ARI,WR,WR,ACT,2.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0039344,Jonathon Brooks,CAR,ARI,RB,RB,ACT,2.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,RB
00-0039356,Ja'Tavion Sanders,CAR,ARI,TE,TE,ACT,2.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,TE
00-0039491,Jalen Coker,CAR,ARI,WR,WR,ACT,2.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0039747,Ainias Smith,CAR,ARI,WR,WR,ACT,2.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0040124,Tetairoa McMillan,CAR,ARI,WR,WR,ACT,1.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0040187,Mitchell Evans,CAR,ARI,TE,TE,ACT,1.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,TE
00-0040218,Jimmy Horn Jr.,CAR,ARI,WR,WR,ACT,1.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0040265,Ja'Seem Reed,CAR,ARI,WR,WR,ACT,1.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0040292,Bryce Pierre,CAR,ARI,TE,TE,RES,1.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,TE
00-0040394,Anthony Tyus III,CAR,ARI,RB,RB,ACT,1.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,RB
00-0040644,Trevor Etienne,CAR,ARI,RB,RB,ACT,1.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,RB
00-0041047,Chris Brazzell,CAR,ARI,WR,WR,ACT,0.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0041152,Kobe Prentice,CAR,ARI,WR,WR,ACT,0.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
00-0041485,Miles Davis,CAR,ARI,RB,RB,ACT,0.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,RB
00-0041542,Malick Meiga,CAR,ARI,WR,WR,ACT,0.0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,2026,PRE,0,WR
