team,opponent,opp_pass_yards_allowed_pg,opp_epa_per_dropback,opp_pressure_rate_pct,opp_completion_pct_allowed,opp_explosive_pass_rate_pct,opp_sack_conversion_pct,opp_pass_def_rating,opp_def_injury_count,off_pressure_allowed_pct,pass_protection_win_proxy_pct,ol_pass_rush_advantage,receiver_health_rating,receiver_injury_count,receiver_health_summary,receiver_1_name,receiver_1_target_share_pct,receiver_1_status,receiver_2_name,receiver_2_target_share_pct,receiver_2_status,receiver_3_name,receiver_3_target_share_pct,receiver_3_status,event_id,game_date,stadium_name,stadium_type,temperature_f,wind_mph,weather_condition,precipitation_pct,passing_weather_rating,spread,game_total,team_implied_points,opp_implied_points,odds_details,pace_plays_per_game,expected_game_script
MIA,WAS,257.12,0.23,15.41,59.93,9.08,46.67,26.0,0,13.08,86.92,-2.33,100.0,0,Jaylen Waddle 21.6% (ACTIVE / NO ESPN INJURY) | Malik Washington 14.1% (ACTIVE / NO ESPN INJURY) | Greg Dulcich 7.1% (ACTIVE / NO ESPN INJURY),Jaylen Waddle,21.6,ACTIVE / NO ESPN INJURY,Malik Washington,14.1,ACTIVE / NO ESPN INJURY,Greg Dulcich,7.1,ACTIVE / NO ESPN INJURY,401873277,2026-08-14T23:00Z,Northwest Stadium,OUTDOOR,,,,,85.0,1.5,36.5,17.5,19.0,WSH -1.5,55.4,NEUTRAL / COMPETITIVE
NE,IND,262.47,0.04,14.2,59.34,8.52,41.05,35.0,0,17.58,82.42,3.38,100.0,0,Hunter Henry 17.1% (ACTIVE / NO ESPN INJURY) | Mack Hollins 12.6% (ACTIVE / NO ESPN INJURY) | Kayshon Boutte 11.1% (ACTIVE / NO ESPN INJURY),Hunter Henry,17.1,ACTIVE / NO ESPN INJURY,Mack Hollins,12.6,ACTIVE / NO ESPN INJURY,Kayshon Boutte,11.1,ACTIVE / NO ESPN INJURY,401873273,2026-08-13T23:30Z,Gillette Stadium,OUTDOOR,,,,,85.0,-1.5,38.5,20.0,18.5,NE -1.5,60.3,NEUTRAL / COMPETITIVE
DET,CIN,245.59,0.16,13.81,60.84,10.49,44.3,19.0,0,19.16,80.84,5.35,100.0,0,Amon-Ra St. Brown 31.3% (ACTIVE / NO ESPN INJURY) | Jameson Williams 18.5% (ACTIVE / NO ESPN INJURY) | Sam LaPorta 8.9% (ACTIVE / NO ESPN INJURY),Amon-Ra St. Brown,31.3,ACTIVE / NO ESPN INJURY,Jameson Williams,18.5,ACTIVE / NO ESPN INJURY,Sam LaPorta,8.9,ACTIVE / NO ESPN INJURY,401873272,2026-08-13T23:00Z,Paycor Stadium,OUTDOOR,,,,,85.0,3.5,38.5,17.5,21.0,CIN -3.5,61.8,NEUTRAL / COMPETITIVE
GB,PIT,260.39,0.05,16.41,59.49,7.99,44.35,42.0,0,16.05,83.95,-0.36,100.0,0,Romeo Doubs 19.3% (ACTIVE / NO ESPN INJURY) | Christian Watson 12.4% (ACTIVE / NO ESPN INJURY) | Matthew Golden 9.8% (ACTIVE / NO ESPN INJURY),Romeo Doubs,19.3,ACTIVE / NO ESPN INJURY,Christian Watson,12.4,ACTIVE / NO ESPN INJURY,Matthew Golden,9.8,ACTIVE / NO ESPN INJURY,401873275,2026-08-13T23:00Z,Acrisure Stadium,OUTDOOR,,,,,85.0,1.5,37.5,18.0,19.5,PIT -1.5,59.1,NEUTRAL / COMPETITIVE
BAL,PHI,209.28,-0.1,17.07,52.82,8.05,40.57,73.0,0,18.34,81.66,1.27,100.0,0,Zay Flowers 29.0% (ACTIVE / NO ESPN INJURY) | Mark Andrews 17.2% (ACTIVE / NO ESPN INJURY) | Rashod Bateman 9.3% (ACTIVE / NO ESPN INJURY),Zay Flowers,29.0,ACTIVE / NO ESPN INJURY,Mark Andrews,17.2,ACTIVE / NO ESPN INJURY,Rashod Bateman,9.3,ACTIVE / NO ESPN INJURY,401873284,2026-08-15T23:00Z,M&T Bank Stadium,OUTDOOR,,,,,85.0,2.5,36.5,17.0,19.5,PHI -2.5,56.2,NEUTRAL / COMPETITIVE
LAR,KC,205.12,-0.03,18.35,62.39,8.26,35.0,57.0,0,12.33,87.67,-6.02,100.0,0,Puka Nacua 29.8% (ACTIVE / NO ESPN INJURY) | Davante Adams 19.9% (ACTIVE / NO ESPN INJURY) | Colby Parkinson 10.0% (ACTIVE / NO ESPN INJURY),Puka Nacua,29.8,ACTIVE / NO ESPN INJURY,Davante Adams,19.9,ACTIVE / NO ESPN INJURY,Colby Parkinson,10.0,ACTIVE / NO ESPN INJURY,401873283,2026-08-15T20:00Z,GEHA Field at Arrowhead Stadium,OUTDOOR,,,,,85.0,1.5,36.5,17.5,19.0,KC -1.5,63.0,NEUTRAL / COMPETITIVE
PHI,BAL,259.0,0.09,14.85,60.45,9.7,30.61,26.0,0,11.23,88.77,-3.62,100.0,0,A.J. Brown 25.7% (ACTIVE / NO ESPN INJURY) | DeVonta Smith 24.9% (ACTIVE / NO ESPN INJURY) | Dallas Goedert 17.9% (ACTIVE / NO ESPN INJURY),A.J. Brown,25.7,ACTIVE / NO ESPN INJURY,DeVonta Smith,24.9,ACTIVE / NO ESPN INJURY,Dallas Goedert,17.9,ACTIVE / NO ESPN INJURY,401873284,2026-08-15T23:00Z,M&T Bank Stadium,OUTDOOR,,,,,85.0,-2.5,36.5,19.5,17.0,PHI -2.5,59.3,NEUTRAL / COMPETITIVE
TB,NYJ,226.41,0.27,10.68,61.88,10.5,44.83,18.0,0,9.97,90.03,-0.71,100.0,0,Emeka Egbuka 23.5% (ACTIVE / NO ESPN INJURY) | Cade Otton 15.0% (ACTIVE / NO ESPN INJURY) | Mike Evans 11.5% (ACTIVE / NO ESPN INJURY),Emeka Egbuka,23.5,ACTIVE / NO ESPN INJURY,Cade Otton,15.0,ACTIVE / NO ESPN INJURY,Mike Evans,11.5,ACTIVE / NO ESPN INJURY,401873276,2026-08-14T23:00Z,MetLife Stadium,OUTDOOR,,,,,85.0,-1.5,36.5,19.0,17.5,TB -1.5,62.6,NEUTRAL / COMPETITIVE
ARI,LV,214.35,0.12,14.87,63.54,6.55,44.05,46.0,0,18.42,81.58,3.56,100.0,0,Trey McBride 27.4% (ACTIVE / NO ESPN INJURY) | Michael Wilson 20.4% (ACTIVE / NO ESPN INJURY) | Marvin Harrison Jr. 11.8% (ACTIVE / NO ESPN INJURY),Trey McBride,27.4,ACTIVE / NO ESPN INJURY,Michael Wilson,20.4,ACTIVE / NO ESPN INJURY,Marvin Harrison Jr.,11.8,ACTIVE / NO ESPN INJURY,401873640,2026-08-14T00:00Z,Allegiant Stadium,DOME,,,,,100.0,1.5,39.5,19.0,20.5,LV -1.5,63.2,NEUTRAL / COMPETITIVE
ATL,DEN,209.21,-0.14,22.71,51.71,6.29,45.78,91.0,0,13.07,86.93,-9.64,100.0,0,Kyle Pitts 22.7% (ACTIVE / NO ESPN INJURY) | Drake London 21.6% (ACTIVE / NO ESPN INJURY) | Darnell Mooney 13.9% (ACTIVE / NO ESPN INJURY),Kyle Pitts,22.7,ACTIVE / NO ESPN INJURY,Drake London,21.6,ACTIVE / NO ESPN INJURY,Darnell Mooney,13.9,ACTIVE / NO ESPN INJURY,401873278,2026-08-14T23:00Z,Mercedes-Benz Stadium,DOME,,,,,100.0,3.5,37.5,17.0,20.5,DEN -3.5,60.9,NEUTRAL / COMPETITIVE
