Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count
1,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,Comerica Park,Washington Nationals @ Detroit Tigers,Away,695578,James Wood,Washington Nationals,Detroit Tigers,RF,L,No,,129,598,491,130,30,1,30,103,76,99,4,169,0.265,0.39,0.513,0.903,10,40,35,8,0,0.229,0.0,15,63,54,14,0,0.259,0.0,614,72,8.9,36.3,45.1,20.1,34.6,10.2,23.7,40.0,31.6,7.9,2.9,7.9,29.5,87.6,11.1,0.748,73.6,100.7,115.6,59.2,15.2,19.8,39.4,51.8,Average,3.0,Contact-First Profile,A,Excellent HR swing plane,51.8,Average,1.005,Good,5.6,58.3,101.0,0.541,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,47.8,17.8,Strong positive regression,Average Contact-First Profile profile. 8.9% barrel rate; 87.6 mph average exit velocity; 23.7% air-ball rate; 40.0% pull-air rate; 7.9% HR-launch rate.,0.0502,0.0471,4.31,82,23,16.4,5.01,501.0,Very long drought,689981,River Ryan,R,LHB vs RHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unavailable,L,LHB vs RHP,61.0,394,0.269,0.416,0.534,0.95,21,78,103,0.0533,11.9,0.921,0,,,,0,0,0,0/0,,,,,0,0,0,55.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,62.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,61.0,50.0,50.0,63.9,50.0,45.0,55.9,7.09,0.758,1.0,1.025,1.0,1.005,1.005,1.06,18.79,10.99,72.0,39.5,D+,Probable SP unavailable; Lineup unconfirmed,,,
2,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,Comerica Park,Washington Nationals @ Detroit Tigers,Home,680664,Eduardo Valencia,Detroit Tigers,Washington Nationals,DH,R,No,,36,115,109,37,11,0,6,19,18,3,2,27,0.339,0.368,0.606,0.974,6,24,20,10,0,0.5,0.0,14,52,48,16,0,0.333,0.0,152,66,8.0,26.9,43.3,24.0,32.7,9.9,26.1,50.6,42.2,9.5,4.5,9.5,26.0,83.1,17.2,0.631,71.4,95.6,110.6,26.8,14.5,7.6,54.6,44.3,Below Average,3.0,Pull Power,A,Excellent HR swing plane,44.3,Below Average,0.984,Good,4.5,47.1,94.4,0.564,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,10.66,4.66,Strong positive regression,Below Average Pull Power profile. 8.0% barrel rate; 83.1 mph average exit velocity; 26.1% air-ball rate; 50.6% pull-air rate; 9.5% HR-launch rate.,0.0522,0.0419,4.17,57,18,18.2,3.14,313.8,Very long drought,687792,DJ Herz,L,RHB vs LHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unavailable,R,RHB vs LHP,57.6,49,0.292,0.306,0.646,0.952,4,0,18,0.0816,9.6,0.736,0,,,,0,0,0,0/0,,,,,0,0,0,53.4,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,61.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,57.6,50.0,50.0,43.9,50.0,45.0,53.6,6.38,0.758,1.0,1.025,1.08,0.984,1.063,1.06,16.34,9.99,54.4,36.5,D+,Probable SP unavailable; Lineup unconfirmed,,,
3,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,Comerica Park,Washington Nationals @ Detroit Tigers,Home,682985,Riley Greene,Detroit Tigers,Washington Nationals,LF,L,No,,135,570,494,141,31,2,21,77,75,66,5,152,0.285,0.372,0.484,0.856,12,51,46,16,2,0.348,0.0392,18,78,72,26,5,0.361,0.0641,711,92,8.7,25.4,49.0,20.0,31.0,17.5,31.6,44.2,37.0,8.4,5.3,8.4,43.0,82.8,19.8,0.807,74.1,95.9,112.1,55.0,13.3,11.7,38.0,46.5,Below Average,3.0,Pull Power,A,Excellent HR swing plane,46.5,Below Average,0.99,Good,9.8,48.5,95.5,0.943,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,50.66,29.66,Strong positive regression,Below Average Pull Power profile. 8.7% barrel rate; 82.8 mph average exit velocity; 31.6% air-ball rate; 44.2% pull-air rate; 8.4% HR-launch rate.,0.0368,0.036,4.09,7,2,23.5,0.3,29.8,Very recent HR,687792,DJ Herz,L,LHB vs LHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unavailable,L,LHB vs LHP,45.9,175,0.262,0.371,0.463,0.835,6,24,47,0.0343,5.9,0.682,0,,,,0,0,0,0/0,,,,,0,0,0,48.2,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,56.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,45.9,50.0,50.0,59.0,50.0,45.0,53.0,6.23,1.16,1.0,0.985,1.0,0.99,0.99,0.98,13.93,10.33,73.2,29.9,F,Probable SP unavailable; Lineup unconfirmed,,,
4,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,Comerica Park,Washington Nationals @ Detroit Tigers,Away,665953,Andrés Chaparro,Washington Nationals,Detroit Tigers,1B,R,No,,79,213,183,47,13,0,11,32,37,25,5,48,0.257,0.362,0.508,0.87,9,26,22,6,2,0.273,0.0769,21,69,60,17,3,0.283,0.0435,261,90,6.3,30.0,53.9,23.9,22.2,13.4,24.1,57.6,28.5,6.8,5.8,6.8,63.9,84.8,19.3,0.556,71.8,97.5,111.0,41.5,13.7,13.9,51.1,44.6,Below Average,3.0,Pull Power,A,Excellent HR swing plane,44.6,Below Average,0.985,Good,4.4,57.1,97.0,0.462,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,15.76,4.76,Strong positive regression,Below Average Pull Power profile. 6.3% barrel rate; 84.8 mph average exit velocity; 24.1% air-ball rate; 57.6% pull-air rate; 6.8% HR-launch rate.,0.0516,0.0446,4.15,5,3,16.6,0.3,30.1,Very recent HR,689981,River Ryan,R,RHB vs RHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unavailable,R,RHB vs RHP,46.7,74,0.303,0.378,0.545,0.924,4,6,15,0.0541,6.5,0.508,0,,,,0,0,0,0/0,,,,,0,0,0,48.5,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,55.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,46.7,50.0,50.0,53.5,50.0,45.0,52.4,6.05,1.155,1.0,0.985,1.0,0.985,0.985,0.98,17.24,11.79,62.7,30.9,D,Probable SP unavailable; Lineup unconfirmed,,,
5,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,Comerica Park,Washington Nationals @ Detroit Tigers,Away,682928,CJ Abrams,Washington Nationals,Detroit Tigers,SS,L,No,,146,631,559,146,30,3,31,90,99,54,12,152,0.261,0.336,0.492,0.828,9,39,37,9,1,0.243,0.0256,22,97,89,15,2,0.169,0.0206,809,124,6.3,24.3,52.4,23.5,23.9,14.5,25.9,53.4,30.5,7.3,3.9,7.3,41.1,83.7,21.2,0.544,70.8,95.4,111.3,25.1,13.6,6.0,55.3,38.0,Below Average,2.5,Pull Power,A-,Elevated power plane,38.0,Below Average,0.966,Good,5.6,54.8,95.1,0.466,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,47.57,16.57,Strong positive regression,Below Average Pull Power profile. 6.3% barrel rate; 83.7 mph average exit velocity; 25.9% air-ball rate; 53.4% pull-air rate; 7.3% HR-launch rate.,0.0491,0.0464,4.15,0,0,18.0,0.0,0.0,Very recent HR,689981,River Ryan,R,LHB vs RHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unavailable,L,LHB vs RHP,50.1,433,0.276,0.367,0.52,0.887,23,45,88,0.0531,7.5,0.608,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,55.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.1,50.0,50.0,52.2,50.0,45.0,52.3,6.04,0.803,1.0,1.025,1.0,0.966,0.966,0.98,17.89,9.7,74.8,28.7,F,Probable SP unavailable; Lineup unconfirmed,,,
6,2026-09-21,823169,2026-09-22T01:45:00Z,Scheduled,Oracle Park,Minnesota Twins @ San Francisco Giants,Home,682674,Victor Bericoto,San Francisco Giants,Minnesota Twins,LF,R,No,,36,97,95,24,4,0,5,9,15,2,0,27,0.253,0.268,0.453,0.721,3,10,9,3,1,0.333,0.1,4,12,11,4,1,0.364,0.0833,124,8,11.7,31.9,32.5,30.3,37.2,17.5,28.2,22.5,29.0,13.4,7.1,13.4,44.2,84.7,17.5,0.708,73.3,96.5,108.5,50.5,16.8,14.3,48.1,44.3,Below Average,3.0,Contact-First Profile,A,Excellent HR swing plane,44.3,Below Average,0.984,Good,37.5,0.0,104.1,1.101,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,11.56,6.56,Strong positive regression,Below Average Contact-First Profile profile. 11.7% barrel rate; 84.7 mph average exit velocity; 28.2% air-ball rate; 22.5% pull-air rate; 13.4% HR-launch rate.,0.0515,0.0407,3.93,4,1,19.0,0.21,21.1,Very recent HR,805673,Zebby Matthews,R,RHB vs RHP,22,22,125.1,4.74,1.24,23,1.65,7.68,2.8,701.0,6.4,27.0,14.6,47.4,30.5,85.0,96.4,112.8,0.554,23.0,72.6,100.0,0.77,12.3,4-Seam Fastball,R,RHB vs RHP,50.7,40,0.231,0.25,0.462,0.712,3,1,9,0.075,7.4,0.69,220,0.0455,5.2,0.513,0,0,0,0/0,,,,,0,0,0,58.2,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,447,4-Seam Fastball,30.425055928411634,136.0,Slider,24.83221476510067,111.0,Cutter,15.212527964205817,68.0,Changeup,14.988814317673379,67.0,Curveball,7.6062639821029085,34.0,Unknown,,Unknown,,No,91.0,0.91,1.0,33.8,1.045,0.989,45.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.7,45.8,72.6,70.0,33.8,45.0,51.3,5.79,1.0,1.088,0.985,1.0,0.984,0.984,0.98,15.08,9.79,59.9,25.1,F,Lineup unconfirmed; Limited recent games,Sinker,6.935123042505593,31.0
7,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,Comerica Park,Washington Nationals @ Detroit Tigers,Home,693307,Dillon Dingler,Detroit Tigers,Washington Nationals,C,R,No,,141,590,536,130,26,2,27,69,89,32,15,136,0.243,0.301,0.45,0.751,8,31,30,6,1,0.2,0.0323,21,81,77,14,1,0.182,0.0123,777,108,5.4,28.8,48.0,25.5,26.4,14.2,27.0,52.2,31.7,7.7,4.9,7.7,46.0,83.7,16.2,0.578,70.3,96.2,110.1,16.5,13.2,6.3,52.9,38.0,Below Average,2.5,Pull Power,A,Excellent HR swing plane,38.0,Below Average,0.966,Good,4.6,55.6,97.0,0.496,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,41.47,14.47,Strong positive regression,Below Average Pull Power profile. 5.4% barrel rate; 83.7 mph average exit velocity; 27.0% air-ball rate; 52.2% pull-air rate; 7.7% HR-launch rate.,0.0458,0.0434,3.99,23,6,19.9,1.16,115.9,Near normal interval,687792,DJ Herz,L,RHB vs LHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unavailable,R,RHB vs LHP,34.9,183,0.214,0.262,0.339,0.602,4,10,51,0.0219,3.5,0.523,0,,,,0,0,0,0/0,,,,,0,0,0,43.2,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,51.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,34.9,50.0,50.0,53.7,50.0,45.0,50.6,5.64,0.844,1.0,1.025,1.0,0.966,0.966,1.0,16.24,9.28,73.5,28.5,F,Probable SP unavailable; Lineup unconfirmed,,,
8,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,Comerica Park,Washington Nationals @ Detroit Tigers,Home,679529,Spencer Torkelson,Detroit Tigers,Washington Nationals,1B,R,No,,153,590,510,117,27,0,24,63,72,67,8,184,0.229,0.326,0.424,0.75,12,42,32,12,2,0.375,0.0476,25,87,73,20,4,0.274,0.046,680,87,6.2,27.4,53.9,22.8,23.2,18.1,31.3,56.1,30.9,7.7,5.1,7.7,67.5,84.3,22.7,0.609,71.4,95.7,108.8,24.4,13.4,7.4,49.7,39.6,Below Average,2.5,Pull Power,A-,Elevated power plane,39.6,Below Average,0.971,Good,4.6,63.3,95.9,0.586,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,40.67,16.67,Strong positive regression,Below Average Pull Power profile. 6.2% barrel rate; 84.3 mph average exit velocity; 31.3% air-ball rate; 56.1% pull-air rate; 7.7% HR-launch rate.,0.0407,0.0392,3.99,13,5,21.2,0.61,61.2,Recently homered,687792,DJ Herz,L,RHB vs LHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unavailable,R,RHB vs LHP,36.0,174,0.252,0.345,0.377,0.722,3,22,51,0.0172,5.4,0.531,0,,,,0,0,0,0/0,,,,,0,0,0,43.7,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,51.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,36.0,50.0,50.0,51.5,50.0,45.0,50.4,5.61,1.078,1.0,1.025,1.0,0.971,0.971,1.0,14.75,10.18,74.0,28.1,F,Probable SP unavailable; Lineup unconfirmed,,,
9,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,Comerica Park,Washington Nationals @ Detroit Tigers,Away,695734,Daylen Lile,Washington Nationals,Detroit Tigers,LF,L,No,,154,634,582,146,28,8,22,81,88,40,6,124,0.251,0.303,0.44,0.743,10,39,36,8,2,0.222,0.0513,25,100,87,26,7,0.299,0.07,907,134,6.8,25.1,46.9,20.4,32.5,20.3,31.8,40.7,33.2,9.2,5.4,9.2,49.3,83.4,21.7,0.646,70.3,95.1,109.5,15.6,15.1,4.0,52.7,35.6,Below Average,2.5,Contact-First Profile,A-,Elevated power plane,35.6,Below Average,0.96,Good,9.7,40.0,96.9,0.793,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,54.87,32.87,Strong positive regression,Below Average Contact-First Profile profile. 6.8% barrel rate; 83.4 mph average exit velocity; 31.8% air-ball rate; 40.7% pull-air rate; 9.2% HR-launch rate.,0.0347,0.0343,4.05,4,1,26.5,0.15,15.1,Very recent HR,689981,River Ryan,R,LHB vs RHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unavailable,L,LHB vs RHP,47.3,462,0.256,0.31,0.485,0.794,21,31,85,0.0455,6.3,0.623,0,,,,0,0,0,0/0,,,,,0,0,0,48.8,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,49.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,47.3,50.0,50.0,53.7,50.0,45.0,50.1,5.53,1.262,1.0,1.025,1.0,0.96,0.96,0.98,13.17,10.17,75.0,28.2,F,Probable SP unavailable; Lineup unconfirmed,,,
10,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,Comerica Park,Washington Nationals @ Detroit Tigers,Home,814430,Brett Callahan,Detroit Tigers,Washington Nationals,LF,L,No,,28,70,63,14,3,1,1,3,8,5,1,23,0.222,0.286,0.349,0.635,11,27,24,5,0,0.208,0.0,22,53,46,9,0,0.196,0.0,93,65,6.3,23.5,43.5,24.6,31.9,15.0,26.5,40.7,29.1,5.1,1.9,5.1,10.8,80.9,17.4,0.618,72.0,94.6,111.0,43.7,12.2,9.9,27.8,32.7,Weak,2.5,Contact-First Profile,A,Excellent HR swing plane,32.7,Weak,0.952,Good,6.2,38.9,94.5,0.584,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,4.76,3.76,Positive regression,Weak Contact-First Profile profile. 6.3% barrel rate; 80.9 mph average exit velocity; 26.5% air-ball rate; 40.7% pull-air rate; 5.1% HR-launch rate.,0.0143,0.0255,3.81,54,25,63.0,0.86,85.7,Near normal interval,687792,DJ Herz,L,LHB vs LHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unavailable,L,LHB vs LHP,49.8,1,,1.0,,,0,0,0,0.0,0.0,,0,,,,0,0,0,0/0,,,,,0,0,0,49.9,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,49.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,49.8,50.0,50.0,39.9,50.0,45.0,49.0,5.33,0.758,1.0,0.985,0.94,0.952,0.894,1.0,9.36,5.78,51.2,16.9,F,Small season sample; Probable SP unavailable; Lineup unconfirmed,,,
11,2026-09-21,824221,2026-09-21T22:40:00Z,Scheduled,Comerica Park,Washington Nationals @ Detroit Tigers,Away,660688,Keibert Ruiz,Washington Nationals,Detroit Tigers,C,S,No,,100,341,319,91,24,0,10,44,47,16,3,36,0.285,0.323,0.455,0.778,7,20,19,6,1,0.316,0.05,16,50,47,16,2,0.34,0.04,469,65,4.8,26.2,67.8,15.2,17.0,19.4,32.6,69.2,31.0,7.8,6.0,7.8,51.6,82.9,17.1,0.44,66.0,95.0,108.7,0.6,16.0,0.3,53.5,32.3,Weak,2.5,Pull Power,A,Excellent HR swing plane,32.3,Weak,0.95,Good,4.6,78.3,94.5,0.474,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,24.89,14.89,Strong positive regression,Weak Pull Power profile. 4.8% barrel rate; 82.9 mph average exit velocity; 32.6% air-ball rate; 69.2% pull-air rate; 7.8% HR-launch rate.,0.0293,0.03,4.05,15,6,31.9,0.47,47.0,Recently homered,689981,River Ryan,R,Switch vs RHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unavailable,L,LHB vs RHP,34.0,248,0.287,0.327,0.457,0.783,7,13,20,0.0282,4.3,0.418,0,,,,0,0,0,0/0,,,,,0,0,0,42.8,Slight Pitcher Advantage,Below average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,46.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,34.0,50.0,50.0,48.8,50.0,45.0,48.6,5.26,1.206,1.0,1.035,1.0,0.95,0.95,1.0,11.61,9.04,70.4,26.2,F,Probable SP unavailable; Lineup unconfirmed,,,
12,2026-09-21,823169,2026-09-22T01:45:00Z,Scheduled,Oracle Park,Minnesota Twins @ San Francisco Giants,Home,805811,Bryce Eldridge,San Francisco Giants,Minnesota Twins,DH,L,No,,107,448,386,104,23,0,17,50,57,59,0,119,0.269,0.364,0.461,0.825,8,36,31,10,2,0.323,0.0556,21,96,80,28,3,0.35,0.0312,544,116,6.1,29.6,44.3,19.3,36.1,13.6,28.1,39.0,30.9,7.4,3.7,7.4,48.5,84.9,16.6,0.693,71.5,97.3,113.2,30.5,14.8,5.9,38.7,36.5,Below Average,2.5,Contact-First Profile,A,Excellent HR swing plane,36.5,Below Average,0.962,Good,6.0,39.4,97.7,0.723,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,30.13,13.13,Strong positive regression,Below Average Contact-First Profile profile. 6.1% barrel rate; 84.9 mph average exit velocity; 28.1% air-ball rate; 39.0% pull-air rate; 7.4% HR-launch rate.,0.0379,0.0367,4.09,3,1,22.7,0.13,13.2,Very recent HR,805673,Zebby Matthews,R,LHB vs RHP,22,22,125.1,4.74,1.24,23,1.65,7.68,2.8,701.0,6.4,27.0,14.6,47.4,30.5,85.0,96.4,112.8,0.554,23.0,52.7,100.0,0.699,5.9,4-Seam Fastball,L,LHB vs RHP,46.2,305,0.258,0.357,0.442,0.8,11,42,80,0.0361,6.3,0.653,303,0.0429,7.2,0.586,0,0,0,0/0,,,,,0,0,0,49.2,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,447,4-Seam Fastball,30.425055928411634,136.0,Slider,24.83221476510067,111.0,Cutter,15.212527964205817,68.0,Changeup,14.988814317673379,67.0,Curveball,7.6062639821029085,34.0,Unknown,,Unknown,,No,91.0,0.91,1.0,33.8,1.005,0.989,51.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,46.2,45.8,52.7,46.6,33.8,45.0,48.3,5.2,1.086,1.088,1.025,1.0,0.962,0.962,0.98,14.18,9.44,84.7,29.6,F,Lineup unconfirmed,Sinker,6.935123042505593,31.0
13,2026-09-21,824787,2026-09-21T22:35:00Z,Scheduled,Oriole Park at Camden Yards,Toronto Blue Jays @ Baltimore Orioles,Home,691723,Coby Mayo,Baltimore Orioles,Toronto Blue Jays,3B,R,No,,127,433,393,90,17,3,24,62,63,34,5,130,0.229,0.298,0.471,0.769,11,48,41,11,3,0.268,0.0625,24,96,85,24,7,0.282,0.0729,543,128,9.4,28.8,47.8,27.8,24.4,16.5,26.0,51.6,30.1,10.1,7.0,10.1,50.7,83.9,22.3,0.758,74.3,98.1,115.1,57.4,14.4,13.7,47.6,53.4,Average,3.0,Pull Power,A-,Elevated power plane,53.4,Average,1.01,Good,10.2,46.9,97.4,0.842,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,43.9,19.9,Strong positive regression,Average Pull Power profile. 9.4% barrel rate; 83.9 mph average exit velocity; 26.0% air-ball rate; 51.6% pull-air rate; 10.1% HR-launch rate.,0.0554,0.0503,3.99,13,4,16.4,0.79,79.4,Recently homered,702056,Trey Yesavage,R,RHB vs RHP,18,18,93.2,3.65,1.14,10,0.96,8.74,4.42,475.0,3.6,21.1,14.9,39.8,29.7,81.7,93.5,111.0,0.455,10.0,54.5,100.0,0.672,8.2,4-Seam Fastball,R,RHB vs RHP,32.2,271,0.177,0.244,0.331,0.574,8,19,89,0.0295,7.1,0.567,166,0.0301,3.7,0.426,5,5,2,2/5,0.4,0.4,1.0,1.4,1,0,1,46.1,Neutral Matchup,Average,62.5,5,Pitch-level Statcast · last 5 MLB games,371,4-Seam Fastball,47.7088948787062,177.0,Slider,27.223719676549866,101.0,Split-Finger,25.067385444743934,93.0,,,,,,,Unknown,,Unknown,,No,99.0,0.99,1.0,48.2,1.009,0.961,59.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,32.2,24.8,54.5,62.1,48.2,45.0,48.2,5.19,1.134,0.978,0.985,1.0,1.01,1.01,1.0,18.63,11.68,84.7,32.5,D,Lineup unconfirmed,,,
