Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count,Recent Pitch 8 Name,Recent Pitch 8 Usage %,Recent Pitch 8 Count
1,2026-08-25,824233,2026-08-25T22:40:00Z,Scheduled,Comerica Park,Tampa Bay Rays @ Detroit Tigers,Home,680664,Eduardo Valencia,Detroit Tigers,Tampa Bay Rays,DH,R,No,,23,68,66,22,6,0,6,12,17,1,1,19,0.333,0.353,0.697,1.05,8,25,25,6,2,0.24,0.08,17,55,54,17,4,0.315,0.0727,93,77,12.9,31.2,43.8,21.9,34.3,13.6,26.6,53.0,41.3,12.9,6.5,12.9,46.5,84.6,12.8,0.71,71.4,97.3,112.4,29.7,17.8,9.9,53.0,56.9,Average,3.5,Pull Power,A,Excellent HR swing plane,56.9,Average,1.019,Good,13.0,55.0,97.4,0.679,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,9.96,3.96,Positive regression,Average Pull Power profile. 12.9% barrel rate; 84.6 mph average exit velocity; 26.6% air-ball rate; 53.1% pull-air rate; 12.9% HR-launch rate.,0.0882,0.0523,4.17,14,5,11.0,1.27,127.3,Near normal interval,693855.0,Ian Seymour,L,RHB vs LHP,40,11,101.1,4.17,1.14,18,1.6,10.92,2.84,548.0,5.8,20.4,14.8,51.4,32.3,79.8,92.8,112.1,0.591,18.0,86.2,98.3,0.809,17.1,Changeup,R,RHB vs LHP,54.3,32,0.312,0.312,0.781,1.094,4,0,13,0.125,12.8,0.897,273,0.033,5.6,0.595,0,0,0,0/0,,,,,0,0,0,64.6,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,442,4-Seam Fastball,30.316742081447963,134.0,Changeup,28.506787330316744,126.0,Sweeper,17.194570135746606,76.0,Sinker,15.158371040723981,67.0,Slider,8.823529411764707,39.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.072,0.983,68.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.3,42.4,86.2,73.2,50.0,45.0,62.7,10.25,1.186,1.08,1.025,1.08,1.019,1.101,1.0,20.08,18.83,61.3,47.1,C-,Small season sample; Lineup unconfirmed,,,,,,,,,
2,2026-08-25,824556,2026-08-25T23:40:00Z,Scheduled,Rate Field,Texas Rangers @ Chicago White Sox,Home,808959,Munetaka Murakami,Chicago White Sox,Texas Rangers,1B,L,No,,96,419,345,77,13,0,29,68,58,71,2,142,0.223,0.358,0.513,0.871,13,56,46,6,3,0.13,0.0536,27,120,102,19,7,0.186,0.0583,377,101,11.7,35.7,47.3,28.3,23.8,20.0,28.8,45.5,29.0,7.9,4.3,7.9,63.3,86.2,18.0,0.838,72.1,99.6,113.9,43.4,13.6,10.3,45.3,53.1,Average,3.0,Pull Power,A,Excellent HR swing plane,53.1,Average,1.009,Good,10.9,44.8,98.9,0.812,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,35.92,6.92,Strong positive regression,Average Pull Power profile. 11.7% barrel rate; 86.2 mph average exit velocity; 28.8% air-ball rate; 45.5% pull-air rate; 7.9% HR-launch rate.,0.0692,0.0609,4.09,24,6,11.9,2.02,201.7,Very long drought,594798.0,Jacob deGrom,R,LHB vs RHP,24,24,126.2,3.77,1.13,17,1.21,11.16,2.27,664.0,4.8,26.2,14.0,45.7,31.9,84.0,95.4,114.9,0.587,17.0,83.8,99.4,0.895,13.9,4-Seam Fastball,L,LHB vs RHP,68.1,285,0.239,0.375,0.573,0.948,23,49,91,0.0807,13.9,0.882,307,0.0358,5.4,0.602,3,2,1,1/2,0.5,0.667,1.0,1.667,0,1,1,70.7,Slight Hitter Advantage,Above average,53.8,5,Pitch-level Statcast · last 5 MLB games,416,4-Seam Fastball,41.58653846153846,173.0,Slider,39.90384615384615,166.0,Changeup,9.375,39.0,Curveball,5.769230769230769,24.0,Sinker,3.3653846153846154,14.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.068,0.973,68.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,68.1,38.4,83.8,64.9,50.0,45.0,60.6,9.07,0.966,1.018,1.025,1.0,1.009,1.009,1.06,22.67,16.28,85.0,47.1,C-,Lineup unconfirmed,,,,,,,,,
3,2026-08-25,823098,2026-08-26T01:40:00Z,Scheduled,T-Mobile Park,Philadelphia Phillies @ Seattle Mariners,Home,663728,Cal Raleigh,Seattle Mariners,Philadelphia Phillies,C,S,No,,98,408,348,58,8,0,17,31,51,54,3,126,0.167,0.282,0.336,0.618,12,45,34,8,5,0.235,0.1111,24,92,75,13,7,0.173,0.0761,558,107,9.8,28.2,57.1,21.2,21.6,16.9,23.6,52.5,30.4,7.9,3.7,7.9,29.7,86.1,27.9,0.592,72.6,97.7,119.7,44.0,12.6,12.4,44.3,48.7,Average,3.0,Pull Power,A-,Elevated power plane,48.7,Average,0.996,Good,12.1,50.0,100.1,0.634,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,47.22,30.22,Strong positive regression,Average Pull Power profile. 9.8% barrel rate; 86.1 mph average exit velocity; 23.6% air-ball rate; 52.5% pull-air rate; 7.9% HR-launch rate.,0.0417,0.0395,3.81,0,0,20.5,0.0,0.0,Very recent HR,605400.0,Aaron Nola,R,Switch vs RHP,26,26,137.0,5.12,1.42,31,2.04,9.59,3.02,723.0,6.2,26.8,15.5,48.3,30.3,82.1,95.9,113.9,0.576,31.0,73.9,99.6,0.83,9.9,Knuckle Curve,L,LHB vs RHP,44.7,262,0.161,0.279,0.304,0.582,8,35,77,0.0305,8.9,0.569,366,0.0492,6.1,0.578,0,0,0,0/0,,,,,0,0,0,55.9,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,484,Knuckle Curve,28.512396694214875,138.0,4-Seam Fastball,25.0,121.0,Changeup,24.380165289256198,118.0,Sinker,14.669421487603305,71.0,Cutter,7.43801652892562,36.0,Unknown,,Unknown,,No,92.0,0.92,1.0,35.6,1.048,0.987,64.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,44.7,45.9,73.9,74.8,35.6,45.0,59.1,8.38,1.35,1.15,1.035,0.94,0.996,0.937,0.98,14.22,13.39,84.4,33.2,D,Lineup unconfirmed,,,,,,,,,
4,2026-08-25,822773,2026-08-25T23:07:00Z,Scheduled,Rogers Centre,Kansas City Royals @ Toronto Blue Jays,Away,695506,Jac Caglianone,Kansas City Royals,Toronto Blue Jays,RF,L,No,,121,469,434,120,23,2,22,59,60,29,5,122,0.276,0.328,0.491,0.819,9,34,32,12,1,0.375,0.0294,23,92,87,33,6,0.379,0.0652,600,124,8.6,36.7,52.5,25.1,22.5,12.4,27.0,49.4,30.2,5.8,3.8,5.8,47.1,87.1,12.2,0.722,75.2,100.9,115.8,68.4,15.6,22.8,41.9,55.7,Average,3.0,Pull Power,A,Excellent HR swing plane,55.7,Average,1.016,Good,8.9,54.3,102.2,0.742,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,45.03,23.03,Strong positive regression,Average Pull Power profile. 8.6% barrel rate; 87.1 mph average exit velocity; 27.0% air-ball rate; 49.4% pull-air rate; 5.8% HR-launch rate.,0.0469,0.0439,4.15,24,7,19.7,1.22,121.7,Near normal interval,453286.0,Max Scherzer,R,LHB vs RHP,11,11,45.0,7.4,1.51,12,2.4,6.4,4.0,332.0,5.1,18.1,13.6,53.3,32.2,80.4,92.5,111.5,0.527,12.0,77.3,99.9,0.859,10.7,4-Seam Fastball,L,LHB vs RHP,54.2,326,0.28,0.344,0.5,0.844,15,28,81,0.046,9.8,0.758,131,0.0534,5.5,0.508,1,1,0,0/1,0.0,0.0,0.0,0.0,0,0,1,61.0,Slight Hitter Advantage,Above average,47.5,5,Pitch-level Statcast · last 5 MLB games,408,4-Seam Fastball,46.568627450980394,190.0,Slider,21.568627450980394,88.0,Changeup,15.686274509803921,64.0,Curveball,14.46078431372549,59.0,Cutter,1.7156862745098038,7.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.055,0.976,65.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.2,37.2,77.3,73.6,50.0,45.0,58.9,8.29,1.015,1.134,1.025,1.0,1.016,1.016,1.0,16.99,13.84,84.4,38.6,D+,Lineup unconfirmed,,,,,,,,,
5,2026-08-25,823505,2026-08-25T23:05:00Z,Scheduled,Yankee Stadium,Houston Astros @ New York Yankees,Away,670541,Yordan Alvarez,Houston Astros,New York Yankees,DH,L,No,,129,566,463,148,28,0,36,86,90,91,8,96,0.32,0.436,0.613,1.049,10,40,31,9,1,0.29,0.025,24,107,82,25,2,0.305,0.0187,693,118,8.4,31.8,49.3,16.0,34.3,20.2,36.6,45.4,33.2,8.6,5.1,8.6,44.9,85.9,23.3,0.771,74.7,98.5,118.5,56.4,16.9,17.1,40.6,52.7,Average,3.0,Pull Power,A-,Elevated power plane,52.7,Average,1.008,Good,5.9,45.7,98.0,0.624,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,51.25,15.25,Strong positive regression,Average Pull Power profile. 8.4% barrel rate; 85.9 mph average exit velocity; 36.6% air-ball rate; 45.4% pull-air rate; 8.6% HR-launch rate.,0.0636,0.0581,4.31,24,8,12.9,1.87,186.6,Above normal drought,701542.0,Will Warren,R,LHB vs RHP,25,24,122.0,4.43,1.4,19,1.4,9.0,3.17,665.0,4.7,27.2,12.8,44.8,28.4,84.0,96.4,116.9,0.574,19.0,75.2,99.8,0.859,9.6,4-Seam Fastball,L,LHB vs RHP,59.0,415,0.341,0.472,0.662,1.134,27,78,71,0.0651,9.9,0.873,307,0.0358,5.4,0.576,5,5,4,4/5,0.8,0.8,0.8,1.6,0,0,0,64.1,Slight Hitter Advantage,Above average,56.2,5,Pitch-level Statcast · last 5 MLB games,418,4-Seam Fastball,30.14354066985646,126.0,Sinker,22.727272727272727,95.0,Changeup,18.42105263157895,77.0,Sweeper,18.181818181818183,76.0,Curveball,10.526315789473685,44.0,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.05,0.972,65.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,59.0,37.9,75.2,52.8,64.4,45.0,58.2,7.97,0.776,1.048,1.025,1.08,1.008,1.088,1.035,22.73,14.93,85.0,46.9,C-,Lineup unconfirmed,,,,,,,,,
6,2026-08-25,824233,2026-08-25T22:40:00Z,Scheduled,Comerica Park,Tampa Bay Rays @ Detroit Tigers,Away,691406,Junior Caminero,Tampa Bay Rays,Detroit Tigers,3B,R,No,,131,571,499,138,20,1,35,80,84,68,2,105,0.277,0.364,0.531,0.895,12,51,48,13,0,0.271,0.0,26,111,99,25,6,0.253,0.0541,667,123,9.0,33.6,45.3,35.1,19.6,14.5,24.4,57.7,23.6,6.5,4.2,6.5,57.0,86.5,14.7,0.618,77.9,100.5,116.9,77.2,11.1,19.3,64.1,54.1,Average,3.0,Pull Power,A,Excellent HR swing plane,54.1,Average,1.011,Good,8.9,55.2,100.1,0.6,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,52.88,17.88,Strong positive regression,Average Pull Power profile. 9.0% barrel rate; 86.5 mph average exit velocity; 24.4% air-ball rate; 57.7% pull-air rate; 6.5% HR-launch rate.,0.0613,0.0562,4.15,48,12,14.3,3.37,336.7,Very long drought,695549.0,Jackson Jobe,R,RHB vs RHP,3,3,14.0,4.5,1.36,2,1.29,7.07,3.21,81.0,6.2,27.2,11.1,55.6,25.9,84.2,95.3,110.0,0.612,2.0,53.8,100.0,0.657,8.6,4-Seam Fastball,R,RHB vs RHP,53.1,420,0.269,0.34,0.535,0.875,28,41,82,0.0667,9.3,0.631,21,0.0,0.0,0.38,0,0,0,0/0,,,,,0,0,0,52.7,Neutral Matchup,Average,50.0,3,Pitch-level Statcast · last 5 MLB games,231,4-Seam Fastball,40.25974025974026,93.0,Slider,23.80952380952381,55.0,Sinker,15.151515151515152,35.0,Changeup,11.688311688311689,27.0,Curveball,9.090909090909092,21.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.008,0.987,65.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,53.1,47.3,53.8,69.7,50.0,45.0,57.2,7.59,0.85,1.006,0.985,1.03,1.011,1.042,1.06,21.34,13.12,85.0,44.6,C-,Lineup unconfirmed,,,,,,,,,
7,2026-08-25,823259,2026-08-26T01:40:00Z,Scheduled,Petco Park,Pittsburgh Pirates @ San Diego Padres,Away,665833,Oneil Cruz,Pittsburgh Pirates,San Diego Padres,CF,L,No,,70,305,269,70,10,1,16,48,51,33,3,107,0.26,0.348,0.483,0.831,6,22,19,4,2,0.211,0.0909,6,22,19,4,2,0.211,0.0909,304,18,11.7,31.0,55.8,22.8,20.4,12.4,25.1,55.1,30.2,8.6,6.6,8.6,55.0,84.7,12.8,0.965,75.9,99.3,117.9,65.4,15.0,13.0,37.9,57.6,Average,3.5,Pull Power,A,Excellent HR swing plane,57.6,Average,1.021,Good,16.7,75.0,94.1,1.406,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,28.87,12.87,Strong positive regression,Average Pull Power profile. 11.7% barrel rate; 84.7 mph average exit velocity; 25.1% air-ball rate; 55.1% pull-air rate; 8.6% HR-launch rate.,0.0525,0.0467,4.15,10,3,16.8,0.59,59.5,Recently homered,650633.0,Michael King,R,LHB vs RHP,26,26,149.0,3.38,1.17,18,1.09,7.73,3.5,770.0,5.3,20.6,14.4,41.9,29.7,81.0,93.3,114.6,0.529,18.0,66.7,100.0,0.77,9.4,Sinker,L,LHB vs RHP,55.0,212,0.247,0.354,0.484,0.837,12,28,67,0.0566,9.6,0.825,376,0.0319,5.6,0.545,6,6,2,2/6,0.333,0.333,0.5,0.833,0,0,2,57.6,Neutral Matchup,Average,47.3,5,Pitch-level Statcast · last 5 MLB games,478,Changeup,27.615062761506277,132.0,Sinker,24.686192468619247,118.0,4-Seam Fastball,20.92050209205021,100.0,Sweeper,20.0836820083682,96.0,Slider,6.694560669456067,32.0,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.033,0.978,70.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,55.0,33.4,66.7,74.9,39.2,45.0,57.1,7.56,1.208,0.998,1.025,1.0,1.021,1.021,1.0,18.0,13.73,75.5,35.3,D,Lineup unconfirmed,,,,,,,,,
8,2026-08-25,823016,2026-08-25T23:45:00Z,Scheduled,Busch Stadium,Baltimore Orioles @ St. Louis Cardinals,Away,691723,Coby Mayo,Baltimore Orioles,St. Louis Cardinals,3B,R,No,,104,340,311,66,13,3,17,46,47,24,4,111,0.212,0.276,0.437,0.713,10,34,31,6,2,0.194,0.0588,23,77,71,19,4,0.268,0.0519,421,104,8.9,30.5,54.9,24.2,20.9,17.2,29.7,55.0,33.9,8.6,5.6,8.6,44.7,83.8,23.0,0.716,74.2,97.9,115.7,54.7,17.0,13.9,45.9,52.7,Average,3.0,Pull Power,A-,Elevated power plane,52.7,Average,1.008,Good,9.6,52.8,96.3,0.801,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,32.3,15.3,Strong positive regression,Average Pull Power profile. 8.9% barrel rate; 83.8 mph average exit velocity; 29.7% air-ball rate; 55.0% pull-air rate; 8.6% HR-launch rate.,0.05,0.0453,3.99,12,4,18.3,0.66,65.6,Recently homered,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,R,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,64.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,63.5,50.0,45.0,56.6,7.35,1.092,1.0,1.0,1.0,1.008,1.008,1.0,16.89,12.35,72.4,30.8,D,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
9,2026-08-25,823098,2026-08-26T01:40:00Z,Scheduled,T-Mobile Park,Philadelphia Phillies @ Seattle Mariners,Away,656941,Kyle Schwarber,Philadelphia Phillies,Seattle Mariners,DH,L,No,,126,564,469,114,15,1,39,77,78,83,6,187,0.243,0.361,0.529,0.89,11,52,46,8,4,0.174,0.0769,24,112,88,18,6,0.205,0.0536,629,116,10.1,32.0,63.0,19.3,17.4,14.9,27.3,59.6,29.9,10.3,7.3,10.3,57.5,85.8,19.6,0.822,74.2,98.4,113.4,67.7,15.7,16.9,63.9,58.3,Average,3.5,Pull Power,A,Excellent HR swing plane,58.3,Average,1.023,Good,9.5,61.3,97.8,0.793,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,56.95,17.95,Strong positive regression,Average Pull Power profile. 10.1% barrel rate; 85.8 mph average exit velocity; 27.3% air-ball rate; 59.6% pull-air rate; 10.3% HR-launch rate.,0.0691,0.0626,4.15,3,1,12.0,0.25,24.9,Very recent HR,669923.0,George Kirby,R,LHB vs RHP,24,24,140.0,4.18,1.36,17,1.09,7.52,2.12,828.0,4.6,26.3,13.3,35.4,30.3,84.1,95.6,112.3,0.513,17.0,83.6,99.8,0.871,13.8,Sweeper,L,LHB vs RHP,60.2,358,0.229,0.347,0.529,0.876,27,54,127,0.0754,11.9,0.861,309,0.0324,4.4,0.504,3,2,1,1/2,0.5,0.667,0.5,1.167,0,1,1,67.1,Slight Hitter Advantage,Above average,53.8,5,Pitch-level Statcast · last 5 MLB games,442,Sweeper,27.601809954751133,122.0,4-Seam Fastball,24.43438914027149,108.0,Sinker,21.71945701357466,96.0,Knuckle Curve,12.44343891402715,55.0,Changeup,7.918552036199095,35.0,Unknown,,Unknown,,No,92.0,0.92,1.0,35.6,1.067,0.971,67.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,60.2,28.4,83.6,66.1,35.6,45.0,56.4,7.27,1.024,0.998,1.025,1.03,1.023,1.054,0.98,23.54,14.9,85.0,39.3,D+,Lineup unconfirmed,Cutter,4.751131221719457,21.0,Split-Finger,1.1312217194570136,5.0,,,
10,2026-08-25,822693,2026-08-25T22:45:00Z,Scheduled,Nationals Park,Colorado Rockies @ Washington Nationals,Home,694673,Abimelec Ortiz,Washington Nationals,Colorado Rockies,1B,L,No,,21,70,66,14,2,0,5,10,10,4,0,17,0.212,0.257,0.47,0.727,12,45,42,7,3,0.167,0.0667,20,68,64,13,5,0.203,0.0735,105,100,10.3,32.5,55.2,25.7,19.1,18.4,26.8,50.6,34.2,10.3,3.9,10.3,47.0,86.5,17.3,0.684,73.4,98.3,111.2,55.4,13.8,16.3,48.6,53.7,Average,3.0,Pull Power,A,Excellent HR swing plane,53.7,Average,1.01,Good,10.0,51.9,97.8,0.688,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,9.51,4.51,Strong positive regression,Average Pull Power profile. 10.3% barrel rate; 86.5 mph average exit velocity; 26.8% air-ball rate; 50.6% pull-air rate; 10.3% HR-launch rate.,0.0714,0.0465,3.93,26,7,13.2,1.97,197.0,Above normal drought,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,62.2,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,67.2,50.0,45.0,55.9,7.11,1.2,1.0,1.0,1.0,1.01,1.01,1.035,17.08,13.38,52.4,35.5,D,Small season sample; Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
11,2026-08-25,822693,2026-08-25T22:45:00Z,Scheduled,Nationals Park,Colorado Rockies @ Washington Nationals,Home,665953,Andrés Chaparro,Washington Nationals,Colorado Rockies,1B,R,No,,59,148,125,30,10,0,8,26,32,18,5,33,0.24,0.358,0.512,0.87,9,30,25,7,2,0.28,0.0667,21,61,51,14,4,0.275,0.0656,174,73,9.0,34.5,50.2,32.1,17.6,16.1,24.1,52.2,26.9,9.2,6.3,9.2,54.7,85.1,19.7,0.641,71.9,98.4,112.1,44.5,15.4,16.2,51.4,52.1,Average,3.0,Pull Power,A,Excellent HR swing plane,52.1,Average,1.006,Good,9.6,43.8,99.1,0.598,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,13.73,5.73,Strong positive regression,Average Pull Power profile. 9.0% barrel rate; 85.1 mph average exit velocity; 24.1% air-ball rate; 52.2% pull-air rate; 9.2% HR-launch rate.,0.0541,0.0442,4.09,9,3,15.6,0.58,57.6,Recently homered,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,R,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,60.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,61.2,50.0,45.0,54.9,6.79,1.199,1.0,1.0,1.0,1.006,1.006,1.0,16.87,12.76,57.5,31.8,D,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
12,2026-08-25,824881,2026-08-25T23:15:00Z,Scheduled,Truist Park,Los Angeles Dodgers @ Atlanta Braves,Home,621566,Matt Olson,Atlanta Braves,Los Angeles Dodgers,1B,L,No,,131,570,508,131,31,0,36,89,77,56,3,146,0.258,0.333,0.531,0.864,11,45,42,7,1,0.167,0.0222,26,107,98,22,9,0.224,0.0841,791,153,9.0,28.5,48.9,23.0,27.9,16.2,25.6,48.1,34.7,10.0,5.7,10.0,55.4,84.7,22.1,0.763,72.9,97.2,111.7,45.7,14.5,13.8,45.7,50.4,Average,3.0,Pull Power,A-,Elevated power plane,50.4,Average,1.001,Good,9.8,48.7,95.9,0.831,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,62.25,26.25,Strong positive regression,Average Pull Power profile. 9.0% barrel rate; 84.7 mph average exit velocity; 25.6% air-ball rate; 48.1% pull-air rate; 10.0% HR-launch rate.,0.0632,0.0577,4.09,27,7,14.1,1.91,191.3,Above normal drought,607192.0,Tyler Glasnow,R,LHB vs RHP,7,7,39.2,2.72,0.83,5,1.13,11.12,2.95,165.0,5.5,23.0,13.3,36.6,30.9,84.0,95.1,108.8,0.511,5.0,75.9,99.2,0.865,10.0,4-Seam Fastball,L,LHB vs RHP,54.4,327,0.259,0.346,0.552,0.898,22,38,83,0.0673,9.7,0.781,95,0.0211,4.9,0.502,14,10,1,1/10,0.1,0.357,0.1,0.457,0,4,3,54.2,Neutral Matchup,Average,15.5,5,Pitch-level Statcast · last 5 MLB games,408,4-Seam Fastball,28.676470588235293,117.0,Sinker,25.49019607843137,104.0,Knuckle Curve,20.098039215686274,82.0,Slider,17.15686274509804,70.0,Curveball,8.57843137254902,35.0,Unknown,,Unknown,,No,103.0,1.03,1.0,55.4,1.052,0.98,61.2,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.4,32.0,75.9,60.0,55.4,45.0,54.9,6.78,0.947,1.003,1.025,1.03,1.001,1.031,1.035,21.59,14.34,85.0,43.4,C-,Lineup unconfirmed,,,,,,,,,
